('恺英网络 科士达 银河电子 日发精机！ #海达股份 sz300320[股票]# #达志科技 sz300530[股票]# #深冷股份 sz300540[股票]# 许楚沛分析...', '2018-07-24 02:59:35')
('水泥第一龙头股终于醒悟，神秘机构51亿抢筹，本月将暴涨妖！！ #海达股份 sz300320[股票]# #达志科技 sz300530[股票]# #深冷股份 sz300540[股票]# 许楚沛分析...', '2018-07-17 10:49:31')
('\ue627 A股 \ue627 股票 #魔都夜行的复盘计划# \ue627 财经盘面空间：四板：通产丽星二板：海达股份 纵横通信 南京新百 中兴通讯 沃特股份 飞荣达 金安国际 亿利达三+一板：三变科技...展开全文c', '2018-07-17 10:46:24')
('2018/7/18 狙击龙头整理今日市场主线有5G、业绩预增、新股次新股、并购重组、富勒烯、石墨烯、超跌。结合涨停时间先后顺序、人气强弱、实际流通盘大小，题材主线等多方面因素，推导出以下兼具领袖气质个股：三变科技、通产丽星、海达股份、飞荣达、金安国纪。', '2018-07-17 10:45:40')
('2连板 飞荣达 中兴通讯 纵横通信 海达股份 亿利达 金安国纪 沃特股份 南京新百', '2018-07-17 09:51:55')
('7.17龙头股汇总:空间板：4B，通产丽星。地天板，三变科技。7B，天华超净。5G：中兴通讯，飞荣达（+填权+业绩），纵横通信（+填权）。半导体：金安国纪。 ...展开全文c', '2018-07-17 09:45:59')
('市场乱拳打方向，明日该怎么参与？（2018-07-17 游资复盘）打开公众号关注一下，看复盘更方便：网页链接\ue627 财经头条文章 \ue627 微博股评团 \ue627 投资 \ue627 今日看盘 #上证指数sh000001# #沃特股份 sz002886[股票]# #中兴通讯 sz000063[股票]# #南京新百 sh600682[股票]# ...展开全文c', '2018-07-17 06:55:12')
('三大指数均现缩量调整，上证50两阴夹一阳，成为杀跌元凶，近乎收回周四涨幅后方止跌企稳；创业板再次被沪指拖累，受到5日线支撑后分时图筑双底暂时止跌企稳。盘面：1、富勒烯涨价+超跌的通产丽星4板成妖，成为当前空间板，三变科技地天板5天4板跟随，纵横通信、飞荣达、海达股份、亿利达、金安国际2 ...展开全文c', '2018-07-17 06:37:35')
('今天指数虽下跌，但个股涨稍多于跌，50+的涨停板，唯300320海达股份涨停，4中1，成绩不算好。周末提到意华股份周二见高点，今天高位下杀，此判断和上次预测传艺科技的高点一样准确，这代表着通道策略的进一步完善，可喜可贺！今天再次证明概率对成败的影响之大，4股中没重点推荐的倒涨停了。全部按竞价 ...展开全文c', '2018-07-17 05:40:23')
('【7.17复盘】市场整体呈现震荡探底回升走势，其中超跌反弹：三变科技5b、南京新百2b等16股涨停；业绩预增：京威股份3b、海达股份2b等10股封板；富勒烯：通产丽星4b，亿利达2b，石墨烯：德尔未来、碳元科技、杭电股份等5股涨停；5G：中兴通讯3b等7股涨停；半导体产业链：金安国纪2b、台基股份、丹邦科技 ...展开全文c', '2018-07-17 04:41:09')
('连板：通产丽星-4、海达股份-2、亿利达-2、金安国际-2、纵横通信-2、飞荣达-2、中兴通讯-2、沃特股份-2、南京新百-2、5g：富春股份、飞荣达、深南骨粉、大富科技、纵横通信、中兴通讯、10家石墨烯：通产丽星、亿利达、德尔未来、5家 ...展开全文c', '2018-07-17 03:56:28')
('*当前是超跌股的天下：今天我们的金一文化和今天进的仙坛股份涨停了，海达股份、富春股份，金安国纪的特点都是业绩好，超跌！所以， 这是当前的挖掘重点，一定要按底部涨停买入法和黄金坑战法来选呀！加粉的一定要注意以学习课程为主。爱你们... 网页链接', '2018-07-17 02:28:01')
('指数缩量振荡修复，大盘股的调整抑制指数上涨，多数个股跌幅在3个点以内，个股调整幅度并不大。指数日线级别大阳线内的调整，缩量，是良性调整。#海达股份 sz300320[股票]#', '2018-07-17 01:41:11')
('#股市大家谈##证券#$海达股份 sz300320$ $三维丝 sz300056$ 发布了头条文章：《超短线获利的一夜情选股战法，简单实用易学实用》 |超短线获利...', '2018-07-16 23:39:17')
('中国股市最狠的颠簸已至，预计有一个股市反弹!将一触即发！ #海达股份 sz300320[股票]# #达志科技 sz300530[股票]# #深冷股份 sz300540[股票]# 许楚沛分析...', '2018-07-16 22:38:03')
('超跌低价股集体大涨，斯太尔、海达股份、南京化纤、中超控股、南京熊猫等个股纷纷涨停', '2018-07-16 21:55:25')
('好股天天有，开盘前推送300320海达股份，现在已经涨停 #股票推荐#', '2018-07-16 21:49:46')
('发布了头条文章：《海达股份300320：一场资本阴谋游戏开始！散户要变韭菜吗？》 $上证指数 sh000001$ $海达股份 sz300320$ |海达股份30...', '2018-07-16 21:31:54')
('$上证指数 sh000001$ 核心1板：纵横通信、中兴通讯、海达股份核心2板：中能电气、英特集团、玉龙股份核心3板：意华股份、通产丽星、京威股份', '2018-07-16 21:19:33')
('【早盘大势前瞻及热点板块机会】昨日指数窄幅震荡，蓝筹股表现相对弱势，题材股则高低切换明显，高位股走弱，涨停板大都是从超跌低位股走出来。近期市场炒作路线貌似有些改变，走趋势类型的个股赚钱效应比短线题材股要好，当下的市场炒作题材轮转很快，跑得不快的动不动就被核按钮，很容易被坑。趋 ...展开全文c', '2018-07-16 21:13:09')
('江苏租赁：高层发出最强利好，机构加仓72亿，股价从8元冲上92元！ #海达股份 sz300320[股票]# #达志科技 sz300530[股票]# #深冷股份 sz300540[股票]# 许楚沛分析...', '2018-07-16 09:44:11')
('明日打板自己：（1.意华股份 2.盛洋科技 3.京威股份 4.美格智能）一字板的海达股份和盛屯矿业加自选。', '2018-07-16 09:17:45')
('今日强势板块：超跌：涨停15家：龙一维科技术，龙二英特集团，龙三金安国纪业绩：涨停10家 ：龙一京威股份，龙二海达股份，龙三耐威科技5G ：涨停8家 ：龙一意华股份，龙二纵横通信，龙三中兴通讯重组 ：涨停5家 ：龙一盛洋科技，龙二盛屯矿业，龙三益丰药房 ...展开全文c', '2018-07-16 08:45:11')
('今日盘面解读：沪深创同步低开，深证低开幅度最小。开盘竞价方面：市场总龙头天华超净高开7.25个点，盛屯矿业，茂业通信重组上会利好消息刺激，盛屯矿业一字涨停开盘，业绩预增消息刺激，京威股份涨停开盘，半年报业绩预增，海达股份涨停开盘，汽车整车板块低开，安凯客车低开6.31个点，长安汽车低 ...展开全文c', '2018-07-16 05:01:05')
('发布了头条文章：《大盘反弹高度在哪里？何时止跌？周末5大消息或影响市场走势》$海达股份 sz300320$ \ue627 股票 |大盘反弹高...', '2018-07-16 02:42:33')
('午评 世界杯法国夺冠，A股$华帝股份 sz002035$ 涨停后回落，压法国夺冠退款成中国品牌最大胜家。大盘弱市，耐心等待机会，稳健者空仓。5G $意华股份 sz002897$ 和中兴通讯并购 京威股份， 盛洋科技业绩预增 先达股份 海达股份 ...展开全文c', '2018-07-15 23:39:08')
('中国股市传出消息，下周A股走势成迷，散户是走还是是留！ #海达股份 sz300320[股票]# #达志科技 sz300530[股票]# #深冷股份 sz300540[股票]# 许楚沛分析...', '2018-07-15 23:28:46')
('【停牌个股】无【复牌个股】华闻传媒、东方银星、中体产业、哈工智能、益丰药房、华鹏飞、茂业通信、盛屯矿业、海达股份', '2018-07-15 22:39:31')
('【今日复牌】中体产业、华闻传媒、茂业通信、盛屯矿业、哈工智能、东方银星、益丰药房、海达股份、华鹏飞。【限售股解禁】中国中铁、三爱富、张家界、宝塔实业、联明股份、来伊份、鼎信通讯、伟星股份、软控股份、威海广泰、飞马国际、东方雨虹、隆华节能、华灿光电、华大基因。 ...展开全文c', '2018-07-15 21:24:19')
('#投资达人说# #今日看盘# @微博股票 $华帝股份 sz002035$ 华谊兄弟 sz300027$ 复牌个股：中体产业、华闻传媒、茂业通信、盛屯矿业、哈工智能、东方银星、益丰药房、海达股份、华鹏飞。限售股解禁：中国中铁、三爱富、张家界、宝塔实业、联明股份、来伊份、鼎信通讯、伟星股份 ...展开全文c', '2018-07-15 20:52:08')
('复牌个股哈工智能 000584：已回复问询函 16日复牌华闻传媒 000793：推进现金收购买标的资产部分股权事项 16日复牌茂业通信 000889：重大资产重组获有条件通过 16日复牌海达股份 300320：定增事项认购对象询价已完成 16日复牌华鹏飞 300350：拟收购军懋科技不低于51%股份 16日复牌中体产业 600158 ...展开全文c', '2018-07-15 20:47:31')
('【公告：复牌】华鹏飞：终止重组筹划收购军懋科技 股票复牌华闻传媒：终止筹划重大资产重组 继续推进现金收购 股票复牌茂业通信、盛屯矿业：重组过会 股票复牌 ...展开全文c', '2018-07-15 12:33:37')
('【停/复牌、解禁股数据】复牌个股：东方银星、益丰药房、中体产业、盛屯矿业、东方银星、海达股份、哈工智能、华闻传媒、茂业通信、华鹏飞停牌个股：暂无解禁个股：帝（注：以上数据截至22：00，以沪深市场交易当日公布最终数据为准，仅供参考！）', '2018-07-15 11:24:42')
('82岁老股民留给孙子：1个指标CCI+2根均线，股市就提款机 $海达股份 sz300320$ $长江润发 sz002435$ $中集集团 sz000039$ $石英股份 sh603688$ 我的小蜗牛...', '2018-07-15 10:44:03')
('维生素第一黑马，主力连续加仓79亿！ #海达股份 sz300320[股票]# #达志科技 sz300530[股票]# #深冷股份 sz300540[股票]# 许楚沛分析...', '2018-07-15 03:04:36')
('次新第一股从92跌至4元,机构豪砸559亿增持,18年有望接力贵州燃气 $宝光股份 sh600379$ $好想你 sz002582$ $海达股份 sz300320$ $物产中大 sh600704$ 姚晓浪的秒...', '2018-07-14 05:26:11')
('操盘手交易员自述：这辈子炒股只需要做精一只股，赢得盆满钵满 $南山铝业 sh600219$ $海达股份 sz300320$ $奇正藏药 sz002287$ $万孚生物 sz300482$ 3305079245...', '2018-07-13 14:30:13')
('杭州一女博士说破股市：股票三不卖，股票七不买 ,其他时候诸葛亮 $九洲电气 sz300040$ $海达股份 sz300320$ $威海广泰 sz002111$ $外运发展 sh600270$ 李域悟看盘...', '2018-07-12 22:34:29')
('海达股份（300320）：半年报净利润预增40%-60%公司预计2018年上半年盈利8428.81万元-9632.93万元，比上年同期增长40%-60%。', '2018-07-12 20:09:47')
('倒在血泊中的中国股市散户分享诀窍：遇到“阳阴墓碑”K线形态！ #海达股份 sz300320[股票]# #达志科技 sz300530[股票]# #深冷股份 sz300540[股票]# 许楚沛分析...', '2018-07-12 10:07:37')
('汉鼎股份 海达股份 华灿光电 海伦钢琴 邬过荡邬的...', '2018-07-12 01:38:48')
('行情暴跌个股筹码已经出现了异常，不知道是出是留?投资股票可以加wei信：wangshi5202010，指导最佳买卖点和解套方法，总可以为你指点迷津，博晖创新(sz300318) 海达股份(sz300320) 麦捷科技(sz300319) 同大股份(sz300321) 顺威股份(sz002676) 东诚药业(sz002675)', '2018-07-10 05:41:23')
('【停牌个股】海达股份【复牌个股】深赤湾A 、至纯科技、三聚环保', '2018-07-09 21:29:44')
('#今日停复牌# 复牌深赤湾A（000022）、三聚环保（300072、至纯科技（603690）。停牌海达股份（300320）。', '2018-07-09 20:49:51')
('【停/复牌、解禁股数据】复牌个股：深赤湾A、深赤湾B、三聚环保、至纯科技停牌个股：海达股份解禁个股：濮耐股份、百润股份、苏宁易购、楚天科技、引力传媒、喜临门、富满电子、棕榈股份、旭升股份、大亚圣象（注：以上数据截至22：00，以沪深市场交易当日公布最终数据为准，仅供参考！）', '2018-07-09 20:39:17')
('【嘉可能】股票早盘重要资讯—— 07月10日04：【停/复牌、解禁股数据】复牌个股：深赤湾A、深赤湾B、三聚环保、至纯科技停牌个股：海达股份解禁个股：濮耐股份、百润股份、苏宁易购、楚天科技、引力传媒、喜临门、富满电子、棕榈股份、旭升股份、大亚圣象【注意，解禁个股最好回避】 ...展开全文c', '2018-07-09 19:24:54')
('复牌公司：深赤湾A(000022)、深赤湾B(200022)、三聚环保(300072)、至纯科技(603690)。停牌公司：海达股份(300320)$上证指数 sh000001$ $深证成指 sz399001$ $创业板指 sz399006$', '2018-07-09 13:23:05')
('一旦股票出现“内盘外盘”洗盘信号，定是大牛股，打死也不要卖 $海达股份 sz300320$ $博世科 sz300422$ $冠昊生物 sz300238$ $宁夏建材 sh600449$ 3305079245...', '2018-07-09 13:17:58')
('预知后市是出是留，盲目没有方向的来，指点后市如何操做。博晖创新(sz300318) 海达股份(sz300320) 麦捷科技(sz300319) 同大股份(sz300321) 顺威股份(sz002676) 东诚药业(sz002675) 静心静唔的...', '2018-07-09 04:12:21')
('软件信息第一白马股即将诞生，中报预增700%，自封七月第一妖王！ #海达股份 sz300320[股票]# #达志科技 sz300530[股票]# #深冷股份 sz300540[股票]# 许楚沛分析...', '2018-07-08 11:22:01')
('香港一女博士自暴“内盘外盘”口诀，庄家听后跪求删帖，建议珍藏 $海达股份 sz300320$ $信息发展 sz300469$ $上海能源 sh600508$ $天药股份 sh600488$ 我的小蜗牛...', '2018-07-08 05:17:51')
('发布了头条文章：《下周走势精彩揭秘：南都电源 星星科技 海达股份 华灿光电》$南都电源 sz300068$ $星星科技 sz300256$ $海达股份 sz300320$ $华灿光电 sz300323$ \ue627 财经头条文章 |下周走势精...', '2018-07-06 04:09:55')
('新华百货 东方锅炉 中储股份 鲁抗医药！ #海达股份 sz300320[股票]# #达志科技 sz300530[股票]# #深冷股份 sz300540[股票]# 许楚沛分析...', '2018-07-06 01:50:55')
('史上最适合抄底的技术形态,5分钟教你学会“抄底”,永不被套 $三夫户外 sz002780$ $海达股份 sz300320$ $中体产业 sh600158$ $德展健康 sz000813$ 3305079245...', '2018-07-04 11:27:13')
('发布了头条文章：《华灿光电+硕贝德+同大股份+海达股份：五穷六绝七月能否翻身》 $华灿光电 sz300323$ $硕贝德 sz300322$ $同大股份 sz300321$ $海达股份 sz300320$ \ue627 股票分析 |华灿光电+...', '2018-07-04 04:17:21')
('股票一旦出现“线上阴线”试盘形态，必是大牛股，成功率百分百 $大北农 sz002385$ $湘潭电化 sz002125$ $海达股份 sz300320$ $广哈通信 sz300711$ 李小麦同学...', '2018-07-04 00:15:46')
('苏州老教授说破股市：“七不买”口诀，过今晚永久删除，建议珍藏 $大通燃气 sz000593$ $海达股份 sz300320$ $伟隆股份 sz002871$ $和而泰 sz002402$ 我的小蜗牛...', '2018-07-03 13:53:06')
('17岁股市奇才直言：“股市十口决”顺口溜，背熟5句实现千万梦想$金麒麟 sh603586$ $陕鼓动力 sh601369$ $博天环境 sh603603$ $海达股份 sz300320$ 马旷盈的秒...', '2018-07-03 04:56:18')
('发布了头条文章：《华尔街交易员的肺腑独白：做好这三点，助你重回股市巅峰》 #海达股份 sz300320[股票]# #达志科技 sz300530[股票]# #深冷股份 sz300540[股票]# |华尔街交易...', '2018-07-03 02:29:09')
('深圳一女博士扬言：28年坚持“七不买”口诀，盈利至今，建议收藏 $东软载波 sz300183$ $海达股份 sz300320$ $上实发展 sh600748$ $六国化工 sh600470$ 我的小蜗牛...', '2018-07-01 08:57:10')
('新疆振兴主力蓄势待发，散户还等什么？ $海达股份 sz300320$ $江南高纤 sh600527$ $精功科技 sz002006$ $苏泊尔 sz002032$ QueenieL的...', '2018-06-30 22:25:24')
('万一股票出现“集合竞价”试盘，必是大牛股，千万别急着卖出！ $力生制药 sz002393$ $山东墨龙 sz002490$ $海达股份 sz300320$ $东兴证券 sh601198$ 我的小蜗牛...', '2018-06-30 14:41:26')
('股市永不坑人的黄金铁律：股票七不买三不卖，句句经典，永珍藏 $长春高新 sz000661$ $粤高速B sz200429$ $天泽信息 sz300209$ $海达股份 sz300320$ 李域悟看盘...', '2018-06-30 02:21:38')
('军工航天第一龙头，净利增8054亿，18年能否乌鸡变凤凰 ！ #海达股份 sz300320[股票]# #达志科技 sz300530[股票]# #深冷股份 sz300540[股票]# 许楚沛分析...', '2018-06-29 01:50:13')
('“20日均线”是A股唯一赚钱黄金指标，新手背熟，将实现千万梦想 $海达股份 sz300320$ $蓝色光标 sz300058$ $哈森股份 sh603958$ $健帆生物 sz300529$ 梁姐看市的...', '2018-06-26 04:54:45')
('发布了头条文章：《300377赢时胜 妖股横行下，一条主线，两条支线》 #股票喊停# #短线牛股# #股票推荐# #环旭电子 sh601231[股票]# #海达股份 sz300320[股票]# |300377赢时...', '2018-06-22 22:26:24')
('$移为通信 sz300590$$海达股份 sz300320$ $达志科技 sz300530$ $深冷股份 sz300540$ 马旷盈的秒...', '2018-06-17 23:04:56')
('股价起涨前，MACD往往会出现这种征兆，一买就涨从无例外！$海达股份 sz300320$ $达志科技 sz300530$ $深冷股份 sz300540$ 论A股堂的...', '2018-06-17 21:17:42')
('上海一女博士说破股市盈利法则，4步学会捕捉强势股，屡试不爽！$海达股份 sz300320$ $达志科技 sz300530$ $深冷股份 sz300540$ 论A股堂的...', '2018-06-16 22:43:43')
('海达股份-300320-多领域扩张版图渐次展开 网页链接', '2018-06-12 19:14:14')
('下午帮大家看看意华股份，智动力，名雕股份，海达股份这四只票。持有的朋友可以留言#意华股份 sz002897[股票]# #智动力 sz300686[股票]# #名雕股份 sz002830[股票]# #海达股份 sz300320[股票]#', '2018-06-11 04:41:08')
('发布了头条文章：《重磅消息：华西股份+海达股份+开立医疗，本周操作策略解读》 $华西股份 sz000936$ +$海达股份 sz300320$ +$开立医疗 sz300633$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |重磅消息：...', '2018-06-11 04:29:02')
('发布了头条文章：《海达股份 凯利泰 天壕环境 开元股份：庄家深套，自救开始？！》 $海达股份 sz300320$ $凯利泰 sz300326$ $天壕环境 sz300332$ $开元股份 sz300338$ $上证指数 sh000001$ |海达股份 ...', '2018-06-10 23:55:22')
('6.69买入海达股份到5成仓成本6.75，目前总仓位6成', '2018-06-05 01:15:15')
('发布了头条文章：《300320 海达股份：突现惊骇信号,下周此点务必规避!》 \ue627 股票分析 #股市~a股~大盘~股票# $海达股份 sz300320$ |300320 海...', '2018-06-01 05:57:22')
('发布了头条文章：《600711盛屯矿业 如何利用集合竞价简单选快速选牛股?》 \ue627 股票分析 #股票抓涨停# #短线牛股# #海达股份 sz300320[股票]# #平潭发展 sz000592[股票]# |600711盛屯...', '2018-05-31 23:17:52')
('发布了头条文章：《海达股份 300320：主力资金持续流出，下跌趋势不变！》 #财经大美女# #新浪财经头条# #新浪股吧# #财经头条文章# $海达股份 sz300320$ |海达股份 3...', '2018-05-23 01:49:07')
('【特斯拉上海公司获批多家国内厂商入选产业链】目前情况看，特斯拉的车身装配件供应商来源以北美、日本以及中国台湾相关企业为主。在电池系统、零部件系统、锂电设备等方面，A股上市公司旭升股份(603305)、鸿特精密(300176)、天汽模(002510)、海达股份(300320)、威唐工业(300707)等国产零部件供应商也 ...展开全文c', '2018-05-14 21:33:14')
('发布了头条文章：《A股信号暗藏玄机：海达股份+中核科技+潮宏基》$海达股份 sz300320$ $中核科技 sz000777$ $潮宏基 sz002345$ #股票分析# |A股信号暗...', '2018-05-13 03:53:56')
('发布了头条文章：《海达股份：大盘震荡不明，主力资金暗中涌动，后期走势强力解析》 |海达股份：...', '2018-05-12 22:52:49')
('发布了头条文章：《诡异信号曝光主力阴谋：海达股份 中能电气 佳创视讯 上海雅仕》 #股市财经头条# #微博股票推荐# #短线牛股汇集# $海达股份 sz300320$ $中能电气 sz300062$ $佳创视讯 sz300264$ |诡异信号曝...', '2018-05-12 21:54:46')
('发布了头条文章：《诡异信号曝光主力阴谋：海达股份 三元股份 中能电气 佳创视讯》 #股市财经头条# #微博股票推荐# #短线牛股汇集# $海达股份 sz300320$ $三元股份 sh600429$ $中能电气 sz300062$ |诡异信号曝...', '2018-05-11 04:44:16')
('发布了头条文章：《主力阴谋揭露：海达股份+老板电器+红阳能源》 $海达股份 sz300320$ $老板电器 sz002508$ $红阳能源 sh600758$ #股票分析# |主力阴谋揭...', '2018-05-10 04:13:16')
('发布了头条文章：《本周关键走势已经来临：同有科技 中际旭创 戴维医疗 海达股份》 $同有科技 sz300302$ $中际旭创 sz300308$ $戴维医疗 sz300314$ $海达股份 sz300320$ |本周关键走...', '2018-05-09 11:38:54')
(':长线资金悄悄布局军工、中小创：逢低布局002224三力士（真正量子通信无人智能潜艇第一股； 300008天海防务（海上防务装备量子通信双手支撑第一股； 300099精准信息（精准打击第一股、高铁WI-FI第一股；600760中航沈飞（战斗机第一股）；300320海达股份（特斯拉龙头之一减震材料第一股；002510天汽模 ...展开全文c', '2018-04-13 02:27:05')
('#今日看盘#今日热点知识产权：安妮股份>中国科传>格尔软件>读者传媒>京华激光>数字认证高送转：顶点软件>凯伦股份>惠威科技>今飞凯达>威唐工业汽车类：迪生力>中马传动>万通智控>正裕工业上海自贸：畅联股份>德邦股份>网达软件>中远海达（越往前的股票越强，第一个是标杆。集合竞价先观察板块整体 ...展开全文c', '2018-04-11 21:23:43')
('去年的牛股，部分个股回调幅大：回调幅度最大的是美芝股份，自1月25日盘中创历史高点后，与历史高点相比，累计回调幅度49.87%，公司2017年净利润为0.43亿元，比前一年同期下降17.55%。其次，于1月8日盘中创历史高点的海达股份回调幅度为45.28%。回调幅度较大的还有泰禾集团、老板电器、伊力特、鲁西化 ...展开全文c', '2018-03-22 22:43:31')
('【板块精选】工信部提出加快5G应用发展，推动跨行业合作。相关概念股：中兴通讯、宜通世纪、中电鑫龙、华脉科技、中通国脉、美格智能等汽车轻量化成必然趋势，铝合金零部件将推广。相关概念股：海源机械、爱柯迪、海达股份、利源精制、广东鸿图等首届数字中国建设峰会即将召开，已上升至国家战略 ...展开全文c', '2018-03-21 21:06:36')
('目前已有55家上市公司2017年末前十大流通股股东名单中出现了险资身影。在新进持股方面，英维克、$江南高纤 sh600527$ 、海达股份、汤臣倍健、联得装备等11家上市公司为险资2017年四季度新进持有。', '2018-03-18 03:43:39')
('回看我之前的总结，海达股份真是自残行为', '2017-11-16 16:22:40')
('这段时间对三浪推升做了归纳总结，感觉自己又上了一个台阶。以后我会减少超跌反弹股，重点转向三浪推升', '2018-03-02 22:36:07')
('2月总结：海达股份～巨大、中石科技5、中欣氟材5、德赛西威-1、新城控股5。本月1、3、5浪只做了新城控股，中石科技、中欣氟材、德赛西威是新股超跌方法，还需要经验。海达股份是抄底的老方法失败了，以后不会再用。', '2018-02-28 22:33:00')
('【基金机构加仓超过1000万股绩优股】南钢股份、江南高纤、牧原股份、利尔化学、方大炭素、哈药股份（600664）、海达股份（300320）', '2018-02-27 19:35:03')
('【2018年一季度预增幅度方面】当代明诚、龙韵股份、华东重机、红相电力、花园生物等30股业绩预计增幅中值超过100%；海达股份、威华股份、迪森股份等20股业绩预计增幅中值超过50%。', '2018-02-27 08:36:22')
('昨天小融的新和成割肉走了，新增关注海达股份和金刚玻璃，8.36少买了点金刚玻璃', '2018-02-26 22:01:25')
