('【云计算概念股被公募基金重仓持有】合计持股数量为6.81亿股，合计持股市值约119.38亿元。其中，亚联发展（002316）、深信服、华东电脑（600850）、工业富联、二三四五、恒华科技（300365）、捷成股份、浪潮信息（000977）、万达信息、中国长城（000066）、中科曙光（603019）、泛微网络（603039）、 ...展开全文c', '2018-07-18 20:33:03')
('中字头军工又一新龙头再次封王，净利翻4346倍，6月或将碾压成妖 $*ST创兴 sh600193$ $银鸽投资 sh600069$ $长海股份 sz300196$ $泛微网络 sh603039$ 3305079245...', '2018-07-17 13:34:52')
('医疗器械第一股：主力暗中吸筹9亿，一周涨幅46%，5万卖出，盈利超5万！ $万兴科技 sz300624$ $泛微网络 sh603039$ $凯莱英 sz002821$ 财经妖王的...', '2018-07-17 11:22:05')
('董付营先生，10年财务协同领域信息化服务工作经验。现任上海泛微网络科技股份有限公司咨询总监。擅长财务...网页链接 网页链接', '2018-07-17 06:26:00')
('常熟汽饰 如通股份 凯众股份 华立股份 泛微网络 股海大咖的...', '2018-07-17 02:29:28')
('环保又一新龙头横空出世，利润暴涨747倍，或将碾压士兰微成妖 $泛微网络 sh603039$ $东珠生态 sh603359$ $海德股份 sz000567$ $冰川网络 sz300533$ 我的小蜗牛...', '2018-07-17 01:07:58')
('方向2：科技股，主要是受中兴解禁利好提振，加上最高领导人多次提及自主可控，炒作主要围绕5G（中兴通讯、纵横通信）、芯片（东软载波、长川科技）、国产软件（中国软件、泛微网络）等。', '2018-07-16 20:15:46')
('泛微网络周五低吸，今天走势 |营口·楞严...', '2018-07-16 07:26:17')
('发布了头条文章：《603039 泛微网络：利好消息来袭，后市将井喷爆发！》 \ue627 短线牛股 \ue627 股票推荐 #股市投资思维# $泛微网络 sh603039$ |603039 泛...', '2018-07-16 01:34:17')
('发布了头条文章：《这些票回踩即是最佳买点：中航沈飞 泛微网络 中际旭创 隆平高科》 \ue627 股票 #牛股推荐# #上证快讯# $中航沈飞 sh600760$ $泛微网络 sh603039$ $中际旭创 sz300308$ $隆平高科 sz000998$ |这些票回踩...', '2018-07-15 23:37:42')
('在大盘跌多涨少之际，有27只个股创出历史新高。从涨跌幅来看，超频三年内涨幅最高，为142.16%；此外，康泰生物、平治信息、顺鑫农业、泛微网络等4股的年内涨幅也超100%。从行业分布来看，来自食品饮料和医药生物公司最多，各有7家，两者合计就占了52%。喝酒吃药行情还在继续吗？创新高的个股还有没有继 ...展开全文c', '2018-07-15 22:04:01')
('周末利好：中国股市空头受到严厉制裁，散户春天或将来临$泛微网络 sh603039$$建新股份 sz300107$$ST东北高 sh600003$ 古泽选股的...', '2018-07-14 23:27:21')
('最“惨”股诞生，主力携手机构75亿撤资 ，老散户：谁是这场的布局者？ $万兴科技 sz300624$ $泛微网络 sh603039$ $凯莱英 sz002821$ 财经妖王的...', '2018-07-14 21:19:39')
('北京63岁老教授自暴：26年只盯牢一种股票做，字字抖金，建议收藏 $泛微网络 sh603039$ $菲达环保 sh600526$ $宁波联合 sh600051$ $中航高科 sh600862$ 3305079245...', '2018-07-14 10:19:47')
('济南34岁漂亮女博士放话：股市唯一不“骗人”的指标，字字珠玑 $泛微网络 sh603039$ $香飘飘 sh603711$ $浙能电力 sh600023$ $瀚叶股份 sh600226$ 小正太Ente...', '2018-07-14 02:00:43')
('天然气第一龙头从65跌至4元，主力底部大单锁仓，有望封妖王 $万兴科技 sz300624$ $泛微网络 sh603039$ $凯莱英 sz002821$ 财经妖王的...', '2018-07-13 04:09:38')
('两大利好促A股周五绝地反击，下周大盘将开启暴走模式，散户乐开花！$泛微网络 sh603039$$建新股份 sz300107$ $ST东北高 sh600003$ 杨超分析的...', '2018-07-12 03:47:08')
('发布了头条文章：《机构15亿增持，7月首席妖王冠绝A股！泛微网络+淳中科技+鸣志电器》 #股票分析# #今日看盘# #财经趣闻# $泛微网络 sh603039$ $淳中科技 sh603516$ $鸣志电器 sh603728$ |机构15亿增...', '2018-07-12 03:31:12')
('济南34岁漂亮女博士放话：股市唯一不“骗人”的指标，字字珠玑 $泛微网络 sh603039$ $富邦股份 sz300387$ $ST运盛 sh600767$ $鞍钢股份 sz000898$ 3305079245...', '2018-07-12 02:17:38')
('就在刚刚，昔日水泥王者强势回归，本周最大的赚钱机会原来在这个版块上！$泛微网络 sh603039$$建新股份 sz300107$$ST东北高 sh600003$ 古泽选股的...', '2018-07-12 01:22:49')
('行情暴跌个股筹码已经出现了异常，不知道是出是留?投资股票可以加wei信：wangshi5202010，指导最佳买卖点和解套方法，总可以为你指点迷津，华凯创意(sz300592) 泛微网络(sh603039) 杰克股份(sh603337) 视源股份(sz002841) 泰嘉股份(sz002843) 华立股份(sh603038)', '2018-07-11 20:47:50')
('华统股份：股市最“天真”小散，跌停买了2万股，现在亏的媳妇都跑了$泛微网络 sh603039$$建新股份 sz300107$$ST东北高 sh600003$ ！ 杨超分析的...', '2018-07-11 08:05:54')
('白马股第一龙头受伤亏来，主力资金80亿抢筹，最少收23个涨停板！ $万兴科技 sz300624$ $泛微网络 sh603039$ $凯莱英 sz002821$ 财经妖王的...', '2018-07-10 22:45:29')
('"BOLL"是股市唯一387%赚钱指标，牢记三大口诀，股市就是印抄机 $力盛赛车 sz002858$ $凌钢股份 sh600231$ $奥赛康 sz300361$ $泛微网络 sh603039$ 李域悟看盘...', '2018-07-10 12:25:13')
('发布了头条文章：《庄家巨额筹资新妖王诞生？603039泛微网络+000063中兴通讯》 $泛微网络 sh603039$ $中兴通讯 sz000063$ #股票分析# #个股推荐与走势分析# #短线牛股# |庄家巨额筹...', '2018-07-10 11:48:28')
('发布了头条文章：《A股重磅：泛微网络+中兴通讯+华谊嘉信，七月操作策略解读》 $泛微网络 sh603039$ +$中兴通讯 sz000063$ +$华谊嘉信 sz300071$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |A股重磅：...', '2018-07-10 03:44:06')
('\ue627 大盘 应广大馿粉的要求，个股解析，时效2小时。有人吗？$盈方微 sz000670$ $泛微网络 sh603039$$兔宝宝 sz002043$ $工业富联 sh601138$', '2018-07-09 23:36:35')
('软件股早盘集体走弱，荣科科技大跌5%，龙头中国软件跌近3%，浪潮信息、超图软件、顶点软件、泛微网络均下跌。(利空)', '2018-07-09 21:53:44')
('发布了头条文章：《泛微网络603039数家机构5900万股增持，必将迎来一波上涨》 #泛微网络 sh603039[股票]# #财经头条文章# #微博股票热议榜# |泛微网络60...', '2018-07-09 21:50:46')
('软件股早盘集体回落，荣科科技大跌5%，龙头中国软件跌近3%，浪潮信息、超图软件、顶点软件、泛微网络均走弱$深证成指 sz399001$ 网页链接', '2018-07-09 21:49:16')
('$泛微网络 sh603039$ 昨天机构高位换手接力，这个位置，短线是有机会的。$上证指数 sh000001$ 小仓位搞一把，止损5个点。', '2018-07-09 21:22:30')
('新五朵金花强势板块：1.新能源，锂电池：寒锐钴业300618，蓝晓科技，先导智能2.信息传媒,工业互联网：泛微网络603039，平治信息，广联达3.高端制造，芯片元器件：圣邦股份300661，兆易创新，风华高科...展开全文c', '2018-07-09 20:03:22')
('9日，盘后龙虎榜显示，今日机构净买入金风科技、中国巨石、万达信息、泰格医药、横店东磁、三垒股份、泛微网络、恒康医疗以及华统股份等9股，九洲药业、广州浪奇和华海药业机构净卖出金额超千万元。', '2018-07-09 10:00:37')
('最高价创200个交易日新高5股票简称1克来机电603960 ...展开全文c', '2018-07-09 05:07:41')
('深圳股神：终于把“换手率”讲清楚了，过了今晚将删除，永珍藏 $南京新百 sh600682$ $天津磁卡 sh600800$ $泛微网络 sh603039$ $超声电子 sz000823$ 小正太Ente...', '2018-07-09 03:09:50')
('学会分时买卖技巧，今后将在股市如鱼得水，散户值得学习 #深天马Ａ sz000050[股票]# #泛微网络 sh603039[股票]# #中南传媒 sh601098[股票]# 彭曲评股的...', '2018-07-09 01:10:53')
('成都一女博士说破股市：一旦遇见“跌停式”试盘，百分百是大牛股 $佛慈制药 sz002644$ $巴安水务 sz300262$ $泛微网络 sh603039$ $信隆健康 sz002105$ 李域悟看盘...', '2018-07-08 13:16:02')
('一文教你看透十日均线，其实很简单，没有你想的那么神秘！（下） #深天马Ａ sz000050[股票]# #泛微网络 sh603039[股票]# #中南传媒 sh601098[股票]# 彭曲评股的...', '2018-07-08 01:16:08')
('发布了头条文章：《泛微网络(603039)：次新股+高送转概念，下周将迎来史上最强涨停！》 #麒麟财经# #投资达人# #中美贸易战# $泛微网络 sh603039$ 猛狮科技 sz002684$ |泛微网络(6...', '2018-07-07 22:48:39')
('方法有，但是能用好的人真的不多，这个方法我是用一支个股：泛微网络，还有一次探底买入机会，一周内会出现，短期还有一小涨，第一波趋势结束，探底后趋势良好，大涨在即', '2018-07-07 18:17:10')
('【教你一招】中线地量法则：1、选择10日、20日、30日均线过去6个月稳定向上之个股，其间大盘如果下跌，该股均表现抗跌，一般只短暂跌破30日均线；2、OBV稳定向上，不断创出新高；3、在大盘见底时出现地量，以3000万股流通盘日成交10万股为标准；4、在地量出现的当 ...展开全文c', '2018-07-07 22:25:45')
('有色金属+5G独角兽横空出世，业绩巨增[100.999]%，碾压紫光国芯 $双箭股份 sz002381$ $同仁堂 sh600085$ $泛微网络 sh603039$ $丰原药业 sz000153$ yokki阳sup...', '2018-07-05 21:52:05')
('发布了头条文章：《泛微网络+国盛金控：主力纷纷跑步进场，后期走势可期》#财经头条文章# #股票技术分享# #泛微网络 sh603039[股票]# #国盛金控 sz002670[股票]# |泛微网络+...', '2018-07-05 04:47:04')
('医药第一龙头38跌至6元，大股东增持6800万股，6月有望暴涨封妖 $渝开发 sz000514$ $诚志股份 sz000990$ $永泰能源 sh600157$ $泛微网络 sh603039$ 3305079245...', '2018-07-04 19:26:38')
('最高价创200个交易日新高1平治信息3005712合兴包装002228 ...展开全文c', '2018-07-04 08:30:30')
('发布了头条文章：《泛微网络(603039)：主力资金暗中入驻，后市有望暴涨拉升！》 $泛微网络 sh603039$ |泛微网络(6...', '2018-07-04 04:24:05')
('关注云计划概念股： 广联达(sz002410)、浪潮信息(sz000977)、用友网络(sh600588)、金蝶国际（HK）、中科曙光(sh603019)、恒生电子(sh600570)、石基信息(sz002153)、天源迪科(sz300047)、超图软件(sz300036)、恒华科技(sz300365)、常山北明(sz000158)、泛微网络(sh603039)等。笔者观点，重在次新股，重 ...展开全文c', '2018-07-04 03:40:27')
('北京一女教授说破股市：“七不买”口诀，熟背6条股市是娶款机 $万兴科技 sz300624$ $泛微网络 sh603039$ $凯莱英 sz002821$ 朝红论股的...', '2018-07-03 10:05:35')
('最高价创200个交易日新高股票简称1泛微网络6030392 ...展开全文c', '2018-07-03 09:34:23')
('18年老股民的猎杀大牛股老鸭头战法，首度曝光，学到就是赚到$泛微网络 sh603039$$建新股份 sz300107$ $ST东北高 sh600003$ 小慧看盘的...', '2018-07-02 22:46:46')
('#牛股推介##bl布股# #股民故事# 在市场整体弱势的情况下，今日11只个股的股价却创出盘中历史新高，剔除5只新股、次新股外，剩余6只创新高的个股为$珀莱雅 sh603605$ $泛微网络 sh603039$ 、古井贡酒、康泰生物、欧普康视、长春高新。值得注意的是，其中有3只个股属于医药生物行业。', '2018-07-02 10:07:10')
('发布了头条文章：《一念天堂，一念地狱：凯众股份 华立股份 泛微网络 华脉科技》 $上证指数 sh000001$ $凯众股份 sh603037$ $华立股份 sh603038$ $泛微网络 sh603039$ $华脉科技 sh603042$ |一念天堂，...', '2018-07-02 02:48:29')
('发布了头条文章：《走势精准剖析：伊戈尔 泛微网络 扬帆新材 文投控股 》 $伊戈尔 sz002922$ $泛微网络 sh603039$ $扬帆新材 sz300637$ $文投控股 sh600715$ \ue627 股票分析 \ue627 微博股票 #财经头条文章# #个股专业点评# \ue627 头条文章 |走势精准剖...', '2018-07-02 02:03:48')
('数据统计发现，剔除最近一年上市的次新股，建新股份、亚夏汽车、超频三、平治信息、神马股份、泛微网络、蓝晓科技、康泰生物、顺鑫农业、正海生物等10只个股上半年累计涨幅居前，均在90%以上。这些牛股有什么特点呢？|上半年十大...$超频三 sz300647$ $亚夏汽车 sz002607$', '2018-07-01 08:13:03')
('庄家最害怕你知晓的MACD+KDJ选股，堪称经典，一旦知晓股市变印钞 $上海电影 sh601595$ $泛微网络 sh603039$ $乔治白 sz002687$ $西部黄金 sh601069$ QueenieL的...', '2018-07-01 04:50:36')
('凯众股份 华立股份 泛微网络 新坐标 美思德 华脉科技 股海大咖的...', '2018-07-01 01:13:04')
('发布了头条文章：《泛微网络(603039):高送转+次新股概念，即将开启主升浪，有望冲涨停》 #麒麟财经# #投资达人# #中美贸易战# $泛微网络 sh603039$ $猛狮科技 sz002684$ |泛微网络(6...', '2018-06-30 22:31:39')
('$上证指数 sh000001$今年牛股主要呈现出以下三大特征。（1）中小创股占主流。在上半年的十大牛股中，除沪市主板的泛微网络、神马股份外，其他牛股均属于中小创股，占比80%，具体来看，创业板股有：正海生物、超频三、康泰生物、平治信息、蓝晓科技、建新股份；中小板股有：亚夏汽车、顺鑫农业。（2 ...展开全文c', '2018-06-29 20:59:19')
('发布了头条文章：《603039 泛微网络：主力蛰伏多年之久，后市有望爆新高！》 #a股~股市~股票~大盘~指数# #股票# #泛微网络 sh603039[股票]# |603039 泛...', '2018-06-29 02:55:28')
('一旦股票出现“三线金叉”洗盘信号,打死也不要卖,股价将一路疯涨 $中路B股 sh900915$ $成都路桥 sz002628$ $粤照明B sz200541$ $泛微网络 sh603039$ 我的小蜗牛...', '2018-06-28 13:56:15')
('#A股大涨你赚钱了吗# A股最最贵股价上市场，小散：以为白菜价，实际上还有地下室$菲林格尔 sh603226$$泛微网络 sh603039$$建新股份 sz300107$ 杨超分析的...', '2018-06-28 09:44:30')
('A股市天才爆出MACD选股技巧 散户学会受用终生 $泛微网络 sh603039$$建新股份 sz300107$ 金花财经的...', '2018-06-27 04:54:26')
('发布了头条文章：《000725 京东方Ａ:不做标题党，谈论今日股票！》\ue627 股票分析 #牛股推荐# $京东方Ａ sz000725$ $泛微网络 sh603039$ |000725 京...', '2018-06-27 03:56:41')
('发布了头条文章：《泛微网络603039：震荡只为蓄势，短期上涨一触即发》 #短线牛股推荐# #分析股票# $泛微网络 sh603039$ |泛微网络60...', '2018-06-26 23:09:00')
('发布了头条文章：《泛微网络603039：大盘再次低开，个股该如何操作》#财经头条文章# #股票技术分享# #泛微网络 sh603039[股票]# |泛微网络60...', '2018-06-26 10:41:45')
('一旦股票出现“集合竞价”试盘，坚决捂股，必有一波翻倍行情！ $日上集团 sz002593$ $美亚柏科 sz300188$ $泛微网络 sh603039$ $大康农业 sz002505$ 梁姐看市的...', '2018-06-26 07:23:14')
('发布了头条文章：《603039 泛微网络：高位加仓蓝筹再狂欢，抓住机会！》 \ue627 股票分析 #股市投资思维# #牛股推荐# $泛微网络 sh603039$ |603039 泛...', '2018-06-26 01:33:31')
('医药第一龙头从74跌至4元，主力底部大单锁仓，有望封妖王 $西部黄金 sh601069$ $联建光电 sz300269$ $菲林格尔 sh603226$ $泛微网络 sh603039$ 我的小蜗牛...', '2018-06-25 21:28:55')
('发布了头条文章：《走势精准剖析：安信信托 盘龙药业 同有科技 泛微网络》 $安信信托 sh600816$ $盘龙药业 sz002864$ $同有科技 sz300302$ $泛微网络 sh603039$ \ue627 财经头条文章 \ue627 股票分析 \ue627 微博股票 #个股专业点评# \ue627 头条文章 |走势精准剖...', '2018-06-24 23:21:08')
('发布了头条文章：《晶华新材 亚星化学 泛微网络 新集能源：底部异动，静待佳音？》 $晶华新材 sh603683$ $亚星化学 sh600319$ $泛微网络 sh603039$ $新集能源 sh601918$ \ue627股票 $上证指数 sh000001$ |晶华新材 ...', '2018-06-23 03:26:20')
('利好消息：泛微网络 新坐标 美思德 刘庆谈财的...', '2018-06-21 04:38:34')
('19岁股市奇才豪言曝光：MACD指标100%盈利方法，4分钟获28次掌声$石大胜华 sh603026$ $德新交运 sh603032$ $泛微网络 sh603039$ $台华新材 sh603055$ 论A股堂的...', '2018-06-14 11:30:53')
('发布了头条文章：《石大胜华 德新交运 泛微网络 台华新材：主力异动，何时反弹?！》 $石大胜华 sh603026$ $德新交运 sh603032$ $泛微网络 sh603039$ $台华新材 sh603055$ $上证指数 sh000001$ |石大胜华 ...', '2018-06-13 04:49:38')
('发布了头条文章：《603039 泛微网络：最新主力动向曝光，后市或将再创新高!》 \ue627 微博股票 \ue627 股票短中长线 $泛微网络 sh603039$ |603039 泛...', '2018-06-11 06:02:56')
('妖股超频三明天的操作策略解密下集$贵航股份 sh600523$ $国科微 sz300672$ $泛微网络 sh603039$ $上海沪工 sh603131$#北京君正 sz300223[股票]# 令哥复盘的...', '2018-06-07 10:51:47')
('6月6月商品解密：A股投资者 累了学会休息$泛微网络 sh603039$ $上海沪工 sh603131$ $弘信电子 sz300657$ $江苏有线 sh600959$#迪贝电气 sh603320[股票]# 令哥复盘的...', '2018-06-06 08:31:51')
('#牛股推荐# 泛微网络一家中国超级OA公司，市值82亿。 比较润和软件102亿，你看到了什么', '2018-06-06 03:08:46')
('发布了头条文章：《大盘能否力挽狂澜：安图生物 老凤祥 泛微网络 卧龙电气 》 $安图生物 sh603658$ $老凤祥 sh600612$ $泛微网络 sh603039$ $卧龙电气 sh600580$ #股票# #上证快讯# |大盘能否力...', '2018-06-01 04:11:55')
('发布了头条文章：《泛微网络603039：股价震荡调整暗藏主力大手笔，此点满仓或一步登天》$泛微网络 sh603039$ \ue627 微博股票热门股票点评#微博股票热议榜#股票最热门#热门股票推荐#股票[超话]# |泛微网络60...', '2018-05-29 04:33:40')
('发布了头条文章：《重磅消息：云南白药+泛微网络+九典制药，本周详细操作策略》 $云南白药 sz000538$ +$泛微网络 sh603039$ +$九典制药 sz300705$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |重磅消息：...', '2018-05-29 04:03:06')
('发布了头条文章：《最新主力狙击：寿仙谷 海利生物 大理药业 泛微网络 》 $寿仙谷 sh603896$ $海利生物 sh603718$ $大理药业 sh603963$ $泛微网络 sh603039$ #股票# #上证快讯# |最新主力狙...', '2018-05-29 03:52:26')
('看完这三分钟视频的交易模式,扭亏为盈不再难#股市大观# #财经易经智库# $泛微网络 sh603039$ $全通教育 sz300359$ 宣凤萍的秒...', '2018-05-29 02:17:19')
('$泛微网络(SH603039)$ 午后直线跳水，一度逼近跌停。现跌8.29%，报81元，成交额6400万元，友情提醒：近来高位股磞盘较多，大家要提防提防', '2018-05-29 02:15:44')
('$高伟达 sz300465$ ：股东拟6个月内减持4.1639%股份 $唐德影视 sz300426$ ：股东拟减持不超1.8%股份 $民盛金科 sz002647$ ：股东被动减持不超过1%股份 $丝路视觉 sz300556$ ：大股东及多名高管拟合计减持不超3.36%股份 $泛微网络 sh603039$ ：股东计划减持不超过1% $上海银行 sh601229$ ：三大股东拟6 ...展开全文c', '2018-05-28 21:13:04')
('多头行情～行业是信息2018.05.25股票简称1恒华科技300365 ...展开全文c', '2018-05-25 04:53:36')
('多头行情～行业是信息2018.05.24股票简称1新南洋 ...展开全文c', '2018-05-24 03:18:20')
('清仓数字认证，泛微网络减仓，在131以下继续增持金牌。天润乳业调进自选股观察。 |佛山·大沥...', '2018-05-23 09:31:49')
('发布了头条文章：《A股精彩走势揭秘： 广汇汽车 川投能源 泛微网络 海汽集团 》 $广汇汽车 sh600297$ $川投能源 sh600674$ $泛微网络 sh603039$ $海汽集团 sh603069$ #上证快讯# |A股精彩走...', '2018-05-23 08:09:17')
('发布了头条文章：《本周展望精准预测：重庆啤酒 泛微网络 聚龙股份 上港集团》$重庆啤酒 sh600132$ $泛微网络 sh603039$ $聚龙股份 sz300202$ $上港集团 sh600018$ #上证快讯# |本周展望精...', '2018-05-23 03:04:23')
('泛微网络,WB-BASE突破进入历史新高，持有1个仓位。', '2001-09-08 21:46:40')
('抱歉，此微博已被作者删除。查看帮助：|为何微博里...', '2018-05-21 01:28:19')
('发布了头条文章：《A股下周走势揭秘：泛微网络 四创电子 宏图高科 华电重工 》 $泛微网络 sh603039$ $四创电子 sh600990$ $宏图高科 sh600122$ $华电重工 sh601226$ #上证快讯# |A股下周走...', '2018-05-19 23:11:38')
('发布了头条文章：《泛微网络603039 ：新一轮回调趋势再度来袭，股民：此点将至关重要》 $泛微网络 sh603039$ #泛微网络 sh603039[股票]#热门股票推荐#大盘-个股-趋势-解答#微博股票#个股专业点评#股票分析#微博股票热议榜# |泛微网络60...', '2018-05-17 10:08:20')
('抖音下载量全球第一 短视频社区时代来临，抖音概念近期火爆，引力传媒，中广天择，网达软件，数据港、辰安科技、泛微网络、神思电子，真视通等等均受到抖音概念带动，集体活跃，今天出现明显分化，主力频繁巨震考验人性，切忌追涨杀跌。', '2018-05-15 22:03:27')
('1、软件龙头：辰安科技跟涨：泛微网络、数据港、网达软件、石基信息、润和软件、卫宁健康这部分直接是支撑创业板强势表现的主要原因。从泛微网络及其他概念的跟涨表现来看，今天分红派息及高送转股有普遍的填权预期。 ...展开全文c', '2018-05-15 07:44:08')
('今天市场暂时还没放量，反而缩量,实际上不及预期,所以大机会暂时没有,市场还是在次新里打转。还有一个就是永和智控反包封板，这个属于前期人气股的反包，应该算是散户合力，可能华锋股份要复牌,也算迎接大哥的表现,惠威科技、泛微网络目前算是高送填权跟随梯队。$华锋股份 sz002806$ ...展开全文c', '2018-05-14 22:17:03')
('发布了头条文章：《A股横空出世：泛微网络 安德利 中国国航 新宏泰 》 $泛微网络 sh603039$ $安德利 sh603031$ $中国国航 sh601111$ $新宏泰 sh603016$ #上证快讯# |A股横空出...', '2018-05-14 02:58:40')
('发布了头条文章：《重磅消息：圣农发展+蓝晓科技+泛微网络，本周详细操作策略》 $圣农发展 sz002299$ +$蓝晓科技 sz300487$ +$泛微网络 sh603039$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |重磅消息：...', '2018-05-13 23:51:18')
('发布了头条文章：《月中走势精彩大揭秘：唐德影视 华凯创意 泛微网络 南京化纤》 $唐德影视 sz300426$ $华凯创意 sz300592$ $泛微网络 sh603039$ $南京化纤 sh600889$ #上证快讯# °月中走势精彩大揭秘：唐德影视 华凯创意 泛微... |月中走势精...', '2018-05-13 22:17:37')
('发布了头条文章：《黑马涨停利好曝光：新朋股份 泛微网络 麦达数字》 |黑马涨停利...', '2018-05-13 04:08:02')
('持有兆易创新，泛微网络，捷捷微电，平治信息的股友，有拿不准的留言在下面或直接私信我。$兆易创新 sh603986$ $泛微网络 sh603039$$捷捷微电 sz300623$ $平治信息 sz300571$#.今日看盘.# #股票# #个股解析#', '2018-05-10 08:48:50')
('发布了头条文章：《本周A股主力惊天揭密：电子城 扬农化工 泛微网络 杭电股份 》 $电子城 sh600658$ $扬农化工 sh600486$ $泛微网络 sh603039$ $杭电股份 sh603618$ #上证快讯#股票# |本周A股主...', '2018-05-07 04:15:00')
('发布了头条文章：《下周股市最佳布局：金徽酒 *ST信通 泛微网络 绿庭投资 》 $金徽酒 sh603919$ *ST$*ST信通 sh600289$ $泛微网络 sh603039$ $绿庭投资 sh600695$ #上证快讯# |下周股市最...', '2018-05-04 03:52:00')
('发布了头条文章：《下周盘面惊天揭秘：泛微网络 茶花股份 如通股份 电魂网络 》 $泛微网络 sh603039$ $茶花股份 sh603615$ $如通股份 sh603036$ $电魂网络 sh603258$ #上证快讯# |下周盘面惊...', '2018-05-04 02:04:33')
('发布了头条文章：《下周盘面惊天揭秘：建设机械 老白干酒 安彩高科 泛微网络 》 $建设机械 sh600984$ $老白干酒 sh600559$ $安彩高科 sh600207$ $泛微网络 sh603039$ #上证快讯# |下周盘面惊...', '2018-05-03 22:57:18')
('目前资金流入最快的个股：恒基达鑫，大元泵业，GQY视讯，广济药业，泛微网络，', '2018-05-03 22:40:18')
