('目前来说，会员布局抄底成功002366台海核电涨7.37%。000413东旭光电+300534陇神戎发+002154报喜鸟 都在盈利，其他都在保本。配资刚好适合操作短线，加油，股市没毛病，抄底。', '2018-07-16 03:02:44')
('行情暴跌个股筹码已经出现了异常，不知道是出是留?投资股票可以加wei信：wangshi5202010，指导最佳买卖点和解套方法，总可以为你指点迷津，同德化工(sz002360) 华泰证券(sh601688) 隆基机械(sz002363) 中恒电气(sz002364) 永安药业(sz002365) 台海核电(sz002366)', '2018-07-14 07:53:52')
('晚间最新利好：太极实业 中国银行嘉事堂 中泰化学 台海核电 $天润乳业 sh600419$ $三维股份 sh603033$ $号百控股 sh600640$ $中远海特 sh600428$ 姚晓浪的秒...', '2018-07-14 07:01:09')
('17岁股市奇才曝：掌握“股市十口诀”, 实现千万梦想，建议收藏 $吉大通信 sz300597$ $台海核电 sz002366$ $丰华股份 sh600615$ $三元股份 sh600429$ 姚晓浪的秒...', '2018-07-12 11:09:54')
('57亿主力资金抢筹，茂化实华跌无可跌，下周超过江南嘉捷？#台海核电 sz002366[股票]# #士兰微 sh600460[股票]# 小雅分析的...', '2018-07-12 05:44:18')
('关于 士兰微 做T的操作，及后期走势分析！ $六国化工 sh600470$ $五洲新春 sh603667$ $台海核电 sz002366$ $英特集团 sz000411$ QueenieL的...', '2018-07-10 23:37:38')
('一位成熟投资者的操盘感悟，新手看懂堪称新手们的福利！#恒逸石化 sz000703[股票]# #兴民智通 sz002355[股票]# #台海核电 sz002366[股票]# #士兰微 sh600460[股票]# 逸帆分析的...', '2018-07-10 01:30:05')
('陕西39岁漂亮女博士放话：股市唯一不“骗人”的指标，字字珠玑 $清源股份 sh603628$ $盐田港 sz000088$ $台海核电 sz002366$ $香飘飘 sh603711$ 意志坚强的...', '2018-07-10 00:07:46')
('股市唯一不欺骗人的“集合竞价”顺口溜，新手熟记：可实现百亿梦 $两面针 sh600249$ $蓝焰控股 sz000968$ $台海核电 sz002366$ $永安行 sh603776$ 我的小蜗牛...', '2018-07-09 05:25:20')
('股市唯一“不骗人”的6大盘口顺口溜，一旦熟记股市就是取款机! $楚江新材 sz002171$ $台海核电 sz002366$ $诺普信 sz002215$ $万邦达 sz300055$ 李小麦同学...', '2018-07-09 03:56:35')
('$江苏神通 sz002438$ 拉升 注意核电$中核科技 sz000777$ $台海核电 sz002366$', '2018-07-08 22:33:20')
('医药又一新龙头横空出世，利润暴涨541倍，或将碾压士兰微成妖 $台海核电 sz002366$ $华峰超纤 sz300180$ $合力泰 sz002217$ $恒泰艾普 sz300157$ yokki阳sup...', '2018-07-08 16:03:06')
('稀土永磁第一龙头86跌至5元，股东增持8700万股，18年将超京东方A $红太阳 sz000525$ $金海环境 sh603311$ $台海核电 sz002366$ $英飞特 sz300582$ 寻找记忆00...', '2018-07-08 14:49:44')
('预知后市是出是留，盲目没有方向的来，指点后市如何操。同德化工(sz002360) 华泰证券(sh601688) 隆基机械(sz002363) 中恒电气(sz002364) 永安药业(sz002365) 台海核电(sz002366) 静心静唔的...', '2018-07-08 09:19:49')
('发布了头条文章：《一重磅级利好深度来袭：300170汉得信息+002366台海核电》 $汉得信息 sz300170$ $台海核电 sz002366$ #今日看盘# #短线牛股# #财经趣闻# |一重磅级利...', '2018-07-08 08:35:27')
('发布了头条文章：《台海核电（002366）：主力精心布局曝光，散户一定要注意了》 $台海核电 sz002366$ \ue627 股票分析 #财经头条# |台海核电（...', '2018-07-08 05:16:54')
('广州一股神:股市19年一直盈利的唯一“真”指标,仅今晚分享1次 $大连圣亚 sh600593$ $华北制药 sh600812$ $秀强股份 sz300160$ $台海核电 sz002366$ 李域悟看盘...', '2018-07-08 03:28:40')
('股神均线：周线选股法是股市唯一100%盈利技巧，建议散户学习 $东信B股 sh900941$ $台海核电 sz002366$ $星光农机 sh603789$ $兆驰股份 sz002429$ 3305079245...', '2018-07-06 04:07:46')
('年利润暴增499倍,电子制造第一龙头63跌至8元,有望乌鸡变凤凰 $台海核电 sz002366$ $天津港 sh600717$ $东湖高新 sh600133$ $润和软件 sz300339$ 意志坚强的...', '2018-07-06 03:24:19')
('股市唯一“不骗人”的6大盘口顺口溜，一旦熟记股市就是取款机！ $台海核电 sz002366$ $高能环境 sh603588$ $中鼎股份 sz000887$ $美尚生态 sz300495$ QueenieL的...', '2018-07-05 21:09:49')
('发布了头条文章：《台海核电002366：告诫三千万股民，主力一动作暴露惊天阴谋！》 \ue627 财经头条文章 \ue627 股票分析 $台海核电 sz002366$ 台海核电002366：告诫三千万股民，主力一动作暴露惊天阴谋！ |台海核电00...', '2018-07-05 07:20:12')
('发布了头条文章：《A股重磅：鹏起科技+台海核电+深深宝A，七月操作策略解读》$鹏起科技 sh600614$ +$台海核电 sz002366$ +$深深宝Ａ sz000019$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |A股重磅：...', '2018-07-05 03:52:23')
('武汉一女博士说破股市: 万一遇见“跌停式”试盘, 定是大牛股 $中大力德 sz002896$ $哈高科 sh600095$ $华银电力 sh600744$ $台海核电 sz002366$ L-花花-V幸...', '2018-07-05 01:49:07')
('昨天核电表现不错，但台海核电却大阴包大阳，操作难度太大。有利就出是当前主旋律，同样，不要加总仓位，装死的仓位够了。我们要做好最坏的打算。今天好多以前的概念中的好股都在大跌，比如大华股份、金风科技、海康威视。市场一片混乱。', '2018-07-05 01:33:30')
('发布了头条文章：《绝世黑马启航龙虎榜？000060中金岭南+002366台海核电》 $中金岭南 sz000060$ $台海核电 sz002366$ #股票分析# #个股推荐与走势分析# #短线牛股# |绝世黑马启...', '2018-07-05 00:06:44')
('大小指数持续走弱，深证成指再创调整新低广大股友们留下你们的代码，帮大家看看票$台海核电 sz002366$ $华发股份 sh600325$$安阳钢铁 sh600569$ $大富科技 sz300134$#微博股票 # #今日看盘#', '2018-07-04 23:50:38')
('$台海核电 sz002366$看空。无任何利好。该股无限售股质押2877.87万股，限售股质押3.53亿股，占总股本的43.99％。', '2018-07-04 22:52:50')
('观察集泰股份、科沃斯、天地数码、南京聚隆、洛凯股份、金奥博、深信服、晓程科技、欣天科技、华虹计通、大连电瓷、捷荣技术、风华高科、台海核电、', '2018-07-04 21:48:59')
('#今日牛股推荐# -$台海核电 sz002366$逻辑：该股是国防军工+核电核能概念，今日该股低位放量站上多方趋势线，技术指标在低位形成金叉，有向上延伸的迹象，从技术形态的趋势上看短期还有上涨的空间，后市回踩后值得关注。基本面分析：公司业绩稳定增长：预计2018年1月至6月归属于上市公司股 ...展开全文c', '2018-07-04 21:31:34')
('线段原来要这么画，很多缠友都错了，赶紧过来恶补一下 #恒逸石化 sz000703[股票]# #兴民智通 sz002355[股票]# #台海核电 sz002366[股票]# #士兰微 sh600460[股票]# 彭曲评股的...', '2018-07-04 08:56:14')
('发布了头条文章：《台海核电002366： 重磅利好，下周望开启暴涨模式》 \ue627 短线牛股 #股票热议榜# $台海核电 sz002366$ |台海核电00...', '2018-07-04 05:54:22')
('今日资金净流入和净流出情况$台海核电 sz002366$ $宏辉果蔬 sh603336$$科大讯飞 sz002230$ $东方财富 sz300059$', '2018-07-04 05:53:39')
('发布了头条文章：《惊世黑马重生启航？002366台海核电+600438通威股份》 $台海核电 sz002366$ $通威股份 sh600438$ #股票分析# #个股推荐与走势分析# #短线牛股# |惊世黑马重...', '2018-07-04 05:40:23')
('发布了头条文章：《台湾核电002366： 爆炸性利好刺激 后市必惊人走势》 #短线牛股推荐# #分析股票# $台海核电 sz002366$ |台湾核电00...', '2018-07-04 05:38:53')
('基本面还行，超跌的个股：三维丝、邦宝益智、新亚制程、亚泰国际、和科达、三鑫医疗、常青股份、杭电股份、石化机械、安靠智能、盛天网络、兄弟科技、杭叉集团、长缆科技、台海核电、科林环保。', '2018-07-04 03:54:28')
('7月4日资金流向：主力净流入行业板块前五：农业种植、民航、银行、电力、林业主力净流入概念板块前五：可燃冰、深圳国资改革、核电、黄金、油品改革主力净流入个股前十：福达合金、$西部黄金 sh601069$ 、$阿石创 sz300706$ 、台海核电、湘邮科技、$安阳钢铁 sh600569$ 、大连电瓷、深深宝A、广 ...展开全文c', '2018-07-04 03:49:16')
('实时播报：【7月4日资金流向】主力净流入行业板块前五：农业种植、民航、银行、电力、林业主力净流入概念板块前五：可燃冰、深圳国资改革、核电、黄金、油品改革主力净流入个股前十：福达合金、西部黄金、阿石创、台海核电、湘邮科技、安阳钢铁、大连电瓷、深深宝A、广发证券、冀凯股份', '2018-07-04 03:30:23')
('下周选方向？破位前强势突破，主力大量买入制造实体阳线吸眼球$台海核电 sz002366$ 壹支小仙女...', '2018-07-04 01:11:54')
('无量下跌，2767点跌19点，成交785亿，热点散，安阳钢铁上半年业绩增加31倍，涨停。中兴通讯冲高回落，核能概念，上海电力，中核科技涨停，台海核电涨停，香港股市28239点跌306点，昨天V底，明天上午会有新买入点', '2018-07-04 00:58:02')
('2018年7月4日9点30到11点30盘面：强势板块：电气设备：太阳电缆、福达合金、双杰电气、大连电瓷、柘中股份电力核电：甘肃电投、中核科技、台海核电、上海电力、高送转：中农立华、欣天科技、冀凯股份、阿石创、双杰电气黄金：西部黄金、赤峰黄金、恒邦股份、山东黄金5G：邦讯技术、奥维通信、欣 ...展开全文c', '2018-07-03 23:55:07')
('发布了头条文章：《A股震荡筑底：福达合金+台海核电+湘邮科技》 $福达合金 sh603045$ $台海核电 sz002366$ $湘邮科技 sh600476$ #股票分析# |A股震荡筑...', '2018-07-03 23:51:29')
('安阳钢铁、华菱钢铁半年报大幅预喜提振板块走强，安阳钢铁强势涨停；黄金板块再获资金青睐，西部黄金涨逾8%；赤峰黄金、恒邦股份跟涨；核电板块盘中崛起，中核科技、台海核电携手涨停；其余板块半日均表现低迷，次新股大幅杀跌，南京证券、中信建投、锋龙股份均跌超9%；科技股集体跳水；家电股一蹶不振 ...展开全文c', '2018-07-03 23:48:24')
('$潜能恒信 sz300191$ 上证综指午盘下跌，创业板指跌超2%；次新股全线杀跌，科技股集体回调；黄金、$台海核电 sz002366$ 核电逆势上攻，受中期业绩大幅预增刺激，安阳钢铁涨停并带动钢铁板块整体活跃。$安阳钢铁 sh600569$ $上证指数 sh000001$', '2018-07-03 23:32:51')
('$金路集团 sz000510$ $湘邮科技 sh600476$台海核电 sz002366$双杰电气 sz300444$冀凯股份 sz002691$安阳钢铁 sh600569$大连电瓷 sz002606$ 风晓解股的...', '2018-07-03 23:17:02')
('核电异动，中核科技、台海核电直线涨停，另外中国核建、兰石重装、中国核电等出现快速拉升~弱势行情不能追高，谨防热点一日游！', '2018-07-03 22:53:02')
('发布了头条文章：《台海核电002366主力阴谋凸显，7月或将涅槃重生》#台海核电 sz002366[股票]# #财经头条文章# #微博股票热议榜# |台海核电00...', '2018-07-03 22:49:52')
('10:24【快讯】7月4日讯，核电股逆市拉升，中核科技、台海核电双双封涨停，兰石重装大涨6%，江苏神通、中国核建、沃尔核材、中国核电等个股纷纷跟涨。点评：短线脉冲，不持续。', '2018-07-03 22:47:29')
('【实时】核电板块异动，龙头中核科技直线封板，台海核电跟随涨停，兰石重装、沃尔核材、江苏神通纷纷跟涨。 |实时快讯', '2018-07-03 22:38:41')
('【大盘：核电股快速拉升 中核科技、台海核电涨停】核电股快速拉升，截止发稿，中核科技(10.440, 0.95, 10.01%)、台海核电(15.210, 1.38, 9.98%)涨停，兰石重装(5.230, 0.22, 4.39%)大涨6%，江苏神通(6.400, 0.22, 3.56%)、中国核建(8.030, 0.31, 4.02%)、沃尔核材(4.530, 0.15, 3.42%)、中国核电(5.770 ...展开全文c', '2018-07-03 22:35:16')
('北京一老教授：20年只用“月线选股”，学会后，股市就是提款机 $红日药业 sz300026$ $美邦服饰 sz002269$ $中直股份 sh600038$ $台海核电 sz002366$ 李域悟看盘...', '2018-07-03 20:03:02')
('北京一女博士自白“内盘外盘”口诀，庄家听后跪求删帖，永久珍藏 $华懋科技 sh603306$ $西藏矿业 sz000762$ $台海核电 sz002366$ $常宝股份 sz002478$ 小正太Ente...', '2018-07-03 14:09:23')
('82岁老股民留给孙子：1个指标CCI+2根均线，股市就提款机 $五洲新春 sh603667$ $台海核电 sz002366$ $哈尔斯 sz002615$ $捷顺科技 sz002609$ 我的小蜗牛...', '2018-07-02 21:24:07')
('利好消息：台海核电 康力电梯 太极股份 刘庆谈财的...', '2018-07-02 05:10:20')
('#7月2日券商晨会研报汇编#【浙商证券】电力新能源：台山、三门完成并网，核电基荷属性再度确立 首先，如2018年核电新机组批复，新开工机组数量有望率先提高，从而带动主设备制造商与建设商率先受益。建议关注：东方电气、久立特材、浙富控股、台海核电、上海电气、*ST一重、二重重装（400062）、中国 ...展开全文c', '2018-07-01 20:38:58')
('68岁深圳股神曝 “七不买三不卖”字字珠玑, 记住5句实现千万本金 $高伟达 sz300465$ $台海核电 sz002366$ $西部牧业 sz300106$ $灵康药业 sh603669$ 我的小蜗牛...', '2018-07-01 10:54:47')
('经典方言搞笑歪歌 老股民精辟总结《炒股之歌》神作不解释 #永福股份 sz300712[股票]# #泰格医药 sz300347[股票]##恒逸石化 sz000703[股票]# #兴民智通 sz002355[股票]# #台海核电 sz002366[股票]# #士兰微 sh600460[股票]# 彭曲评股的...', '2018-06-30 23:27:20')
('82岁老股民留给孙子：1个指标CCI+2根均线，股市就提款机 $四川九洲 sz000801$ $台海核电 sz002366$ $黑芝麻 sz000716$ $凯普生物 sz300639$ 我的小蜗牛...', '2018-06-30 20:47:38')
('发布了头条文章：《走势以及操作技巧精准解析：台海核电+中装建设+华联控股+山西焦化》 $台海核电 sz002366$ $中装建设 sz002822$ $华联控股 sz000036$ $山西焦化 sh600740$ |走势以及操...', '2018-06-28 23:59:53')
('稀土永磁+5G独角兽横空出世，业绩巨增503%，碾压紫光国芯 $威华股份 sz002240$ $德威新材 sz300325$ $台海核电 sz002366$ $省广集团 sz002400$ 我的小蜗牛...', '2018-06-28 20:51:13')
('今天购入：中国核电1、金洲管道1、兴全合宜2、台海核电2、大北农2、中国电影4。消耗了13个单位。39984，华泰天金，期待明日反馈的结果。', '2018-06-27 03:40:29')
('发布了头条文章：《7月涨停潮震撼来袭！台海核电+广宇发展+中央商场+赞宇科技》 $台海核电 sz002366$ $广宇发展 sz000537$ $中央商场 sh600280$ $赞宇科技 sz002637$ \ue627 股票分析 #热门股票推荐# |7月涨停潮...', '2018-06-26 09:23:17')
('香港股神：终于把“换手率”讲清楚了，过了今晚将删除，永珍藏 $奥克股份 sz300082$ $亚泰集团 sh600881$ $台海核电 sz002366$ $华联控股 sz000036$ 我的小蜗牛...', '2018-06-26 05:47:56')
('发布了头条文章：《超级涨停潮震撼登场！海澜之家+上海建工+浙能电力+台海核电》 $海澜之家 sh600398$ $上海建工 sh600170$ $浙能电力 sh600023$ $台海核电 sz002366$ \ue627 股票分析 #财经头条# #财经趣闻# |超级涨停潮...', '2018-06-26 03:10:46')
('利好消息：永安药业 台海核电 康力电梯 刘庆谈财的...', '2018-06-25 21:33:54')
('江粉磁材：最“强”小散，霸气砸身家1000万，然后重新做生意，生意倒闭股票却大赚10亿#恒逸石化 sz000703[股票]# #兴民智通 sz002355[股票]# #台海核电 sz002366[股票]# #士兰微 sh600460[股票]# 小雅分析的...', '2018-06-25 09:36:05')
('长城影视今天洗出了所有不坚定者，主力拿够带血的筹码，尾盘偷袭成功，单针探底完成；台海核电的底部在7月底才会到达底部？//@守望领土: 长城影视，台海核电等之类的骗子公司，歹势中的暴仓典范！', '2018-06-21 17:05:07')
('烟台市台海集团有限公司合计持有公司股份377,530,383股，占公司总股本比例为43.5416%。累计质押数量为342,140,000股，占其所持有的公司股份总数的90.6258%，占公司总股本的39.4599%。2018年5月16日公告至今累计下跌43%，从近期频频在二级市场增持来看应该是补充质押品，该票会不会质押爆仓呢，', '2018-06-25 03:34:41')
('发布了头条文章：《超级涨停潮震撼登场！002366台海核电+002553南方轴承+600151航天机电》 $台海核电 sz002366$ $南方轴承 sz002553$ $航天机电 sh600151$ \ue627 股票分析 #个股推荐与走势分析# #短线牛股# |超级涨停潮...', '2018-06-25 01:15:34')
('汉王科技 隆基机械 中恒电气 永安药业 台海核电 股海大咖的...', '2018-06-23 03:20:20')
('发布了头条文章：《台海核电+兆日科技+岭南股份：主力强势杀入，昔日王者再度归来？》 |台海核电+...', '2018-06-22 22:47:41')
('鬼使神差，五月初头脑发晕，听人消息搞了台海核电，从24跌到14，一夜回到解放前。半年不工作，自控和分析能力都掉沟里了。贸易战不知何时结束，不知结果如何，叠加技术性周期熊市（2018之于2015，相当于2011之于2008），国内债务危机，主动信用收缩。前景极不可预测，割肉，怕是最后一跌；不割肉，怕继 ...展开全文c', '2018-06-21 14:54:35')
('济民制药 大湖股份 广博股份 台海核电 茗漫青年的...', '2018-06-21 08:21:38')
('大盘企稳回升还是下跌中继？6/20日视频解密$大华股份 sz002236$ $金轮股份 sz002722$ $沙河股份 sz000014$ $台海核电 sz002366$#安妮股份 sz002235[股票]# 令哥复盘的...', '2018-06-20 08:43:26')
('量子通信第一龙头股横空出世，神秘巨资疯狂抢筹，碾压京东方A成妖$恒逸石化 sz000703$ $兴民智通 sz002355$ $台海核电 sz002366$ $士兰微 sh600460$ 论A股堂的...', '2018-06-20 02:34:00')
('最“恶心”的白马股，亏损59亿股价却涨停！小散：一买就套！ #恒逸石化 sz000703[股票]# #兴民智通 sz002355[股票]# #台海核电 sz002366[股票]# #士兰微 sh600460[股票]# 彭曲评股的...', '2018-06-20 02:28:52')
('隆基机械 中恒电气 永安药业 台海核电 康力电梯 股海大咖的...', '2018-06-19 03:09:37')
('发布了头条文章：《华通医药 中航三鑫 台海核电 新美星：深度介入，静待佳音?！》 $华通医药 sz002758$ $中航三鑫 sz002163$ $台海核电 sz002366$ $新美星 sz300509$ $上证指数 sh000001$ |华通医药 ...', '2018-06-16 05:51:17')
('上海老博士说破股市：“三不卖七不买”,句句经典,堪称金玉良言 $台海核电 sz002366$ $伟星新材 sz002372$ $章源钨业 sz002378$ $东山精密 sz002384$ 论A股堂的...', '2018-06-15 04:40:44')
('现在市场情绪非常不稳定，以跌停股来看目前市场，流动性的问题可能是最大矛盾，静待下周吧。剩下时间，帮大家看看票。迪生力，鲁西化工，台海核电，欣锐科技$迪生力 sh603335$ $鲁西化工 sz000830$$台海核电 sz002366$ $欣锐科技 sz300745$#微博股票##股海看股#', '2018-06-15 04:05:33')
('台海核电：控股股东及一致行动人承诺1年内不减持-股票频道-金融界 |台海核电：...', '2018-06-14 22:22:10')
('个股增减持：卓郎智能：控股股东拟加码增持至不低于1.5亿元台海核电：控股股东及其一致行动人承诺十二个月内不减持惠发股份：股东黄娟拟减持不超1%股份...展开全文c', '2018-06-14 20:54:05')
('$台海核电 sz002366$ 公告，公司控股股东烟台市台海集团有限公司及其一致行动人承诺：自2018年6月15日起12个月内，不以任何方式减持公司股份。若有送股、资本公积金转增股本等股份变动事项使其持有的公司股票增加的，亦遵守上述承诺。若违反上述承诺，其减持公司股票所得全部归公司所有。评：维护股价 ...展开全文c', '2018-06-14 09:58:18')
('台海核电：大股东增持近60万股_股票频道_证券之星 |台海核电：...', '2018-06-13 22:13:48')
('主力大幅进场，长达2年股价都没动过， 小散：你倒是快动一下啊 #恒逸石化 sz000703[股票]# #兴民智通 sz002355[股票]# #台海核电 sz002366[股票]# #士兰微 sh600460[股票]# 彭曲评股的...', '2018-06-13 09:23:17')
