('盲目没有方向吗？指导后市如何操作，投资股票可以加wei信：371540346，指导买卖点和解套方法！方正证券(sh601901) 亚夏汽车(sz002607) 金信诺(sz300252) 旗滨集团(sh601636) 江苏国信(sz002608) 捷顺科技(sz002609)', '2018-07-24 14:06:02')
('防失忆记录 2018/07/24 二隆平高科 -电工合金 -新大陆 + 小鱼捞错，不管结果如何苏奥传感 + 同上万年青 - 下午冲高计划外 ...展开全文c', '2018-07-23 23:43:16')
('发布了头条文章：《斯太尔尾盘投机封板有何寓意？通产丽星能否打开高度？》 \ue627 股票 \ue627 股票分析 #超频三 sz300647[股票]# #欣锐科技 sz300745[股票]# #亚夏汽车 sz002607[股票]# #猛狮科技 sz002684[股票]# |斯太尔尾盘...', '2018-07-23 23:32:26')
('[炒股技巧]顶尖高手炒股的"最高技巧"，快速提升短线操作功力！#猛狮科技 sz002684[股票]# #京东方Ａ sz000725[股票]# #亚夏汽车 sz002607[股票]# 智超财经的...', '2018-07-23 23:05:22')
('大家注意，目前股指靠近了2920点的压力关口，对于涨幅盈利大的个股建议可以逢高适当提前波段获利了结一部分，分批慢慢进行相对就会主动，对于第三波的行情，大家就可以满仓干了，上周四提醒大家注意的尾盘股$亚夏汽车 sz002607$ 昨日一直都在止损线9.38附近徘徊，还好尾盘的价格收在止损线之上，今日开 ...展开全文c', '2018-07-23 22:56:39')
('均线与K线组合解密，讲解下均线多头选股技巧#猛狮科技 sz002684[股票]# #京东方Ａ sz000725[股票]# #亚夏汽车 sz002607[股票]# 智超财经的...', '2018-07-23 22:56:31')
('股开始全线回落，当天介入的个股不一定能赚钱，主要原因还是大盘拉升的是蓝筹股，大盘虽然大涨，但个股涨幅都不大，如果当天追入回落，第二天可能就开始亏损了，比如前几天介入的亚夏汽车，当天介入大涨，第二天开盘还是获利3个多点，但没有撤离就是被套！所以，目前的行情，有赚就要走，走弱的个股拉 ...展开全文c', '2018-07-23 22:53:32')
('今天大盘的量能感觉是场外资金跑步进场了。中兴通讯昨天跑了加的冠昊生物 华海药业、亚夏汽车和南京新百一汽轿车 黄河旋风继续被套中。黄河旋风还套近10个点。一汽轿车不说了，都是泪。太极实业 海特高新这些都还不错。', '2018-07-23 22:51:56')
('一旦出现在这种“量价关系”形态坚决买入，股价将暴涨，绝无例外!$天成控股 sh600112$ $兆新股份 sz002256$ $亚夏汽车 sz002607$ 晓枫投顾的...', '2018-07-23 21:25:45')
('我回答了 @吃货我17岁 的问题，问题价值￥88.00，大家快来花1元围观~ 微博问答', '2018-07-23 20:56:41')
('发布了头条文章：《最新主力阴谋揭露：亚夏汽车+冠昊生物+兆新股份》$亚夏汽车 sz002607$冠昊生物 sz300238$兆新股份 sz002256$ # A股#股票[超话]# |最新主力阴...', '2018-07-23 10:25:08')
('大连电瓷 亚夏汽车 江苏国信 捷顺科技！#寒锐钴业 sz300618[股票]# #光线传媒 sz300251[股票]# #三德科技 sz300515[股票]# 许楚沛分析...', '2018-07-23 09:09:31')
('为什么高手都在下午尾盘2点半之后才选股，有何买入技巧？#猛狮科技 sz002684[股票]# #京东方Ａ sz000725[股票]# #亚夏汽车 sz002607[股票]# 智超财经的...', '2018-07-23 09:07:01')
('002607 亚夏汽车 （非推荐）小心久盘必跌！表面上是双底图形，但是我更倾向是久盘必跌。理由是现在浮筹太多。是非三天见分晓！(股市风险变幻莫测，谁也不能100%中肯，个人见解，仅供参考) |广州·横沥...', '2018-07-23 07:36:20')
('发布了头条文章：《利好消息亚夏汽车 比亚迪 新日恒力 风华高科》 |利好消息亚...', '2018-07-23 07:23:34')
('发布了头条文章：《亚夏汽车(002607)：汽车配件概念，主力大资金杀入,散户把握最佳良机!》 #002607亚夏汽车# $亚夏汽车 sz002607$ |亚夏汽车(0...', '2018-07-23 06:11:05')
('中国股市极其精辟的选股公式，出手就是强势黑马股（附源码）#猛狮科技 sz002684[股票]# #京东方Ａ sz000725[股票]# #亚夏汽车 sz002607[股票]# 智超财经的...', '2018-07-23 05:36:48')
('如何选短线强势股，让你的股票持续上涨，居高不下（技术分析及建议）#猛狮科技 sz002684[股票]# #京东方Ａ sz000725[股票]# #亚夏汽车 sz002607[股票]# 智超财经的...', '2018-07-23 05:27:27')
('发布了头条文章：《亚夏汽车+华兰生物：主力诡秘布局，庄家40亿加码！雄起18年黑马？》 $亚夏汽车 sz002607$ $华兰生物 sz002007$ $上证指数 sh000001$ #股票分析# |亚夏汽车+...', '2018-07-23 04:35:46')
('百年一遇的短线买卖“指标之王”CCI，精通可纵横股市！ $格力电器 sz000651$ $宁德时代 sz300750$ $常山药业 sz300255$ $亚夏汽车 sz002607$ 马旷盈的秒...', '2018-07-23 04:17:45')
('操盘手10年心得：庄家洗盘还是出货，只需看一眼换手率就够了！$集泰股份 sz002909$ $亚夏汽车 sz002607$ $中弘股份 sz000979$ $猛狮科技 sz002684$ 马旷盈的秒...', '2018-07-23 04:15:48')
('杭州67岁漂亮女博士放话：股市唯一不骗人涨停买入技巧，字字珠玑$亚夏汽车 sz002607$ $赣锋锂业 sz002460$ $风华高科 sz000636$ $平治信息 sz300571$ 马旷盈的秒...', '2018-07-23 04:11:21')
('发布了头条文章：《长生生物竟玩紧急停牌？基建类接替金融，后面几天怎么做？【附股】》 \ue627 股票 \ue627 股票分析 #超频三 sz300647[股票]# #欣锐科技 sz300745[股票]# #亚夏汽车 sz002607[股票]# #猛狮科技 sz002684[股票]# |长生生物竟...', '2018-07-23 02:15:09')
('发布了头条文章：《亚夏汽车+建新股份：绝佳利好奇袭！机构60亿抢筹，冲击18年飙涨王？》 $亚夏汽车 sz002607$ $建新股份 sz300107$ $上证指数 sh000001$ #今日看盘# |亚夏汽车+...', '2018-07-23 02:15:05')
('曾经有只股票叫#亚夏汽车# ，现在有只股票叫#亚厦股份 sz002375[股票]#', '2018-07-23 01:49:46')
('大盘低开翻红，大部分时间运行在红盘，创业板低开回补缺口，小幅回调。中午帮大家看看手里的票。凯瑞德，福达合金，广东甘化，亚夏汽车$凯瑞德 sz002072$ $福达合金 sh603045$$广东甘化 sz000576$ $亚夏汽车 sz002607$#微博股票##股海看股#', '2018-07-22 23:53:49')
('发布了头条文章：《大富科技+亚夏汽车：主力蓄势已久，庄家15亿造势！后势不可小觑！》 $大富科技 sz300134$ $亚夏汽车 sz002607$ $上证指数 sh000001$ #股票分析# |大富科技+...', '2018-07-22 23:39:13')
('看票大盘普遍空头股票在线解析，解析格式【成本+代码】在评论栏留言$美联新材 sz300586$$亚夏汽车 sz002607$$南京证券 sh601990$$药明康德 sh603259$ #微博股票# \ue627 股票 #股票分析# #大盘~股市~股票~证券~中线~短线#', '2018-07-22 23:36:49')
('一字板选涨停强势股心得，成功率高达9成 值得深读！#猛狮科技 sz002684[股票]# #京东方Ａ sz000725[股票]# #亚夏汽车 sz002607[股票]# 智超财经的...', '2018-07-22 23:07:56')
('股市要闻：新股民看K线选股小技巧，值得花三分钟细读#猛狮科技 sz002684[股票]# #京东方Ａ sz000725[股票]# #亚夏汽车 sz002607[股票]# 智超财经的...', '2018-07-22 23:06:39')
('中国芯片第一股跌至5元,神秘机构巨资买入,下周将复制京东方A $威唐工业 sz300707$ $维力医疗 sh603309$ $亚夏汽车 sz002607$ $百川能源 sh600681$ 姚晓浪的秒...', '2018-07-22 22:52:25')
('发布了头条文章：《亚夏汽车 中天科技 泰和新材 三泰控股,主力阴谋凸显，明日走势至关重》$亚夏汽车 sz002607$中天科技 sh600522$泰和新材 sz002254$三泰控股 sz002312$上证指数 sh000001$ |亚夏汽车 ...', '2018-07-22 22:07:06')
('利好消息：二三四五 亚夏汽车 比亚迪 刘庆谈财的...', '2018-07-22 21:53:35')
('发布了头条文章：《绝不买长生生物一股！斯太尔、美联新材、成都银行谁可介入？》 \ue627 股票 \ue627 股票分析 #超频三 sz300647[股票]# #欣锐科技 sz300745[股票]# #亚夏汽车 sz002607[股票]# #猛狮科技 sz002684[股票]# |绝不买长生...', '2018-07-22 09:26:28')
('中国股市周末突发百年难遇大利好，662亿资金提前布局，周一或将上演千股涨停潮#永利股份 sz300230[股票]# #亚夏汽车 sz002607[股票]# 小雅分析的...', '2018-07-22 08:33:47')
('一旦股票出现“十字星”信号，坚决捂股，即将有一波暴涨行情！ $双良节能 sh600481$ $香山股份 sz002870$ $溢多利 sz300381$ $亚夏汽车 sz002607$ 李小麦同学...', '2018-07-22 05:43:33')
('一套实战20年盈利不停的交易模式，炒股迷茫的时候，就打开看10遍#猛狮科技 sz002684[股票]# #京东方Ａ sz000725[股票]# #亚夏汽车 sz002607[股票]# 智超财经的...', '2018-07-22 05:31:17')
('亚夏汽车 江苏国信 捷顺科技 爱康科技！ #亿通科技 sz300211[股票]# #洲明科技 sz300232[股票]# #达志科技 sz300530[股票]# 许楚沛分析...', '2018-07-22 05:08:35')
('北京资深操盘老手爆：BOLL+KDJ+MACD三榜提名，活捉金牛 $格力电器 sz000651$ +$亚夏汽车 sz002607$ +$陕西煤业 sh601225$ +$中科曙光 sh603019$ 郑傅琦看盘...', '2018-07-22 04:18:18')
('老股民打死不传的短线选股技巧大曝光,从未失手,准确率98％$科大讯飞 sz002230$ $集泰股份 sz002909$ $亚夏汽车 sz002607$ $中弘股份 sz000979$ 汪振峯1983...', '2018-07-22 02:25:13')
('香港一女博士终把“换手率”讲清楚了，牢记6句，可实现百亿梦想！$风华高科 sz000636$ $万华化学 sh600309$ $亚夏汽车 sz002607$ $*ST钒钛 sz000629$ 胡亦彰的秒...', '2018-07-22 01:53:44')
('发布了头条文章：《庄家常用的洗盘手法 资深操盘手亲自讲解技巧！》#002684猛狮科技##000415渤海金控##000725京东方A##002607亚夏汽车#|庄家常用的...', '2018-07-22 01:18:04')
('香港股神：终于把“换手率”讲清楚了，过了今晚将删除，永珍藏 $江铃汽车 sz000550$ $联发股份 sz002394$ $吉翔股份 sh603399$ $亚夏汽车 sz002607$ 我的小蜗牛...', '2018-07-22 00:52:33')
('发布了头条文章：《文轩论股：欣天科技+神雾节能+亚夏汽车，后期走势精准剖析！》 $欣天科技 sz300615$ $上证指数 sh000001$ #股票# #股票分析# #今日看盘# #短线牛股# |文轩论股：...', '2018-07-21 23:46:20')
('发布了头条文章：《记住这几点，轻松抓【妖股】！》 \ue627 股票 \ue627 股票分析 #超频三 sz300647[股票]# #欣锐科技 sz300745[股票]# #亚夏汽车 sz002607[股票]# #猛狮科技 sz002684[股票]# |记住这几点...', '2018-07-21 23:27:37')
('香港一老教授终把“内盘外盘”讲透彻了，字字抖金，值得散户收藏$风华高科 sz000636$ $万华化学 sh600309$ $亚夏汽车 sz002607$ $*ST钒钛 sz000629$ 胡亦彰的秒...', '2018-07-21 23:13:02')
('发布了头条文章：《游资手法：九步拆解龙头弱转强，斯太尔、兆新股份、美联新材为例》 \ue627 股票 \ue627 股票分析 #超频三 sz300647[股票]# #欣锐科技 sz300745[股票]# #亚夏汽车 sz002607[股票]# #猛狮科技 sz002684[股票]# |游资手法：...', '2018-07-21 23:11:04')
('华意压缩(000404)ST鑫光(000405)石油大明(000406)胜利股份\ue627 股票 \ue627 股票分析 #超频三 sz300647[股票]# #欣锐科技 sz300745[股票]# #亚夏汽车 sz002607[股票]# #猛狮科技 sz002684[股票]# 上官诚论股...', '2018-07-21 23:03:47')
('申万宏源(000166)东方市场(000301)美的集团(000333)潍柴动力\ue627 股票 \ue627 股票分析 #超频三 sz300647[股票]# #欣锐科技 sz300745[股票]# #亚夏汽车 sz002607[股票]# #猛狮科技 sz002684[股票]# 上官诚论股...', '2018-07-21 23:03:17')
('华数传媒(000156)中联重科(000157)常山北明(000158)国际实业\ue627 股票 \ue627 股票分析 #超频三 sz300647[股票]# #欣锐科技 sz300745[股票]# #亚夏汽车 sz002607[股票]# #猛狮科技 sz002684[股票]# 上官诚论股...', '2018-07-21 23:02:18')
('宜华健康(000150)中成股份(000151)丰原药业(000153)川化股份\ue627 股票 \ue627 股票分析 #超频三 sz300647[股票]# #欣锐科技 sz300745[股票]# #亚夏汽车 sz002607[股票]# #猛狮科技 sz002684[股票]# 上官诚论股...', '2018-07-21 23:02:04')
('特发信息(000070)海王生物(000078)盐田港(000088)深圳机场\ue627 股票 \ue627 股票分析 #超频三 sz300647[股票]# #欣锐科技 sz300745[股票]# #亚夏汽车 sz002607[股票]# #猛狮科技 sz002684[股票]# 上官诚论股...', '2018-07-21 23:01:35')
('“擒龙术”核心——抓龙头让你不错过题材或者板块龙头的任何机会$建新股份 sz300107$ $亚夏汽车 sz002607$ $中兴通讯 sz000063$ $华谊兄弟 sz300027$ 马旷盈的秒...', '2018-07-21 22:29:55')
('股市唯一赚钱指标——“MACD”，堪称股市经典，建议永久珍藏！$贵州茅台 sh600519$ $中国软件 sh600536$ $亚夏汽车 sz002607$ $五粮液 sz000858$ 徐道珺的秒...', '2018-07-21 22:24:19')
('2900点近在眼前，你做好准备了吗$万华化学 sh600309$ $新日恒力 sh600165$ $亚夏汽车 sz002607$ 晓枫投顾的...', '2018-07-21 22:24:00')
('决不能错过的选股技巧：如何在震荡行情中寻找黑马？从这几点中看#猛狮科技 sz002684[股票]# #京东方Ａ sz000725[股票]# #亚夏汽车 sz002607[股票]# 智超财经的...', '2018-07-21 22:03:55')
('香港一老教授：27年只用“月线选股”，学会后，股市就是提款机$风华高科 sz000636$ $万华化学 sh600309$ $亚夏汽车 sz002607$ $*ST钒钛 sz000629$ 胡亦彰的秒...', '2018-07-21 21:56:05')
('中国股市无人知晓的秘密：选股坚持只看一条线，值得读10遍#猛狮科技 sz002684[股票]# #京东方Ａ sz000725[股票]# #亚夏汽车 sz002607[股票]# 智超财经的...', '2018-07-21 21:54:18')
('一位短线高手把“线上阴线买”讲明白了，简单实用，建议散户珍藏$风华高科 sz000636$ $万华化学 sh600309$ $亚夏汽车 sz002607$ $*ST钒钛 sz000629$ 胡亦彰的秒...', '2018-07-21 21:37:09')
('发布了头条文章：《鸿博股份+亚夏汽车：主力源头查明,庄家23亿建仓！后势被严重低估》$鸿博股份 sz002229$ $亚夏汽车 sz002607$ $上证指数 sh000001$ #股票分析# |鸿博股份+...', '2018-07-21 00:54:27')
('星期天闲来没事做， 给你们看看票，以下票有什么不懂评论私聊问我就可以$南京新百 sh600682$$供销大集 sz000564$$亚夏汽车 sz002607$$华纺股份 sh600448$ #微博股票# #微博看市# #大盘-个股-趋势-解答#', '2018-07-20 21:52:08')
('今天锂电池概念股斯太尔早盘强势封第四板涨停，全天没有打开，带动了锂电池相关概念股上涨，这是市场上连板数量最高的股票，封板很坚决。从近三个月的热门股票来看，亚夏汽车，超频三，欣锐科技，天华超净，再到现在的斯太尔，这些这两个月数得上名字的热门股大多都是新能源汽车，锂电池系列的股票，后 ...展开全文c', '2018-07-20 09:31:35')
('一位成功老股民的投资感悟：股票不是用来炒的！ #亚夏汽车 sz002607[股票]# 杰森财经的...', '2018-07-20 05:52:18')
('利好消息：亚夏汽车 华帝股份 乐视网 刘庆谈财的...', '2018-07-20 04:01:34')
('发布了头条文章：《亚夏汽车+青岛金王：主力洗盘遭曝光！下周目标7月龙虎榜榜首?》 $亚夏汽车 sz002607$ $青岛金王 sz002094$ $上证指数 sh000001$ #今日看盘# #股票# |亚夏汽车+...', '2018-07-20 03:14:50')
('7.18-今年以来，发布资产重组方案中构成借壳上市的上市公司数量只有4家，分别为东方新星（002755.SZ）、万邦德（002082.SZ）、亚夏汽车（002607.SZ）和ST嘉陵（600877.SH）。2017年全年也仅有6家，分别为360借壳江南嘉捷上市，领益制造（002600.SZ）、东方市场（000301.SZ）、银星能源（000862.SZ）、 ...展开全文c', '2018-07-20 03:03:37')
('股市唯一不“骗人”的指标——“CCI”，句句经典，建议散户收藏$亚夏汽车 sz002607$ $大富科技 sz300134$ $万科Ａ sz000002$ $乐视网 sz300104$ 徐道珺的秒...', '2018-07-20 02:53:18')
('用MACD选股，简单暴力，每天认真读三遍，必成高手！#猛狮科技 sz002684[股票]# #京东方Ａ sz000725[股票]# #亚夏汽车 sz002607[股票]# 智超财经的...', '2018-07-20 01:24:58')
('刚才说的三只市场风向标到目前为止只有一只美联新材走出来，通产丽星低开，赫美集团高开低走，所以既然没有预期那么没啥说的继续不动手，还是关注龙二波的$福达合金 sh603045$ 和002607亚夏汽车吧。上次微博提示各位的$至纯科技 sh603690$ 也依旧再走趋势，$宁德时代 sz300750$ 踩5日线继续上冲，带动 ...展开全文c', '2018-07-19 22:16:42')
('当时还有个牛逼的宏川智慧也被停牌核查过。//@潘益兵:记错了吧，印象中6月份至少有亚夏汽车、超频三、藏格控股、华锋股份、华自科技、雷曼股份、隆盛科技等多只个股停牌核查过。', '2018-07-19 06:10:47')
('话说最后一次停牌核查的还是5月26日的科创新源，已经快2个月没停牌核查，现在管理层容忍度大大提高了吗？', '2018-07-19 09:50:12')
('“生物制药”龙头股一鸣惊人，主力增持480亿疯狂抢入现金叉，18年有望乌鸦变凤凰$达刚路机 sz300103$ $亚夏汽车 sz002607$ $牧原股份 sz002714$ $泰达股份 sz000652$ 蒋涛分析的...', '2018-07-19 05:28:44')
('#002607亚夏汽车##000636风华高科##300104乐视网##000670盈方微#就在今天，乐视网 东方财富 游久游戏集体上高速，互联网行业再遇破天荒利好消息！ 先锋晓晓的...', '2018-07-19 05:02:32')
('#603348文灿股份##000725京东方A##002607亚夏汽车##300750宁德时代#中国股市发射罕见巨雷，一颗“原子弹”炸向银行股：江阴银行 上海银行 中国银行 先锋晓晓的...', '2018-07-19 04:58:59')
('$申万宏源sz000166$$包钢股份sh600010$#002607亚夏汽车##300750宁德时代#中国股市终于疯狂发怒，高层揭秘背后最大阴谋：东方财富 紫金矿业 天业股份 先锋晓晓的...', '2018-07-19 04:56:28')
('$西宁特钢sh600117$$中国电建sh601669$#002607亚夏汽车##002594比亚迪#中国重工高层雄赳赳的宣布高送转成功下达，国家队：下答错了，闹了一个“国际乌龙” 先锋晓晓的...', '2018-07-19 04:47:28')
('发布了头条文章：《马钢股份+亚夏汽车+丰元股份， 后期精准走势剖析》$马钢股份 sh600808$亚夏汽车 sz002607$丰元股份 sz002805$上证指数 sh000001$ |马钢股份+...', '2018-07-19 04:43:47')
('亚夏汽车的解读有问题，亚夏的脉冲基于的不是在线教育，我刚才翻了一圈，没看到在线教育有上板的，但是有脉冲到涨停附近的，不过后继并没有封板，这是比较坑的，而亚夏的上涨基于的逻辑是CP3的涨停，那么这个逻辑也是没毛病的，同期强势股的龙回头模式复辟，会带动当时的其他强势股，不过整个逻辑就要 ...展开全文c', '2018-07-19 02:19:25')
('发布了头条文章：《仙坛股份 奥瑞德 亚夏汽车 京威股份：抄底机会来了？》$仙坛股份 sz002746$ $奥瑞德 sh600666$ $亚夏汽车 sz002607$ $京威股份 sz002662$ #上证快讯# |仙坛股份 ...', '2018-07-18 23:41:47')
('北京45岁漂亮女博士放话：股市唯一不“骗人”的指标，字字珠玑 $泰永长征 sz002927$ $捷荣技术 sz002855$ $亚夏汽车 sz002607$ $云投生态 sz002200$ 姚晓浪的秒...', '2018-07-18 21:45:41')
('上海女股民讲透了“K线的线上阴线买，线下阳线抛”，太绝了 $亚夏汽车 sz002607$ $恒逸石化 sz000703$ $宝钢股份 sh600019$ $南华生物 sz000504$ 3305079245...', '2018-07-18 16:29:51')
('发布了头条文章：《中国国航601111+亚夏汽车002607主力意图之深! 后势被严重低估》 $中国国航 sh601111$ $亚夏汽车 sz002607$ #上证指数 sh000001[股票]# #今日看盘# #股票# |中国国航60...', '2018-07-18 09:24:35')
('#002684猛狮科技##000415渤海金控##000725京东方A##002607亚夏汽车#芯片第一龙头股，遭主力44亿加仓，后市登顶妖王 先锋晓晓的...', '2018-07-18 06:04:02')
('#300676华大基因##000725京东方A##000636风华高科##002607亚夏汽车#数年一遇两大超级利好，戳破利空“真面目”，暴涨无悬念！ 先锋晓晓的...', '2018-07-18 04:18:56')
('经历过两次牛市的投资者告诉你：周线选股技巧选黑马三要素#猛狮科技 sz002684[股票]# #京东方Ａ sz000725[股票]# #亚夏汽车 sz002607[股票]# 智超财经的...', '2018-07-18 03:56:38')
('目前尾盘的放量下杀，有点恐慌情绪出现了！说明个股为尾盘跳水有点明显了！剩下时间帮大家看看票。汉嘉设计，欣锐科技，世纪天鸿，亚夏汽车$汉嘉设计 sz300746$ $欣锐科技 sz300745$$世纪天鸿 sz300654$ $亚夏汽车 sz002607$#微博股票##股海看股#', '2018-07-18 03:53:22')
('发布了头条文章：《A股重磅：亚夏汽车+海川智能+华脉科技，七月操作策略解读》 $亚夏汽车 sz002607$ +$海川智能 sz300720$ +$华脉科技 sh603042$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |A股重磅：...', '2018-07-18 03:53:03')
('散户如何在股市赚钱？八大选股方式教你如何选择好股！#猛狮科技 sz002684[股票]# #京东方Ａ sz000725[股票]# #亚夏汽车 sz002607[股票]# 智超财经的...', '2018-07-18 03:48:51')
('#601330绿色动力##300266兴源环境##002607亚夏汽车##300718长盛轴承#环保第一龙头严重被低估，大股东开始增持，将重磅回归！ 先锋晓晓的...', '2018-07-18 03:31:14')
('发布了头条文章：《亚夏汽车002607：主力“布局”包藏祸心！目标18年飙涨王？》 $亚夏汽车 sz002607$ $上证指数 sh000001$ #股票# #今日看盘# |亚夏汽车00...', '2018-07-18 03:13:42')
('收盘大盘走势不稳股票在线解析，解析格式【成本+代码】在评论栏留言$格力电器 sz000651$$亚夏汽车 sz002607$$盈方微 sz000670$$森霸传感 sz300701$\ue627 股票 #微博股票# #今日看盘# #股市~a股~大盘~股票#', '2018-07-18 03:12:34')
('$西宁特钢sh600117$$中国电建sh601669$#002607亚夏汽车##002594比亚迪#方大炭素：底部显现三线金叉，主力20亿抢筹，股价蹭蹭上涨，目标价35元！ 先锋晓晓的...', '2018-07-18 03:12:29')
('#002607亚夏汽车##002594比亚迪##300707威唐工业##000636风华高科#贵州燃气：携手机构加仓69亿，中报增长115%，后市9涨停已板上钉钉！ 先锋晓晓的...', '2018-07-18 03:03:07')
('$申万宏源sz000166$$包钢股份sh600010$#002607亚夏汽车##300750宁德时代#医药又一新龙头横空出世，利润暴涨7倍，或将碾压士兰微成妖 先锋晓晓的...', '2018-07-18 02:47:55')
('#002607亚夏汽车##000636风华高科##300104乐视网##000670盈方微#股市常见的八种“十字星”看盘技巧，一旦掌握，是买是卖轻松识别 先锋晓晓的...', '2018-07-18 01:55:44')
('发布了头条文章：《炒股高手常用的“上下背离买入法”，屡试不爽，跟庄吃肉学会一招就够》 #603348文灿股份##000725京东方A##002607亚夏汽车##300750宁德时代#|炒股高手常...', '2018-07-18 01:50:40')
('@全体成员 最近很多人问我亚夏汽车能不能做长线 我给大家说一下 亚夏汽车是一个比较特殊的借壳上市，这个亚夏汽车只是公布了预案 他还没有通过证监会最终审查阶段，并且还没有非公开增发股票。这个和完整借壳上市是有区别的，正常的借壳上市是发预案 完成增发 再复盘。但亚夏汽车只是公布预案 就获得了 ...展开全文c', '2018-07-18 01:32:31')
('防失忆记录 18/07/17 二 （补）卫光生物 o宏达电子 - 跟风弱沃特股份 - 然下午板，卖飞，方向倾斜，指数反抽恒康医疗 -亚夏汽车 - 慢，怕，走 ...展开全文c', '2018-07-17 23:39:17')
('发布了头条文章：《A股盘外游资55亿盯盘，7月定妖股频出：亿嘉和+药明康德+亚夏汽车》 $亿嘉和 sh603666$ $药明康德 sh603259$ $亚夏汽车 sz002607$ #股票# #今日看盘# #大盘# |A股盘外游...', '2018-07-17 23:37:07')
('发布了头条文章：《游资怒爆加持，预警18年暴涨黑马？围海股份+三川智慧+亚夏汽车》 $围海股份 sz002586$ $三川智慧 sz300066$ $亚夏汽车 sz002607$ #股票分析# #今日看盘# #短线牛股# |游资怒爆加...', '2018-07-17 23:03:46')
('发布了头条文章：《主力7亿增持！首席妖王内定？围海股份+吴通控股+华鹏飞+亚夏汽车》 $围海股份 sz002586$ $吴通控股 sz300292$ $华鹏飞 sz300350$ $亚夏汽车 sz002607$ #股票# #今日看盘# |主力7亿增...', '2018-07-17 22:54:43')
('发布了头条文章：《文轩论股：中国软件+亚夏汽车+三变科技+杉杉股份》$三变科技 sz002112$ $上证指数 sh000001$ #股票分析# #股票# #今日看盘# |文轩论股：...', '2018-07-17 22:41:16')
('昨天基本上以最低点买入了亚夏，推荐关注，应该有涨。$亚夏汽车 sz002607$', '2018-07-17 18:56:38')
('现在的市场是专业收割龙头，强势的超级龙头一旦见顶之后很难有反弹，这类个股一旦见顶之后，千万不要试图去博取反弹，否则下场会很惨。比如说亚夏汽车、新锐科技、猛狮科技和现在的天华超净。', '2018-07-17 15:44:25')
('$亚夏汽车 sh002607$$京东方A sh000725$$福日电子 sh600203$ 杨超分析的...', '2018-07-17 03:43:21')
('今天多关注独立个股：亚夏汽车、三联虹普这类票因为市场没热点了。', '2018-07-17 00:53:25')
('#亚夏汽车 sz002607[股票]# 市场尾盘的反弹加了一点力度，能否持续就要看下午的走势了，目前行情很弱，没有大量的抄底资金，2800点跌破后，2777是一个强支撑位，关键看下午的走势，非常重要', '2018-07-16 23:27:16')
