('股市唯一不“骗人”的指标——“CCI”，句句经典，建议散户收藏 $新经典 sh603096$ $深南电A sz000037$ $步步高 sz002251$ $京威股份 sz002662$ 马旷盈的秒...', '2018-07-24 12:13:13')
('7月20日重点股发布大单流向华新水泥、浪潮信息、中科曙光、海螺水泥、工业富联、超短线科锐国际、欣天科技、京威股份、亿利达、博敏电子、华正新材、意华股份、英科医疗、三维丝、纵横通信、容大感光、镇海股份、伊戈尔、传艺科技、高风险欣锐科技、宁德时代、飞荣达、锐科激光、集泰股份、东宏 ...展开全文c', '2018-07-21 03:39:14')
('发布了头条文章：《京威股份002662：庄家再生“祸端”！遭机构40亿抢筹！势登7月龙虎榜》 $京威股份 sz002662$ $上证指数 sh000001$ #今日看盘# #股票# |京威股份00...', '2018-07-20 23:40:43')
('【早评参考】#.今日看盘.#1、减持个股注意下，柏堡龙、京威股份、健友股份、永东股份、世名科技、万科；2、高转送填权，主要是由美联新材带起的，但现在的前排个股，无论是美联新材还是赫美集团都比较难接力，不是说他们没有进一步走强的可能，只是性价不高，容易大面。相反把填权当一个加分项来看 ...展开全文c', '2018-07-20 10:19:54')
('发布了头条文章：《京威股份002662：机构再度怒刮妖风！后期走势被严重低估？》 $京威股份 sz002662$ $上证指数 sh000001$ #股票分析# |京威股份00...', '2018-07-20 09:35:55')
('盲目没有方向吗？指导后市如何操作，投资股票可以加wei信：371540346，指导买卖点和解套方法！凯文教育(sz002659) 京威股份(sz002662) 三六五网(sz300295) 利亚德(sz300296) 克明面业(sz002661) 蓝盾股份(sz300297)', '2018-07-20 04:43:29')
('发布了头条文章：《江苏新能+京威股份：游资巨量建仓,游资5亿建仓！年度金妖领涨模式？》 $江苏新能 sh603693$ $京威股份 sz002662$ $上证指数 sh000001$ #股票分析# |江苏新能+...', '2018-07-20 03:48:06')
('发布了头条文章：《七月操作策略解读：开元股份 尚品宅配 新野纺织 京威股份》$开元股份 sz300338$ $尚品宅配 sz300616$ $新野纺织 sz002087$ $京威股份 sz002662$ #上证快讯# |七月操作策...', '2018-07-20 02:15:57')
('利空：傲农生物中报预降；凯瑞德终止筹划重大资产重组事项；中青旅收购古北水镇20%股权事项可能终止；长生生物被罚没344万元；正邦科技被罚205万元；辉丰股份两项目环境违法，将遭行政处罚；万科A、腾龙股份股东减持；京威股份、永东股份、科恒股份、柏堡龙、世名科技、健友股份股东拟减持。', '2018-07-20 02:02:18')
('发布了头条文章：《京威股份002662 ：股价喋喋不休暗藏破风险，此点做好万全准备》 $京威股份 sz002662$ #微博股票热议榜#股票分析[超话]\ue627 微博股票 |京威股份00...', '2018-07-19 23:15:49')
('#京威股份 sz002662[股票]# 大盘分时黄白线出现劈叉，今天小盘表现要强于大盘股，昨天小盘股弱，蹊跷效应，近期切换比较频繁，先抑后扬比先扬后抑要好很多，大盘高开的话会有抛压', '2018-07-19 22:39:12')
('减持柏堡龙：两家定增股东拟减持不超6%股份。京威股份：股东计划减持不超6%股份。健友股份：多股东拟减持不超5.8324%股份。永东股份：东方富海拟减持不超2%股份。世名科技：红塔创新拟减持不超1.636%股份。万科：钜盛华及前海人寿合计减持5%股份', '2018-07-19 21:31:49')
('京威股份：福尔达投资、龚福根和龚斌计划自本提示性公告披露之日起15个交易日后的180天内通过集中竞价交易减持数量不超过3,000万股，即不超过公司总股本的2%； 通过大宗交易减持数量不超过6,000万股，即不超过公司总股本的4%。评：这样的就直接剔除自选股，没商量！', '2018-07-19 09:26:03')
('京威股份我简单给你们分析下，今天换手3，实际换手7，成交2亿，对比昨天和前天的两天稳定换手4和5，成交3亿，最近从6月底到7月开始超额融资，近期两笔融资4000W+，一笔托单封单8000手，300W封单？二笔截止跌停十分钟封单700W，封单？出货？不存在的。以后遇到傻的，我会直接拉黑不解释，浪费口舌，没时 ...展开全文c', '2018-07-19 08:20:08')
('京威股份兑现利润之后我会补发一篇长文，不要后悔自己做的所有决定，未来给你什么，连你自己都不知道。', '2018-07-19 02:48:34')
('京威股份，撤掉托单给我看看，求跌停。', '2018-07-19 02:06:25')
('点赞本条微博尾盘送好股盈利在10%左右7月19主力大单流出个股：$江苏新能 sh603693$ $京威股份 sz002662$$科沃斯 sh603486$ $科迪乳业 sz002770$', '2018-07-19 01:28:33')
('今天上了赫美集团，宁德时代和三钢敏光做t，京威股份我不打算走，持有几天看看吧', '2018-07-19 00:08:43')
('发布了头条文章：《仙坛股份 奥瑞德 亚夏汽车 京威股份：抄底机会来了？》$仙坛股份 sz002746$ $奥瑞德 sh600666$ $亚夏汽车 sz002607$ $京威股份 sz002662$ #上证快讯# |仙坛股份 ...', '2018-07-18 23:41:47')
('我今天非常忙，有很多事情要处理。你们大胆加仓，不要再被洗出去了，至纯科技，风华高科，同程新材，京威股份，送钱的地方。', '2018-07-18 23:30:18')
('中国芯片第一股从93跌至2元,机构豪砸96亿增持,有望赶超宏达电子 $宇顺电子 sz002289$ $京威股份 sz002662$ $中电电机 sh603988$ $*ST成城 sh600247$ 姚晓浪的秒...', '2018-07-18 22:17:15')
('发布了头条文章：《京威股份002662：三重利好来袭！机构13亿巨资抬轿，7月妖王来袭？》 $京威股份 sz002662$ $上证指数 sh000001$ #股票# #今日看盘# #大盘# |京威股份00...', '2018-07-18 22:09:31')
('中超控股、京威股份等前期强势股今天纷纷调整，要换新极品', '2018-07-18 21:36:53')
('7-18日解盘： 目前还是“左侧”，应慎重！明日继续调整 #中兴通讯 sz000063[股票]# #杭电股份 sh603618[股票]# #深南股份 sz002417[股票]# #京威股份 sz002662[股票]# $科华恒盛 sz002335$ $泸州老窖 sz000568$ 令哥复盘的...', '2018-07-18 09:46:41')
('发布了头条文章：《丝路视觉+ 博敏电子+京威股份，主力阴谋凸显，明日走势至关重要》$丝路视觉 sz300556$博敏电子 sh603936$京威股份 sz002662$上证指数 sh000001$ |丝路视觉+ ...', '2018-07-18 05:31:34')
('发布了头条文章：《京威股份002662遭神秘资金豪砸11亿，将狂拉3连板成妖?》 #京威股份 sz002662[股票]# #财经头条文章# #微博股票热议榜# |京威股份00...', '2018-07-18 05:18:59')
('今天个股都没啥表现，除了早盘建议关注的$京威股份 sz002662$ 表现较强外，其他个股都是小涨小跌，相信大家看盘也是无精打采的，但阳光总在风雨后！', '2018-07-18 01:48:03')
('7.18 午行情预期是反弹，结果也如我所料，但是这种普涨不容易带起行情，还怕冲高回落。特别今天对于打板来说，能做的很少，昨天给的低吸标，京威股份，亿利达，沃特股份，江苏新能倒是勉勉强强，当然这些我只是中午复述一遍，你早上没买到就不要再瞎追，行情没好到无脑的阶段，这时候求稳更好，没买 ...展开全文c', '2018-07-18 01:22:44')
('昨日被砸的个股如意华股份、京威股份等，今天看是否继续核按钮，上一批高位股天华超净、宏达矿业等是否止跌；继续核按钮或者大跌就谨慎出手。另外观察三变科技的承接如何，通产丽星能否放量往上，昨日通产丽星开板放量之后回封，带动了亿利达的2连板，下午带动了石墨烯板块，今天看龙头能否放量封板， ...展开全文c', '2018-07-17 23:42:24')
('$上证指数 sh000001$ #不二--乐道# 目前的行情不宜追涨，很多个股冲4%左右买力不够，开始回调，如京威股份、锐达投资、国桢环保、南京化纤、中科电气。但邦讯技术有点意思，公告说股东被减持，股价却拉升。目前是白酒走弱，有人气的次新股却不能延续昨天下午的攻势，这样的盘面很磨人，有点耐心才行。 ...展开全文c', '2018-07-17 23:25:20')
('京威股份的柚子完美演绎了如何在利空出现的情况下，找到接盘侠的路线图。利空发酵，低开下跌，快速拉高，振幅达10％，然后小幅震荡墨迹，利用人性贪婪和患得患失以及犹豫不决的弱点，缓慢出货。那么，还会不会继续拉升封板？很难，目前的走势就是使观望资金对利空的反应变得迟钝，甚至使其怀疑利空 ...展开全文c', '2018-07-17 22:46:24')
('$京威股份 sz002662$ 绿盘拉升翻红4%，早上给大家分享的别说没有低吸机会....另外一只$中能电气 sz300062$ 还是绿盘水下游，两只能跑出来一只已经知足了，注意要买也是低吸不可追高。风华高科还是牛逼我行我素新高中，方大炭素也在拉升，英雄相惜。石墨烯概念股德尔未来/珈伟股份/大富科技涨停 ...展开全文c', '2018-07-17 22:45:44')
('今天没开新仓，主要就是宁德做做T，方大炭素解套了就走人了（感觉卖飞了。），另外一个号低吸了江苏新能和京威股份，感觉不是很好，明天又要纸上富贵。', '2018-07-17 22:45:09')
('京威股份，给了你们两种选择，第一种开盘后落袋昨天低吸的仓位然后再接回，第二种选择保留昨天低吸的仓位在贴线加仓，且仓位相对较重，早盘写的非常清楚，并且大概率要走出一个涨停板，所以继续持有，会变成收复失地的一个重要标的。$京威股份 sz002662$', '2018-07-17 22:35:54')
('发布了头条文章：《京威股份002662：主力蕴藏大阴谋，隐藏黑马股曝光》#财经头条文章# #上证指数 sh000001[股票]# #京威股份 sz002662[股票]# |京威股份00...', '2018-07-17 22:19:25')
('京威股份再度大幅上拉，6月对交流区用户举例的极品超跌股，新能源车题材。6月举例7月牛，我现在7月举例的新极品8月牛也很好，充分追跌埋伏机会', '2018-07-17 21:59:43')
('飞荣达，通产丽星，金安国纪竞价太高不好介入，个别标的情绪一字板。最好的介入标的且满足预期的，京威股份，至纯科技。纵横通信低开可以直接落袋，彤程新材昨天水下6点介入，平盘开盘所以可以落袋后贴线接回，也可以持有。', '2018-07-17 21:43:10')
('1、现在板块龙头最后倒下？ 好像不存在，小弟依然活的好好的，比如天华超净天地板那天，京威股份依然牢牢封死涨停，昨天意化股份小幅高开低于预期，冲高无力大幅回落，但是飞荣达，纵横通信等依然2板稳稳封住。2、5G：上面也写了龙头倒下，现在市场有对于缩量加速的接力开始谨慎，毕竟近期加速大面太 ...展开全文c', '2018-07-17 21:34:53')
('MLCC龙头$风华高科 sz000636$ 走势有点方大炭素的味道了...至于风华能不能对标方大，因为上次已出所以暂时不去意淫，可以发掘下低位小弟——000701厦门信达看能否来一波。另外京威股份和中能电气也关注一下，看能否有低吸机会。5G的再强调一下：昨天龙头$意华股份 sz002897$ 被按死了，所以纵横通信 ...展开全文c', '2018-07-17 21:22:11')
('早盘计划：看好纵横连板，不版清掉。关注通产丽星、京威股份。', '2018-07-17 21:13:51')
('今天的重点思路是低吸，重点可以看一下$京威股份 sz002662$ 和$中能电气 sz300062$ 。另外，MLCC龙头$风华高科 sz000636$ 走势越来越像去年的方大炭素，今天可以发掘低位小弟，厦门信达。（以上仅个人思路，不提供买卖依据，有疑问可私信）', '2018-07-17 21:09:31')
('昨天三变科技的妖娆大长腿，地天板，今天再上没有意义，关注下京威股份，今天如果核按钮，按下来还有望复制下三变的意思', '2018-07-17 20:59:02')
('华谊兄弟，价值类，爆发点在明年 ，最近做的就是高抛低吸，建底仓，像今天就该高位减仓了等回来补进，来回做。京威股份是短线标的吧，两天近20％。', '2018-07-17 11:32:39')
('发布了头条文章：《富勒烯/石墨烯概念龙头是通产丽星！》 $京威股份 sz002662$ $碳元科技 sh603133$ $飞荣达 sz300602$ $深南股份 sz002417$ #亿利达 sz002686[股票]# #大通燃气 sz000593[股票]# |富勒烯/石...', '2018-07-17 11:06:55')
('午盘早盘集合竞价中，题材的几个高度除了富勒烯通产丽星一字开盘外，5g意华股份，自主可控维科技术以及新能源车补涨京威股份都直接打压到横盘价位。再加上有可能性打出次新股情绪的彤程新材直接低开洗盘。在这种情况下底部拉板到一致是有可能的。但同时也说明市场畏高情绪也比较明显，需要走分歧。而 ...展开全文c', '2018-07-17 10:31:50')
('明日捉妖股方案：德尔未来、杭电股份、海达股份、彤程新材风华高科、新安股份、寒锐钴业、神马股份金安国纪、台基股份、 中兴通讯、飞荣达、纵横通信、京威股份、中能电气、当升科技。', '2018-07-17 10:24:43')
('发表了博文《明天大盘将中阳拉起》昨日各板块龙头今天均受限止步四板5G龙头意华股份大面坑人，但昨日后排跟风今日走势较强603602中报龙头京威股份止步四板（盘中有摸板），后排跟风出现分化指数不行，不是现|明天大盘将...', '2018-07-17 10:07:24')
('7-17热点题材分析！中兴禁令解禁概念谨防退潮！富勒烯龙头点评！#上证指数 sh000001[股票]# #创业板指 sz399006[股票]# $深证成指 sz399001$ $京威股份 sz002662$ $通产丽星 sz002243$ $中能电气 sz300062$ $英特集团 sz000411$ 令哥看盘_...', '2018-07-17 09:17:21')
('京威股份涨停，我一直在更新这个标的，给出你们多次进场机会，我昨天就说过了，所有的亏损都是暂时的，游资弥补亏损的手法，只需要一个瞬间就够了，比如今天随便的几个操作，就远远超过昨天全部的割肉亏损，很简单，也很自信，对于京威股份的涨停回溯过程，对照我的下图截图的帖子里面的自信，我是否还 ...展开全文c', '2018-07-17 07:29:55')
('富勒烯概念：通产丽星（4板）集合竞价一字板超预期，盘中被砸快速回封，亿利达（2板）助攻；5G概念：中兴通讯（1+2板）纵横通讯（2板+次新）飞荣达（2板+业绩预增）地天板：三变科技（3+1板）其他：金安国纪（2板+半导体）南京新百（2板+零售）意华股份，盛洋科技，京威股份冲击4板都被砸，中能电 ...展开全文c', '2018-07-17 06:07:45')
('【7.17复盘】市场整体呈现震荡探底回升走势，其中超跌反弹：三变科技5b、南京新百2b等16股涨停；业绩预增：京威股份3b、海达股份2b等10股封板；富勒烯：通产丽星4b，亿利达2b，石墨烯：德尔未来、碳元科技、杭电股份等5股涨停；5G：中兴通讯3b等7股涨停；半导体产业链：金安国纪2b、台基股份、丹邦科技 ...展开全文c', '2018-07-17 04:41:09')
('2、对于市场，不用过度恐慌。目前的情绪，其实有所好转的，但是还缺乏信心，信心重塑的过程，没那么容易。讲几个细节：（1）核按钮减少了。彤程新材，集合竞价强转弱，按照前几天的情绪，直接就核按钮了，但是今天低开后一直震荡，并未大幅杀跌。（2）资金在尝试高位拉板了，京威股份，三变科技 ...展开全文c', '2018-07-17 04:07:35')
('最近超短线其实难度很大，节奏实在太快。龙头天天换，且强势股都有想“抢”龙头的意思。个个都想当大哥，江湖纷争太多。$天华超净 sz300390$ 倒后，$通产丽星 sz002243$ 顶出4板，眼看它就是龙头了。结果$三变科技 sz002112$ 又来个地天板，这么大的王炸我服了！然后京威股份又来个冲击4板， ...展开全文c', '2018-07-17 04:06:23')
('$兴源环境 sh300266$$京威股份 sh002662$$汉嘉设计 sh300746$ 古泽选股的...', '2018-07-17 03:44:20')
('午盘下午市场有一波反抽，欣锐科技超跌反弹带动了市场反弹人气，如趋势类的科技股，锂电池和超跌开始纷纷反弹。中兴通讯的3天2板在一定程度上引导了市场的超跌和大盘股的气氛。而题材方面畏高情绪比较明显，如在汽车相关题材这么火热的情况下，京威股份都竟然没有一点点反包意向。而带有庄股性质的超 ...展开全文c', '2018-07-17 03:23:08')
('$京威股份 sz002662$ 爆巨量，涨幅不给力啊$风华高科 sz000636$ 尾盘总算见红了！$神马股份 sh600810$ 冲涨停！', '2018-07-17 02:49:11')
('实时盯盘--锂电池板块尾盘单边拉升，龙头当升科技封板，科恒股份大涨7%，道氏技术、新宙邦、晶瑞股份、京威股份小幅跟涨。', '2018-07-17 02:44:07')
('今天早盘的两只，纵横通信，京威股份和午盘的一只至纯科技，大肉利润，完全弥补昨天的斩仓，这就是一种调仓的手法。今天的割肉，我会去更快的地方找回。', '2018-07-17 02:21:07')
('资金没有去向，只能将超跌的票顶格做，昨天的3B票京威股份没能封住4B板，意华股份带动的5G又产生分化，仅剩下通产丽星放量的4B。二板的科迪乳业、中能电气、玉龙股份、维科技术、盛洋科技、英特集团都没能力挽狂澜顺利走出三板，意味着空间板在3B，那么就要注意今天由通产丽星的富勒烯小众题材跟风票的 ...展开全文c', '2018-07-17 02:09:51')
('#财经# 天华超净7板被砸成又一个大面后京威股份卡位上板3连板，市场还是不喜欢高位的，喜欢低位超跌的，但是，昨日超跌老大三变科技4板被砸成鸟样，宏达矿业周龙头周五炸板后今日跌停，昨日说过，超跌反弹的连板接力有问题，就是反弹越高压力越大，被砸的可能会很大，很难判断。不比趋势好的上去可能就 ...展开全文c', '2018-07-17 01:53:51')
('总结一下操作，绿色动力，天华超净低吸，竞价两笔，京威股份，纵横通信。彤程新材，卡位5日线介入。锁仓天永智能，就这些，然后耐心等待。', '2018-07-17 01:28:06')
('虽然新能源汽车股今天再次达到了空中加油的级别，但是这个驱动作用有多大还需要观察。一是今天涨停的大多开板了，二是在老龙一天华超净掉下来的情况下，还没有哪一只个股表现出新龙头的潜力。像京威股份虽然连续涨停，但是他还是有点疑问(存在自己的利好、与其他个股联动性不太强)。综合来看，新能 ...展开全文c', '2018-07-17 01:18:21')
('发布了头条文章：《一招识别庄家洗盘结束的信号，句句精辟 极少人知晓！》 $石英股份 sh603688$ $吴通控股 sz300292$ $京威股份 sz002662$ $百川股份 sz002455$ |一招识别庄...', '2018-07-17 01:18:09')
('【继续割肉，休息下了】报告早上操作：继续把昨天加的一点#天华超净 sz300390[股票]# 割掉了，空仓休息下了先。闲聊上午盘面：指数：沪指5周线和20日线压制，有下跌回踩需求，今天也延续昨日下跌了，创业板指也不不够强，上面的缺口还不去补。指数现在也是到了选择方向的时候了。...展开全文c', '2018-07-17 01:05:15')
('7月16周一，周日晚上排单京威股份，早盘涨停开盘后开板回封，半仓买入，三板往四班走，这是计划中的操作，如果不隔夜单也有机会开板进，还做了宏达矿业低吸，这属于临时决定操作，也没有仔细看明白三板首阴其实周五炸板，今天注定要低走调整，我在水下8个多点买入，明天择机去掉错误操作！原本是做好低 ...展开全文c', '2018-07-17 00:23:41')
('昨天开盘前分享的$京威股份 sz002662$昨天涨停收盘，今天再次冲击涨停，量能太大，不能二次回封涨停，止盈卖出。$意华股份 sz002897$ 昨天涨停收盘，今天上午10点前再次冲击涨停，最高8.33% 不能继续涨停也是止盈卖出。今天开盘前分享的$金安国纪 sz002636$ 高开高走快速涨停，$盛运环保 sz300090$ ...展开全文c', '2018-07-17 00:19:40')
('发布了头条文章：《安顺论股：吴通控股+引力传媒+京威股份+欣锐科技》$吴通控股 sz300292$ $上证指数 sh000001$ #股票# #今日看盘# #上证快讯# |安顺论股：...', '2018-07-17 00:04:28')
('京威股份 直线拉升，这种票也是要谨慎卡位。昨日板的今日很多是面，周末呼声最好的天华超净、昨日呼声最高的意华股份，哪一个不是面。小心了！$上证指数 sh000001$ $中兴通讯 sz000063$', '2018-07-16 23:44:24')
('京威股份开始表演，昨天我长文说的一些东西很快你们都能感觉到。一分钟。', '2018-07-16 23:15:13')
('超级热点新能源汽车股再次达到空中加油标准 #今日看盘# $京威股份 sz002662$ @微博股票', '2018-07-16 23:14:24')
('京威股份实换百分之4，换手很好，大力操作。', '2018-07-16 23:05:11')
('京威股份如果涨停，仅仅纵横，京威股份两个标的的操作就足以弥补昨天的亏损，稍微懂事点了么？如果懂事点了，别着急，后面还有有趣的游戏。#京威股份 sz002662[股票]#', '2018-07-16 23:04:40')
('发布了头条文章：《京威股份002662主力移花接木布局锁仓，股民：已满仓!》 #京威股份 sz002662[股票]# #财经头条文章# #财经头条文章# |京威股份00...', '2018-07-16 23:00:53')
('底部超跌反弹+锂电池的 002662京威股份逆势冲击4连板 抛压较大让心不足被砸开 如果该股能够完成回封确立4板走势 那么对于其他连板股来说无疑是一个积极的提振作用 近期就是由于4板两上个股无法接力或屡次闪崩造成了强势股的弱化 目前个股行情需要树立一个方向 要么重新确立连板效应 要么 ...展开全文c', '2018-07-16 22:45:43')
('虚心同学在10：04分买入$京威股份 sz002662$ ，买得好，那时还没怎么涨，后封上涨停后打开。', '2018-07-16 22:41:36')
('5月底6月初在秦国安交流区披露过的京威股份四连板，极品超跌股，新能源车题材。秦国安交流区披露的极品从战略角度选择，进可攻、退可守', '2018-07-16 22:37:39')
('市场运行一个小时，沪深指数不断走弱，跌逾1%，拖累中小创跳水。石油、煤炭、白酒、家电、钢铁等权重股领跌，涨跌比0.25，盘势弱势，两市个股普跌 。游资方面，三变科技天地板，5天4板，京威股份四连板$深证成指 sz399001$ 网页链接', '2018-07-16 22:35:24')
('发布了头条文章：《京威股份(002662)今天顶一字开盘，快速炸板》 \ue627 微博股票 \ue627 新浪财经 # 牛股推荐# #新浪股吧# #股市看点# #上证指数sh000001# |京威股份(0...', '2018-07-16 22:34:43')
('京威股份也是在瞎搞，这个板封不住，封住了也没有溢价。', '2018-07-16 22:32:38')
('京威股份，不知道是不是为了打压股价，从预赢到预亏，接着不知道是不是为了拉抬股价，又从预亏到预赢，公司第一个板带头杀入288万股，股市对股价还是蛮重视的，第四个板了。', '2018-07-16 22:29:58')
('你跌你的，我涨我的。$京威股份 sz002662$ $意华股份 sz002897$ $三变科技 sz002112$', '2018-07-16 22:27:05')
('绿色动力，纵横通信，京威股份都介入一笔。', '2018-07-16 22:12:16')
('发布了头条文章：《游资7亿驰援开启7月领涨模式？京威股份+南京证券+江泉实业+风华高科》 $京威股份 sz002662$ $南京证券 sh601990$ $江泉实业 sh600212$ $风华高科 sz000636$ #股票分析# #今日看盘# #短线牛股# |游资7亿驰...', '2018-07-16 21:49:05')
('指数低开，民航板块领涨。昨日热点题材中，业绩预增中核科技涨1%、京威股份涨2%、中能电气涨1%，5G中兴通讯涨6%、沃特股份跌1%、意华股份平开，自主可控维科技术涨1%、长亮科技涨1%、神州数码涨2% 知识产权视觉中国、中国科传涨1%，半导体菲利华涨停，石英股份涨6%', '2018-07-16 21:41:48')
('【大盘观点】今日大盘整理，5G通信、国产芯片、国产软件强势，意华股份、京威股份、通产丽星三连板领涨，预期明日大盘情况如下：（1）预期先出现的运行轨迹：小幅低开-反弹上涨冲高-受阻盘整整理，（2）支撑压力位：沪指支撑位2800点，压力位2902点，创业板支撑位1605点，压力位1665点，（3）看盘 ...展开全文c', '2018-07-16 21:40:41')
('300220金运激光、600552凯盛科技、002662京威股份大家可以关注一下，激进的朋友可以在盘中找机会轻仓介入，稳健的朋友先加自选股观察，有较好机会的话也可以两成仓位介入。网页链接', '2018-07-16 21:27:24')
('竞价看异动：超跌概念股$维科技术 sh600152$ 、英特集团，业绩预增概念股$京威股份 sz002662$ ，5G概念股纵横通信、中兴通讯，并购重组概念股盛洋科技、盛屯矿业，富勒烯概念股通产丽星，独立个股亚夏汽车、三联虹普', '2018-07-16 21:26:40')
('【周一热点复盘】计算机：长亮科技芯片：金安国际、东软载波富勒烯：通产丽星、亿利达新能源汽车：京威股份、中能电气填权+5G：意华股份、纵横通信、美格智能、沃特股份 ...展开全文c', '2018-07-16 21:20:23')
('$上证指数 sh000001$ 核心1板：纵横通信、中兴通讯、海达股份核心2板：中能电气、英特集团、玉龙股份核心3板：意华股份、通产丽星、京威股份', '2018-07-16 21:19:33')
