('今天有一只新股，明德生物。别忘记申购，点赞的都中签。', '2018-06-28 21:36:03')
('$明德生物 sz002932$每天都是第一个半小时量稍大，地主后面就没有子弹了。骗散户筹码？', '2018-07-20 01:36:12')
('#宏川智慧 sz002930[股票]# #锋龙股份 sz002931# #明德生物 sz002932[股票]# #中信国安 sz000839[股票]# 房地产已经风采不在了！35家机构紧急下达避难铁令：绿地控股 保利地产 新城控股 上官诚论股...', '2018-07-19 23:09:56')
('集合竞价：$东晶电子 sz002199$$信息发展 sz300469$$传艺科技 sz002866$$青龙管业 sz002457$$明德生物 sz002932$持续性比较好 ...展开全文c', '2018-07-19 21:20:56')
('发布了头条文章：《安顺论股：明德生物+惠伦晶体+东晶电子+浙江鼎力》 $明德生物 sz002932$ $上证指数 sh000001$ \ue627 股票 #上证快讯# #今日看盘# |安顺论股：...', '2018-07-19 10:27:25')
('盲目没有方向吗？指导后市如何操作，投资股票可以加wei信：371540346，指导买卖点和解套方法！东方环宇(sh603706) 密尔克卫(sh603713) 明德生物(sz002932) 长飞光纤(sh601869) 春光科技(sh603657) 长城军工(sh601606)', '2018-07-19 08:44:59')
('$明德生物 sz002932$ 明德生物价值评估及操作指南(2018年07月18日)今日点评：短期趋势上升，中期趋势上升；短期压力位56.28元，支撑位23.55元，量价配合度INF，处于价量齐升的状态；个股综合评级★★★☆，技术趋势较为强势。操作建议：光头大阳线，考虑介入\ue627 今日看盘', '2018-07-18 09:06:11')
('42岁杭州女股民吐露：股市唯一获利法“集合竞价”曝光，值得收藏 $明德生物 sz002932$ $纵横通信 sh603602$ $青松股份 sz300132$ $荣华实业 sh600311$ 爛Gag澔革...', '2018-07-18 02:15:41')
('发布了头条文章：《60分钟K线战法：一旦股票出现这4种形态，立马清仓，后面还有大跌！》 $明德生物 sz002932$ $博敏电子 sh603936$ $通产丽星 sz002243$ $丹邦科技 sz002618$ |60分钟K线...', '2018-07-17 21:28:48')
('【龙虎榜：机构今日买入这4股 卖出当升科技7852万元】盘后数据显示，7月17日龙虎榜中，共9只个股出现了机构的身影，有4只股票呈现机构净买入，5只个股呈现机构净卖出。当天机构净买入前三的股票分别是飞荣达、领益智造、明德生物，净买入金额分别为8432万元、85万元、43万元。（第一财经）', '2018-07-17 10:24:08')
('中国芯片又一独角兽横空出世,净利润暴增435倍,有望复制中成股份 $海川智能 sz300720$ $平安银行 sz000001$ $明德生物 sz002932$ $三角轮胎 sh601163$ 姚晓浪的秒...', '2018-07-17 05:35:03')
('热点龙头业今天领涨的是通讯行业板块，领涨股是富春股份。3日领涨的是包装材料板块，龙头是通产丽星。概念今天领涨的是昨日涨停板块，领涨股是飞荣达。3日领涨的是昨日连板板块，龙头是科迪乳业。区域今天领涨的是湖北板块，领涨股是明德生物。3日领涨的是湖北板块，龙头是明德生物。主力资金净流 ...展开全文c', '2018-07-17 03:51:58')
('7月17日（二）盘前操作策略：一、盘前思路：富勒烯、5G都只是过渡题材，高度不宜过分乐观，所以，昨天缩量连板的通产丽星、意华股份放弃接力，天华超净倒下之后，静待新周期机会。次新板块可能要等一段时间才有机会了：1、近端估值普遍偏高；2、未开板的全是歪瓜裂枣：明德生物：招股书对标基蛋 ...展开全文c', '2018-07-16 19:28:35')
('梦寐以求的抄底逃顶绝技，名家抄底逃顶技巧分享，值得一看！微博股票##股票##实盘##创业黑马##新浪理财师##牛股推荐##A股##股票分析##投资达人说##财经头条文章##上证指数 sh000001##反击贸易战##603693#明德生物 sz002932[股票]# 霍御忻天王...', '2018-07-16 02:14:13')
('【历史新高股票名单715】古井贡酒，长春高新，顺鑫农业，涪陵榨菜凯莱英，明德生物，智飞生物，泰格医药我武生物，欧普康视，康泰生物，长川科技 ...展开全文c', '2018-07-15 23:37:08')
('股市永不坑人的黄金铁律：股票七不买三不卖，句句经典，永珍藏 $诚意药业 sh603811$ $明德生物 sz002932$ $广东骏亚 sh603386$ $拉夏贝尔 sh603157$ 欧欧欧哈的...', '2018-07-15 22:53:29')
('发布了头条文章：《皓轩论股：【国泰集团+宜宾纸业+明德生物+星云股份】霸气反攻拉》$国泰集团 sh603977$ #股票分析# #股票# |皓轩论股：...', '2018-07-15 02:36:57')
('发布了头条文章：《中国芯片第一龙头从75跌至3元，神秘资金76亿增持，18年有望封妖》 $全志科技 sz300458$ $明德生物 sz002932$ $宏达矿业 sh600532$ # 财经头条文章# #股票# |中国芯片第...', '2018-07-14 21:25:25')
('一位股海高手20年悟出成交量炒股战法，学会出手就是强势股！精辟 $明德生物 sz002932$ $天山股份 sz000877$ $瑞特股份 sz300600$ $天龙集团 sz300063$ 李域悟看盘...', '2018-07-14 16:21:30')
('【收评：沪指窄幅震荡 医药、白酒表现活跃】 周五沪深两市出现分化走势，沪指低开后窄幅震荡，创业板指盘中翻红。截至收盘，上证综指报2831.18点，跌0.23%；深证成指报9326.97点，涨0.58%；创业板指报1618.46点，涨0.24%。盘面上，医药制造、酿酒行业涨幅居前，明德生物、古井贡酒涨停，口子窖涨逾7%。', '2018-07-13 03:45:22')
('兴业矿业(000426)华天酒店(000428)粤高速A(000429)张家界襄阳轴承(000678)大连友谊(000679)山推股份(000680)视觉中国\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# ...展开全文c', '2018-07-13 02:27:11')
('医药走强，符合梦佳的预期，昨晚的文章还再次提到这条操作主线，而梦佳手上的另一只持仓也是医药标。目前东宝生物、明德生物涨停，其他常山药业、辅仁药业、贵州百灵、我武生物等等都表现非常不错。', '2018-07-12 22:22:41')
('行情反弹 抄底的老板需要资金可以联系我， 一个手机号码最多可以拿400万$宁德时代 sz300750$ $快意电梯 sz002774$ $明德生物 sz002932$', '2018-07-12 21:57:48')
('【今日1新股申购】：明德生物申购代码：002932，发行价20.45元，申购上限1.65万股，主营快速诊断试剂。——通常我建议盘尾申购，今天第一次提醒！', '2018-07-12 20:50:19')
('盘面上看，行业板块几乎全线下跌，医药板块和农林牧渔板块相对强势。医药板块中部分个股走出独立行情，山河药辅(20.600, 0.96, 4.89%)、明德生物(35.640, 3.24, 10.00%)和九典制药(25.830, -0.02, -0.08%)涨停，生物股份(16.000, 0.15, 0.95%)、天士力(26.880, 0.51, 1.93%)和长春高新(245.800, 4.20, ...展开全文c', '2018-07-12 08:36:11')
('金鸿控股(000669)盈方微(000670)阳光城(000671)上峰水泥\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:55:16')
('湖北广电(000665)经纬纺机(000666)美好置业(000667)荣丰控股\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:54:52')
('ST南华(000660)长春高新(000661)天夏智慧(000662)永安林业\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:54:24')
('金科股份(000656)中钨高新(000657)ST海洋(000658)珠海中富\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:53:45')
('格力电器(000651)泰达股份(000652)ST九州(000653)*ST金岭\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:53:22')
('茂化实华(000637)万方发展(000638)西王食品(000639)仁和药业\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:52:58')
('三木集团(000632)合金投资(000633)英力特(000635)风华高科\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:52:30')
('高新发展(000628)*ST钒钛(000629)铜陵有色(000630)顺发恒业\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# #东方环宇 sh603706[股票]# #太辰光 sz300570[股票]# #纵横通信 sh603602[股票]# #天成自控 sh603085[股票]# #至纯科技 sh603690[股票]# #芯能科技 sh603105[股票]# #浩物股份 sz000757[股票]# #融钰集团 sz002622[股票]# 上官诚论股...收起全文d', '2018-07-12 07:52:08')
('吉林敖东(000623)长安汽车(000625)远大控股(000626)天茂集团\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:51:38')
('海螺型材(000619)新华联(000620)*ST比特(000621)恒立实业\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:51:13')
('京汉股份(000615)海航投资(000616)中油资本(000617)吉林化工\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:50:48')
('西安旅游(000610)天首发展(000611)焦作万方(000612)大东海A\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:50:24')
('顺利办(000606)华媒控股(000607)阳光股份(000608)中迪投资\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:49:53')
('韶能股份(000601)金马集团(000602)盛达矿业(000603)渤海股份\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:49:36')
('东北制药(000597)兴蓉环境(000598)青岛双星(000599)建投能源\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:49:28')
('超频三，贵州燃气，万兴科技，华锋股份，宏川智慧\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# #东方环宇 sh603706[股票] ...展开全文c', '2018-07-12 07:48:18')
('\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华#股票分析[超话]##股票[超话]##大通燃气 sz000593[股票]##意华股份 sz002897[股票]##鼎信通讯 sh603421[股票]##华昌达 sz300278[股票]##江苏新能 sh603693[股票]##天邑股份 sz300504[股票]##明德生物 sz002932[股票]##东方环宇 ...展开全文c', '2018-07-12 07:47:50')
('黔轮胎A(000589)启迪古汉(000590)太阳能(000591)平潭发展\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:47:29')
('威孚高科(000581)北部湾港(000582)S*ST托普(000583)哈工智能\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:46:52')
('泸州老窖(000568)长城股份(000569)苏常柴A(000570)新大洲A\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:46:31')
('供销大集(000564)渝三峡A(000565)海南海药(000566)海德股份\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:45:38')
('我爱我家(000560)烽火电子(000561)宏源证券(000562)陕国投A\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:45:12')
('PT南洋(000556)西部创业(000557)莱茵体育(000558)万向钱潮\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:44:53')
('靖远煤电(000552)沙隆达A(000553)泰山石油(000554)神州信息\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:44:25')
('湖南投资(000548)S湘火炬(000549)江铃汽车(000550)创元科技\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:43:34')
('中原环保(000544)金浦钛业(000545)金圆股份(000546)航天发展\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:43:07')
('中天金融(000540)佛山照明(000541)TCL通讯(000542)皖能电力\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# #东方环宇 sh603706[股票]# #太辰光 sz300570[股票]# #纵横通信 sh603602[股票]# #天成自控 sh603085[股票]# #至纯科技 sh603690[股票]# #芯能科技 sh603105[股票]# #浩物股份 sz000757[股票]# #融钰集团 sz002622[股票]# 上官诚论股...收起全文d', '2018-07-12 07:38:15')
('股市唯一不骗人的2条“决定性均线”，句句经典，建议散户收藏！ $冰轮环境 sz000811$ $明德生物 sz002932$ $大众B股 sh900903$ $司尔特 sz002538$ 李域悟看盘...', '2018-07-12 03:26:30')
('华映科技(000536)广宇发展(000537)云南白药(000538)粤电力A\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 02:30:13')
('发布了头条文章：《妖股逻辑拆解：超频三，贵州燃气，万兴科技，华锋股份，宏川智慧》 \ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# ...展开全文c', '2018-07-11 23:18:12')
('珠海港(000507)琼民源A(000508)华塑控股(000509)金路集团\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:53:06')
('国新健康(000503)南华生物(000504)京粮控股(000505)中润资源\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:51:36')
('晨鸣纸业(000488)山东路桥(000498)鄂武商A(000501)绿景控股\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:51:00')
('南京公用(000421)*ST宜化(000422)东阿阿胶(000423)徐工机械\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:50:20')
('合肥百货(000417)小天鹅A(000418)通程控股(000419)吉林化纤\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:50:00')
('ST五环(000412)东旭光电(000413)渤海金控(000415)民生控股\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:49:39')
('藏格控股(000408)*ST地矿(000409)沈阳机床(000410)英特集团\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:49:38')
('华意压缩(000404)ST鑫光(000405)石油大明(000406)胜利股份\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:47:56')
('许继电气(000400)冀东水泥(000401)金融街(000402)ST生化\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:46:38')
('华数传媒(000156)中联重科(000157)常山北明(000158)国际实业\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:46:09')
('宜华健康(000150)中成股份(000151)丰原药业(000153)川化股份\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:45:49')
('天健集团(000090)广聚能源(000096)中信海直(000099)TCL集团\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:45:45')
('特发信息(000070)海王生物(000078)盐田港(000088)深圳机场\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:45:06')
('北方国际(000065)中国长城(000066)华控赛格(000068)华侨城A\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:44:52')
('中金岭南(000060)农产品(000061)深圳华强(000062)中兴通讯(00006\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:44:27')
('方大集团(000055)皇庭国际(000056)深赛格(000058)华锦股份(00005\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# #东方环宇 sh603706[股票]# #太辰光 sz300570[股票]# #纵横通信 sh603602[股票]# #天成自控 sh603085[股票]# #至纯科技 sh603690[股票]# #芯能科技 sh603105[股票]# #浩物股份 sz000757[股票]# #融钰集团 sz002622[股票]# 上官诚论股...收起全文d', '2018-07-11 21:43:48')
('ST中侨(000047)*ST康达(000048)德赛电池(000049)深天马A(000050)#股票分析[超话]# #股票[超话]# #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:43:26')
('中洲控股(000042)中航善达(000043)深纺织A(000045)泛海控股(0000#股票分析[超话]# #股票[超话]# #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:43:09')
