('益丰药房 大千生态 哈森股份 百利科技！#初灵信息 sz300250[股票]# #东方电热 sz300217[股票]# #雅本化学 sz300261[股票]# 许楚沛分析...', '2018-07-24 08:38:54')
('连锁药店也是个好生意，光大证券对四大连锁药店的对比分析，各有各的特色，持有的可以关注下。益丰药房：老店盈利强，新店放量快，自建高占比，基准增速高。益丰药房整体精细化管理运营能力较强，在区域垄断力不是最高的情况下，也可以做到较高的净利率和同店增速。益丰药房新开店能力较强，5年左右 ...展开全文c', '2018-07-10 08:19:18')
('郑州一老教授看破股市：27年坚持只做“换手买”可实现百亿梦想 $太极实业 sh600667$ $中顺洁柔 sz002511$ $长城电工 sh600192$ $益丰药房 sh603939$ 李域悟看盘...', '2018-07-10 05:43:28')
('【益丰药房业绩是靠花钱买来的？商誉或暴增至20亿】对于连锁药店上市公司而言，疯狂“收编”是一把“双刃剑”，一方面推动了公司的业绩保持较高速的增长，另一方面也带来了商誉水涨船高的风险。益丰药房“花钱买业绩增长率”的同时，也买来了居高不下的商誉风险。|IF财经观察...', '2018-07-09 23:05:37')
('预知后市是出是留，盲目没有方向的来，指点后市如何操做。柯利达(sh603828) 好莱客(sh603898) 益丰药房(sh603939) 继峰股份(sh603997) 天孚通信(sz300394) 五洋停车(sz300420) 静心静唔的...', '2018-07-09 08:53:39')
('7月6日，鼓楼区知识产权局对三牌楼大街的苏果超市有限公司鼓楼分公司和江苏益丰大药房连锁有限公司南京三牌楼大街二店开展专利行政执法检查，抽查了文具、玩具、洗化用品、生活日用品、药品等类别商品82件，检查出专利商品25件。在执法过程中，进一步加强知识产权宣传，强化商家的知识产权意识。下一 ...展开全文c', '2018-07-09 03:19:56')
('睿能科技 博敏电子 丽岛新材 三孚股份 益丰药房 大千生态 哈 股海大咖的...', '2018-07-08 02:20:16')
('股票一旦出现“线上阴线”试盘形态，必是大牛股，成功率百分百 $万马科技 sz300698$ $中金环境 sz300145$ $英特集团 sz000411$ $益丰药房 sh603939$ yokki阳sup...', '2018-07-08 02:11:38')
('从益丰医药最新的13.84亿元并购方案来看，公司一旦收购完成，将大幅提升自己的营收水平。然而对于此次并购，《红周刊》记者在阅读其并购预案后发现，被收购标的不仅存在财务数据上的疑点，且因并购形成的巨大商誉也为上市公司埋下了一颗潜在的地雷。 |益丰药房商...', '2018-07-07 00:39:24')
('"尾盘买入选股”，记住一根均线"CCI"，学会出手就是涨停 $沪宁股份 sz300669$ $益丰药房 sh603939$ $海螺型材 sz000619$ $XD吉华集 sh603980$ 我的小蜗牛...', '2018-07-06 00:27:43')
('股市唯一“不骗人”的补仓顺口溜，读懂了下一位股神就是你！ $城投控股 sh600649$ $四创电子 sh600990$ $益丰药房 sh603939$ $北方华创 sz002371$ QueenieL的...', '2018-07-05 01:55:08')
('【益丰大药房 五年扩张路】益丰药房目前处于停牌状态，主要是收购石家庄新兴药房连锁有限公司的86.31%股权；此次收购后，门店数量将增至2790家，布局省份将从7省扩展到8省，进一步完善全国布局。截至2017年12月31日，公司在湖南、湖北、上海、江苏、浙江、江西、广东七省共开设了2059家连锁门店。2 ...展开全文c', '2018-07-04 10:29:16')
('发布了头条文章：《后期走势精准解析，大千生态+益丰药房+三孚股份+博敏电子》 $大千生态 sh603955$ $益丰药房 sh603939$ $三孚股份 sh603938$ $博敏电子 sh603936$ |后期走势精...', '2018-07-03 05:45:57')
('上海一女博士自白“内盘外盘”口诀，庄家听后跪求删帖，永久珍藏 $雪莱特 sz002076$ $益丰药房 sh603939$ $金牌厨柜 sh603180$ $紫鑫药业 sz002118$ 我的小蜗牛...', '2018-07-01 09:03:12')
('A股36年一直盈利的唯一指标“KDJ+MACD”熟记6条后可实现百亿梦想 $益丰药房 sh603939$ $神州数码 sz000034$ $巨人网络 sz002558$ $蓝光发展 sh600466$ 李域悟看盘...', '2018-06-30 07:23:02')
('资深牛散从万卷股票书中总结的波段操作技巧，深知股市涨跌 $瑞贝卡 sh600439$ $兴业证券 sh601377$ $益丰药房 sh603939$ $银江股份 sz300020$ 我的小蜗牛...', '2018-06-29 13:54:16')
('武汉青山区青合居小区对面。益丰药房门口。每天晚上一群人唱卡拉ok。噪音扰民严重。没有人能管得了！ 用户634952...', '2018-06-29 05:39:03')
('刚刚开盘中国股市宣布一则重磅消息，A股彻底沸腾了！#大千生态 sh603955[股票]# #益丰药房 sh603939[股票]# #三孚股份 sh603938[股票]# #丽岛新材 sh603937[股票]# #博敏电子 sh603936[股票]# 蒋涛分析的...', '2018-06-28 22:18:10')
('【A股的对标股一心堂、老百姓、大参林、益丰药房、国药股份、国药一致、上海医药】BAT也开始涉足医药流通了。', '2018-06-28 10:52:47')
('【亚马逊进军线上药房 药店股全线暴跌】亚马逊宣布将收购线上药房PillPack。美国最大药品零售商CVS、连锁药房RiteAid和最大药房连锁集团Walgreens Boots Alliance股价均曾跌超10%，不到一小时市值蒸发约130亿美元。详见|亚马逊正式...', '2018-06-28 10:57:13')
('【阿里健康4.54亿投资漱玉平民大药房 连锁药店投资“风口”已至？】在益丰药房宣布拟以13.84亿元收购石家庄新兴药房86.31%股权，成为迄今为止连锁药店行业最大一笔并购案后，医药零售行业又迎来一项大投资。6月25日晚间，阿里健康（00241.HK）发布公告指出，其附属公司阿里健康（中国）将向漱玉平民 ...展开全文c', '2018-06-26 21:47:16')
('个股公告：富临运业、三聚环保、*ST云网实控人变更；骆驼股份筹划公司经销商持股计划；万达电影拟116亿元收购万达影视近97%股权；豪能股份拟不超6亿投建智能生产基地；水井坊实控人拟投61.46亿元溢价23%要约收购不超20.29%股份；益丰药房拟出13.84亿控股新兴药房；南通锻压拟5.2亿元收购云视广告；鹏 ...展开全文c', '2018-06-25 20:48:21')
('『益丰药房拟出13.84亿控股新兴药房 商誉或猛增压力略大 中国财经门户，提供专业的财经、股票、基金资讯及数据』|益丰药房拟...', '2018-06-25 12:41:04')
('【益丰药房拟出13.84亿控股新兴药房 商誉或猛增压力略大】益丰药房在并购道路上更进一步。在停牌近2个月后，益丰药房终于发布了重组预案。公告称，公司拟以13.84亿元收购石家庄新兴药房连锁有限公司(以下简称“新兴药房”)86.31%股权，收购方式为发行股份及支付现金相结合。|益丰药房拟...', '2018-06-25 12:35:12')
('【定增&重组】山东地矿：拟筹划重大资产重组当代东方：拟定增15亿元拓展影业 并筹划重大资产重组益丰药房：拟作价13.84亿购买新兴药房86.31%股权证监会：金正大、麦格米特并购重组事项获通过', '2018-06-24 22:16:32')
('曲奇模具（《股票魔法师》）当公司在一个门店发现了成功的公式并一次又一次的把它应用于其他门店时，就是一个“曲奇模具”。麦当劳，沃尔玛，星巴克等，它们都是曲奇模具的典型案例。（注：A股市场也有类似的，比如爱尔眼科，通策医疗，益丰药房等，定制家居企业也是，以连锁或经营店的方式运营）...展开全文c', '2018-06-24 21:12:27')
('发布了头条文章：《益丰药房 东方嘉盛 同花顺 宝信软件：深度探底，静待佳音？》$益丰药房 sh603939$ $东方嘉盛 sz002889$ $同花顺 sz300033$ $宝信软件 sh600845$ \ue627 股票 |益丰药房 ...', '2018-06-24 03:34:01')
('益丰大药房南京安德门那个店，店员连盐酸左氧氟沙星和氧氟沙星的区别都不知道，我问结膜炎用氧氟沙星行不行，她还看了看说明书，不确定的说：可“可能行吧”，一个在药房工作的，遇到最普通的细菌型结膜炎都不知道还用什么药？还“可能行”？你就是这么认真的工作的？退一步说，你不知道，你不会问其他 ...展开全文c', '2018-06-23 11:06:34')
('全程参与，市场化并购中的各中滋味，只有经历过才能懂得，愿草案公布后一切顺利！『益丰药房13.8亿收购新兴药房86.31%股权 - 腾讯网』|益丰药房13...', '2018-06-23 00:03:57')
('【开展食品安全宣传进“示范路段”活动】近日，静安区市场监管局彭浦新村所结合食品安全示范路段创建工作，与彭浦新村街道食药安办在曲沃路益丰大药房门口联合举办食品安全夏季宣传活动。活动包含发放宣传单、调查问卷、发放宣传物品等内容，旨在让百姓对食物安全问题有更进一步的了解与认识。通过此次 ...展开全文c', '2018-06-21 03:03:03')
('利好消息：丽岛新材 三孚股份 益丰药房 刘庆谈财的...', '2018-06-18 03:10:36')
('常德益丰大药房强迫员工加班，并且还没有加班工资，员工累死累活的都没有钱白加班，@常德市人力资源和社会保障局 益丰现在可以只手遮天了吗？@益丰大药房 @人民日报', '2018-06-16 23:22:03')
('我天天好烦哦……接到人民医院滴电话说我尿尿里面有血，叫我明天回去复查，我好担心哦。脖子下面过敏好严重哦，好痒痒挠挠。批注：益丰大药房只适合买药就是那种你确定滴药，它那里根本没有医生哦明天要加班炒店呢', '2018-06-15 08:20:16')
('家门口的中国银行变益丰大药房了 非常不开心 附近药房已经非常多了 现在又多了个带大堂的药房 非常非常不开心 还我中国银行！', '2018-06-10 08:15:13')
('选股思路：赛道清晰+龙头质地+估值合理一、基于高景气细分领域的选股主线：1）优质处方药（本土创新+高端仿制）：我武生物、华东医药、通化东宝、丽珠集团、华海药业、长春高新、恩华药业、上海医药；2）连锁药店：一心堂、大参林、益丰药房、老百姓；3）优质医疗器械：乐普医疗、安图生物。二、基于 ...展开全文c', '2018-06-07 01:12:22')
('有那个大佬知道益丰药房什么时候复牌啊。有利润不能收割好难受啊。这关系到我出去溜达的时候买什么票，吃什么肉，住什么酒店', '2018-06-06 06:20:51')
('#益丰大药房#我跟你说健康，你跟我谈价钱我跟你说优惠，你跟我讲下次', '2018-06-06 06:06:50')
('港资偏爱的大A医药股 1.恒瑞医药、2.云南白药、3.通化东宝、4.东阿阿胶、5.天士力、6.华东医药、7.爱尔眼科、8.益丰药房、9.泰格医药、10.科伦药', '2018-05-29 10:17:40')
('之前推荐的海正药业，益丰药房收益不错吧，下面该是电力行业和商品行业了。推荐国投电力，新华百货', '2018-05-27 21:59:22')
('需要好好反省，欧普康视，通策医疗，鱼跃医疗，我武生物，视源股份，益丰药房，爱尔眼科，泰格医药。差在什么地方？概率思维，风险意识，逆向思维？ |上海·葛洲...', '2018-05-24 01:13:58')
('南京最正宗的重庆火锅没有之一，十九堂正宗重庆火锅，地址📍南京市建邺区福园街兆园7栋益丰大药房西侧，现在全天除锅底和酒水8.8折', '2018-05-16 08:36:46')
('风险资本10年赚了20倍！益丰药房要布局万家网点，未来三年小目标是… |风险资本10...', '2018-05-14 02:31:12')
('#糯米٩(๛ ˘ ³˘)۶ ♡小食光#🌶️南京十九堂🌶️📍建邺区福园街兆园7栋17号102益丰大药房西侧托wuli@这是一个清新脱俗的网黄-_- 的福，几乎尝遍十九堂全部菜肴No.1羊肉卷：有脆骨！有脆骨！有脆骨！重要的事情说三遍而且厚度是别家的两倍No.2麻辣牛肉:这个涮完，真的惊了，超 ...展开全文c', '2018-05-12 19:42:01')
('药店（益丰大药房）高音喇叭扰民管不管的？@警民直通车-松江 @警民直通车-上海上午第一个报警电话后20分钟商家在放广告刚刚报警，接线员没等我讲完挂了电话。松江 九亭 九新公路28弄 丽景苑对面益丰大药房 |上海·丽景...', '2018-05-12 09:09:07')
('昨天在火锅店搬砖到夜里两点 整个人灵魂出窍南京十九堂今天中午11:30也试营业啦，期间送冰粉送羊肉卷，我全天在店！有没有南京的小可爱来找我玩耍有惊喜哦南京十九堂地址：南京市建邺区福园街兆园7栋益丰大药房西侧#南京美食##南京美食攻略# @十九堂', '2018-05-12 07:28:47')
('益丰大药房内进来一个哥哥，原来他和另外一个小朋友认识，小朋友小姨说:“叫哥哥”小朋友:……小朋友小姨说:“叫哥哥”小朋友:……代子杨，冲了过去，“哥哥”三个大人，“哈哈哈哈” ...展开全文c', '2018-05-10 19:14:22')
('益丰大药房旗-舰店，999牌医用退烧贴*8贴，券后12.9入 家有儿女的，都得备一点，大品牌放心购！ 蓝胖子挖白...', '2018-05-10 10:39:16')
('消费方面主要是食品，饮料为主！然后就是消费医药，像药店就是消费医药终端，大参林，益丰药房，走的多好！食品还有哪些很出名的？还没涨的，饮料？像养元饮品都强势反弹了！香飘也要表现了吧！ 另外，消费品走好说明什么，说明避险！ 猪肉已经跌的很多了！下半年必涨！', '2018-05-06 23:44:05')
('最近很多大众小产品走的非常好，趋势很好！不认真发现不了！慢慢成了牛股！培凌榨菜！小榨菜，天天吃！顺鑫农业，牛栏山二锅头，假冒品变多说明什么！桃李面包！我天天吃面包！海天味业，好想你！都是消费性的，说明什么！还有什么是小产品却少有上市公司的？醋？挖掘一下了！', '2018-05-07 00:00:22')
('公司坚持“聚焦两广，全国扩张”的稳健发展战略，2017年新开633家门店（涉及8起全资或控股收购项目，合计门店231家），2017年末合计共有2985家药店。公司门店运营成熟，日均坪效约为86元/平方米，为四家上市公司当中最高（益丰药房、老百姓、一心堂分别为64、59、46元/平方米），新店盈亏平衡周期仅1.5 ...展开全文c', '2018-05-03 10:25:29')
('基层消费升级及连锁化扩张提速的美年健康、爱尔眼科，受益于药店行业扩容及全国扩张步伐加快，且积极提升专业化健康管理服务能力的连锁药店龙头：益丰药房、老百姓', '2018-05-02 01:20:59')
('$益丰药房 sh603939$ 站上年线后，50日线还在年线以下，RPS75，相对弱势。等待50日线上穿年线，股价在50日线处寻求支撑以后，半年RPS大于90。8月21日股价涨幅13.5%，做平台等50日线。横盘7周，以连续小阳线脱离平台，换手率一直维持在1%以下表明筹码稳定。股价上涨到47.4，涨幅35.43%，在38.82～47.4之 ...展开全文c', '2018-05-01 15:02:06')
('医药流通、药店板块，关注：益丰药房、 老百姓、 大参林、 一心堂', '2018-04-26 22:40:29')
('罗牛山：业绩大增910%，主力疯狂抢筹952万股，还有飙涨行情金鸿顺#603926 铁流股份#603928 兴业股份#603929 亚翔集成#603933 睿能科技#603936 博敏电子#603937 丽岛新材#603938 三孚股份#603939 益丰药房#603955 大千生态#603958 哈森股份#603959 百利科技#603960 克来机电#603963 大理药业#603966 法 ...展开全文c', '2018-04-26 11:36:07')
('想起苏州有个酒店，楼下就是九洲大药房，酒店的对面是一个寺庙，临街的房间躺在床上可以看见蓝天下的佛塔。掉转话题：九洲大药房也是老牌连锁药店，为什么价格走势就不如我们大A市场的老百姓和益丰呢？', '2018-04-26 09:49:31')
('【善守能攻14只医药股创历史新高 机构五主线布局高景气细分领域优质公司】当前，继续重点推荐高景气细分领域的优质公司：1.首推药店板块，推荐益丰药房、老百姓、大参林、一心堂；2.仿制药发展迎来大利好，推荐优质仿制药企信立泰、通化东宝、华东医药、京新药业；3.业绩增长确定性高且估值合理的“大 ...展开全文c', '2018-04-25 21:05:03')
('回复@HenryYin_st:看了我的微博，应该知道，还有2个股票啊，也有2倍了，新城控股、益丰药房，你留意//@HenryYin_st:肖老师，从你这条微博，30元建仓海天味业，一直到现在63元，近2年没有过多次交易，投资回报100%，今天终于清仓离场了。不知能否有缘发现第二只“海天”', '2016-07-23 10:24:35')
('转需：最近3年净资产收益率高于20%，销售毛利率高于30%，营业增长大于0的公司，总共56家$上证指数 sh000001$', '2018-04-25 06:16:40')
('药房的一心堂、大森林、益丰药房；ivd的安图生物、基蛋生物、万孚生物；器械的乐普医疗；cro的凯莱英、泰格医药；一致性评价的华海；另外诸如健帆生物、贝瑞等，医药股，持续新高新高新高！！！全年机会！！！', '2018-04-25 00:23:37')
('16只创历史新高的股票：康泰生物、智飞生物、片仔癀、长春高新、普利制药、大参林、益丰药房、海天味业、华统股份、伟星新材、开立医疗、爱尔眼科、乐普医疗、浙江美大、苏泊尔！11家医药行业~~你说热点在哪？', '2018-04-25 00:15:51')
('看《新零售的未来》，孤陋寡闻的我才知道原来国外一直都给予零售连锁企业如此高的估值，基本都是20~40倍左右，准确点说一般都在30~40倍左右，20倍只是历史较低水平而已，看来益丰药房这种零售连锁企业在正常情况下给予30倍估值是合理的。', '2018-04-22 08:49:08')
('分享自季黎明律师《603939益丰药房 - 概要：湖南板块，医药行业板块，获得2014年成长力冠军；引进世界先进的管理平台-SAP/ERP 信息管理系统，公司采用具有国际... (来自 @头条博客) |603939益丰...', '2018-04-21 19:37:50')
('【益丰药房门店版图扩至7省 今日资本浮盈20倍仍无去意】益丰药房通过聚焦战略，持续密集门店的网络布局和渠道下沉，将门店版图延展至7个省份。在湖南，益丰药房和另一药店零售资本湘军——老百姓平分秋色；在湖北，公司通过4年的门店扩张已经问鼎该区域第一。网页链接', '2018-04-20 06:30:03')
('【医药零售整合疯狂 一心堂、益丰药房加速】医药零售大并购、整合加速。4月19日，白云山发布公告称，为把握发展机遇，公司拟与一心堂、广东广药金申股权投资基金管理有限公司在广州市共同投资设立合资公司白云山一心堂。网页链接', '2018-04-20 03:16:04')
('发布了头条文章：《重磅消息：哈森股份+大千生态+益丰药房，本周详细操作策略》 $哈森股份 sh603958$ +$大千生态 sh603955$ +$益丰药房 sh603939$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |重磅消息：...', '2018-04-19 23:14:17')
('发布了头条文章：《丽岛新材(603937)三孚股份(603938)益丰药房(603939)》 $丽岛新材 sh603937$ #新浪财经# #新浪股吧# #微博股票# |丽岛新材(6...', '2018-04-19 03:56:21')
('昨天的芯片爆炸行情让人很激动，我也一样，晚上兴冲冲复盘，选择了明阳电路，博敏电子，准备开盘梭哈，今天早上直接差不多一字板，就放弃了，转头买了华通医药，没想到躲过一劫，哈哈，行情不好，别追涨，现在持仓，益丰药房，桃李面包，华通医药，千金药业就一点，就不说了', '2018-04-19 03:49:25')
('$狮头股份 sh600539$ $神州数码 sz000034$ $天邑股份 sz300504$ 发布了头条文章：《接下来会有调整，大家注意节奏：金鹰股份 人民同泰益丰药房》 |接下来会有...', '2018-04-17 12:44:52')
('目前持仓没动，益丰药房停牌了，桃李面包过得去，剩下的钱才买了一点鸿博股份，哈哈，不知道怎么样，不知道当代明诚我提过没有，卖飞了，可惜了', '2018-04-16 23:09:33')
('益丰药房停牌了，筹划收购石家庄新兴药房资产', '2018-04-16 22:03:31')
('4.17【定增重组】万业企业：拟购买上海凯世通半导体公司股权益丰药房：拟控股新兴药房拓尔思：筹划重大资产重组', '2018-04-16 20:46:59')
('益丰药房4月16日晚间公告，公司筹划以现金及发行股份的方式，收购孙伟、石朴英、索晓梅、陈玉强等持有石家庄新兴药房连锁股份有限公司的控股权，该事项可能构成重大资产重组，公司股票4月17日起停牌。', '2018-04-16 18:42:23')
('【停/复牌、解禁股数据】复牌个股：南洋股份、三聚环保、顶点软件停牌个股：锋龙股份、拓尔思、益丰药房解禁个股：赤峰黄金、海翔药业、皖维高新、博彦科技、熙菱信息、长川科技、德艺文创、香江控股、索菱股份（注：以上数据截至22：00，以沪深市场交易当日公布最终数据为准，仅供参考！）', '2018-04-16 11:21:42')
('#东方财富# 益丰药房资讯 在 益丰药房吧发表了：益丰药房：拟控股新兴药房 明起停牌 网页链接 下载请戳网页链接这样的重组才是关键，做大规模', '2018-04-16 10:15:37')
