('V+两只\ue627 短线牛股 $飞荣达 sz300602$ $纵横通信 sh603602$ 的上涨逻辑详解，品型战法，与龙虎榜的实战应用，欢迎大家参考，学习，顺手点赞！ 宇辉战舰的...', '2018-07-16 22:58:44')
('发布了头条文章：《本周操作策略解读：中国建筑 青岛海尔 南京证券 纵横通信》$中国建筑 sh601668$ $青岛海尔 sh600690$ $南京证券 sh601990$ $纵横通信 sh603602$ #微博股票# |本周操作策...', '2018-07-23 02:52:15')
('#纵横通信 sh603602[股票]# 这个位置已经出现了强转弱的信号了，所以这个位置是没必要买进的，老师的建议是减仓！以后记住了，买票不要道听途说，要多一些自己的判断', '2018-07-23 02:19:16')
('深圳一女博士扬言：28年坚持“七不买”口诀，盈利至今，建议收藏 $纵横通信 sh603602$ $湖南发展 sz000722$ $丝路视觉 sz300556$ $万里马 sz300591$ yokki阳sup...', '2018-07-23 01:59:35')
('会操作一字板股票就已经足够赚钱！#宝泰隆 sh601011[股票]# #邦讯技术 sz300312[股票]# #纵横通信 sh603602[股票]# 智超财经的...', '2018-07-22 23:07:10')
('操盘手不小心泄密最实用的选股方法，简单易学，抓住主升浪！#宝泰隆 sh601011[股票]# #邦讯技术 sz300312[股票]# #纵横通信 sh603602[股票]# 智超财经的...', '2018-07-22 22:53:17')
('纵横通信出了。赚2个点。。打酱油阶段。。', '2018-07-22 22:07:07')
('发布了头条文章：《纵横通信603602：周末急讯爆料！游资阴谋28亿煽风点火，18年妖王已定》 $纵横通信 sh603602$ $上证指数 sh000001$ #股票# #大盘# #今日看盘# |纵横通信60...', '2018-07-22 11:03:46')
('永艺股份 再升科技 纵横通信 博天环境 珀莱雅 东方电缆 股海大咖的...', '2018-07-22 08:00:38')
('短线高手多年经验心得，再也不用担心如何选股了#宝泰隆 sh601011[股票]# #邦讯技术 sz300312[股票]# #纵横通信 sh603602[股票]# 智超财经的...', '2018-07-22 05:31:51')
('保险银行证券集体爆发，地产白马周期股还没怎么拉，但是下周可能会轮动表现，因此，下周指数还有继续上攻的动能存在。纵横通信，容大感光，中兴通讯，华纺股份，南京新百$纵横通信 sh603602$ $容大感光 sz300576$$华纺股份 sh600448$ $中兴通讯 sz000063$#微博股票##股海看股#', '2018-07-22 02:57:26')
('发布了头条文章：《纵横通信603602 ：主力透漏杀机，是满仓还是空仓？》$纵横通信 sh603602$\ue627 微博股票股票[超话]#股票最热门#微博股票热议榜#股市~a股~大盘~股票#热门股票推荐#热门牛股票点评#gup 热门股票点评# |纵横通信60...', '2018-07-22 02:34:33')
('永艺股份 再升科技 纵横通信 博天环境！#鸿利智汇 sz300219[股票]# #彩讯股份 sz300634[股票]# #久之洋 sz300516[股票]# 许楚沛分析...', '2018-07-22 02:26:07')
('发布了头条文章：《高抛低吸操盘五大绝招 招招致命 庄家已跪！》 #603602纵横通信##300104乐视网##600309万华化学##300703创源文化#|高抛低吸操...', '2018-07-22 01:16:35')
('发布了头条文章：《时代新材+纵横通信：庄家借力抢筹，机构29亿助力！雄起18掘金黑马？》 $时代新材 sh600458$ $纵横通信 sh603602$ $上证指数 sh000001$ #股票分析# |时代新材+...', '2018-07-21 23:22:46')
('一位操盘手讲述：利用周K线抓大牛股，买入分分钟涨停，句句珠玑#宝泰隆 sh601011[股票]# #邦讯技术 sz300312[股票]# #纵横通信 sh603602[股票]# 智超财经的...', '2018-07-21 22:04:43')
('独角兽“妖股”又崛起了，高层重大阴谋被坐实，国家队正式宣布满仓进场！ $南宁糖业 sz000911$ $中环环保 sz300692$ $纵横通信 sh603602$ $万丰奥威 sz002085$ 蒋涛分析的...', '2018-07-21 21:58:02')
('5G第一波市场会选择纵横通信，还有华纺股份和意华股份的翻转。资管新规留在周日直播。（直播就用#微博直播助手#-最好用的直播助手工具） |微博直播 .', '2018-07-21 08:33:57')
('发布了头条文章：《纵横通信+联合光电：庄家克星来袭！游资26亿抢筹！成18年飙涨王？》 $纵横通信 sh603602$ $联合光电 sz300691$ $上证指数 sh000001$ #股票分析# |纵横通信+...', '2018-07-21 06:36:18')
('一旦股票出现“三线金叉”洗盘信号,打死也不要卖,股价将一路疯涨 $卫星石化 sz002648$ $万隆光电 sz300710$ $纵横通信 sh603602$ $润建通信 sz002929$ 我的小蜗牛...', '2018-07-21 05:19:55')
('7月20日重点股发布大单流向华新水泥、浪潮信息、中科曙光、海螺水泥、工业富联、超短线科锐国际、欣天科技、京威股份、亿利达、博敏电子、华正新材、意华股份、英科医疗、三维丝、纵横通信、容大感光、镇海股份、伊戈尔、传艺科技、高风险欣锐科技、宁德时代、飞荣达、锐科激光、集泰股份、东宏 ...展开全文c', '2018-07-21 03:39:14')
('发布了头条文章：《纵横通信603602：庄家重仓“围剿”！机构55亿锁仓！18年妖王遭内定？》 $纵横通信 sh603602$ $上证指数 sh000001$ #今日看盘# #股票# |纵横通信60...', '2018-07-21 00:51:40')
('发布了头条文章：《下周A股吸金筑底：欣天科技 安奈儿 纵横通信 锐科激光》$欣天科技 sz300615$ $安奈儿 sz002875$ $纵横通信 sh603602$ $锐科激光 sz300747$ #微博股票# |下周A股吸...', '2018-07-20 22:12:32')
('发布了头条文章：《时代新材+纵横通信：释放洪荒之力,庄家8亿建仓！惊世大牛预势再现？》 $时代新材 sh600458$ $纵横通信 sh603602$ $上证指数 sh000001$ #股票分析# |时代新材+...', '2018-07-20 10:38:24')
('20180720大盘：日线抵抗平台构筑中。可交易个股：160。并没有减少，是我自己做不好，删掉了自己觉得犹豫的不会买的那些。今日止损：纵横通信、立讯精密、富满电子。都还在系统内，且很有爆发力。我要出门去了，且这种贪婪的交易作风非常地无耻，我厌倦了每个月赚三十个点，亏二十五个点，还不 ...展开全文c', '2018-07-20 03:42:04')
('炒股能发财的只有一种人：牢记这八条铁律，庄家就是你干爹！#宝泰隆 sh601011[股票]# #邦讯技术 sz300312[股票]# #纵横通信 sh603602[股票]# 智超财经的...', '2018-07-20 03:38:17')
('发布了头条文章：《A股重磅：摩恩电气+时代新材+纵横通信，七月操作策略解读》 $摩恩电气 sz002451$ +$时代新材 sh600458$ +$纵横通信 sh603602$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |A股重磅：...', '2018-07-20 03:31:51')
('发布了头条文章：《“下降楔形”——股票回调的最佳买入信号》 #603602纵横通信##300104乐视网##600309万华化学##300703创源文化#|“下降楔形”...', '2018-07-19 22:20:02')
('#纵横通信 sh603602[股票]# 无量拉升，指数再一次回落，今天大概率就是这样震荡了，如果国家队不出现，难以反转', '2018-07-19 22:17:38')
('简单的说一下这两天的大盘吧“怂”！没有什么比这个字更适合的了。先是国中兴通讯的解禁，连带着5G，国产替代，芯片，半导体集成电路拉一波，但是好的标的并没有给我们进场机会中兴通讯$纵横通信 sh603602$这样好的标的直接一字板，等市场反应过来的时候却又偃旗息鼓了，小散接的也是烂板了，而高位 ...展开全文c', '2018-07-19 08:39:46')
('盲目没有方向吗？指导后市如何操作，投资股票可以加wei信：371540346，指导买卖点和解套方法！纵横通信(sh603602) 联合光电(sz300691) 双一科技(sz300690) 创业黑马(sz300688) 澄天伟业(sz300689) 中国出版(sh601949)', '2018-07-19 05:14:55')
('发布了头条文章：《纵横通信(603602):5G概念股，遭主力盯紧疯抢，将杀入龙虎榜！》 #纵横通信 sh603602[股票]# $纵横通信 sh603602$ |纵横通信(6...', '2018-07-18 22:26:43')
('开盘，解一会票，手里有这些票来找我，免费解答。$江苏新能 sh603693$ $纵横通信 sh603602$$名臣健康 sz002919$ $科沃斯 sh603486$', '2018-07-18 22:03:15')
('$纵横通信 sh603602$ 昨天收盘赚近5个点，今天低开开盘低开反抽只跌2个点附近时直接卖出止盈。清了。', '2018-07-18 21:43:12')
('集合竞价$丹邦科技 sz002618$$博敏电子 sh603936$$容大感光 sz300576$$华正新材 sh603186$$世运电路 sh603920$持续性比较好 ...展开全文c', '2018-07-18 21:22:34')
('$上证指数 sh000001$ 昨天早盘的纵横通信涨停回落，这种现状会在目前的环境中持续上演，还会那句多看少动。A股在线解析，解析方式【代码+成本价】发送至评论栏留言', '2018-07-18 21:15:53')
('7月19日关注股票池：1、$彤程新材 sh603650$ （次新石墨烯，日线持续接力后出现第一根大阴线，昨日杀跌集中在尾盘，今日还有惯性下跌，跌下来后适合低吸介入）2、$福达合金 sh603045$ （次新，日线连续回调6天，今日继续下跌后有反弹的需求，20日线附近适合低吸博弈超跌反弹）3、$纵横通信 sh603602 ...展开全文c', '2018-07-18 21:12:34')
('7.18小结:纵横通信在竞价就输给飞荣达了，加上中兴高开低走在中兴绿盘那一刻卖出了纵横通信，但是还是有资金去尝试拉涨停。碳元科技卖出着急了点，通产丽星跟石墨烯板块都比较强势，那么跟风股可以等等更好的卖点。打板了通产丽星跟德尔未来，昨天不舍得打板今天多出10%，德尔未来是通产丽星的跟风股， ...展开全文c', '2018-07-18 20:41:42')
('股市唯一赚钱指标——“MACD”，堪称股市经典，建议永久珍藏！ $深圳燃气 sh601139$ $纵横通信 sh603602$ $国海证券 sz000750$ $广聚能源 sz000096$ 小正太Ente...', '2018-07-18 17:50:35')
('发布了头条文章：《最新重磅牛股先知：纵横通信+赫美集团+冠昊生物》$纵横通信 sh603602$赫美集团 sz002356$冠昊生物 sz300238$ # A股#股票[超话]# |最新重磅牛...', '2018-07-18 10:28:59')
('发布了头条文章：《【热门次新点评】纵横通信止步二板，深南电路利好高开低走！(07-18)》 今天盘面用实际走势告诉我们不能放松警惕，须重回谨慎策略，控制总仓位，尽量不要频繁开仓，对于持仓个股大涨要卖，大跌的时候再低吸回来，保持滚动操作！！！#今日看盘# #微博股票# #投资达人说# ...展开全文c', '2018-07-18 07:32:51')
('#603602纵横通信##300104乐视网##600309万华化学##300703创源文化#A股突发一则消息被坐实，惊涛骇浪即将来临！ 先锋晓晓的...', '2018-07-18 06:23:54')
('盘面一摊死水，今天吃面买了下面三个货，无盘可复，休息一天！#飞荣达 sz300602[股票]# #纵横通信 sh603602[股票]# #通产丽星 sz002243[股票]#', '2018-07-18 04:38:42')
('经历过两次牛市的投资者告诉你：周线选股技巧选黑马三要素#宝泰隆 sh601011[股票]# #邦讯技术 sz300312[股票]# #纵横通信 sh603602[股票]# 智超财经的...', '2018-07-18 03:56:28')
('散户如何在股市赚钱？八大选股方式教你如何选择好股！#宝泰隆 sh601011[股票]# #邦讯技术 sz300312[股票]# #纵横通信 sh603602[股票]# 智超财经的...', '2018-07-18 03:48:46')
('20180718大盘：磨。可交易个股：177。今日持仓：中国软件、立讯精密、富满电子、纵横通信。 ...展开全文c', '2018-07-18 03:17:09')
('#纵横通信 sh603602[股票]# 昨天打板的5G股纵横通信，仓位已经降低，打板开始到现在 就一只福达合金小亏了一点，其余都赚，到目前为止打板收益2周下来 50个点以上妥妥的，自己可以去翻查前面的参考记录 光欣锐科技就30个点了', '2018-07-18 00:35:07')
('今日操作：1.集合竞价吃了华正新材和纵横通信。2.天成自控，加了两笔。早上新能源这边中军安凯客车暴走，但欣锐科技表现一般，彤程新材也比较萎靡，下午如果同城有上穿黄线机会可以低吸一笔。$彤程新材 sh603650$ $欣锐科技 sz300745$ $华正新材 sh603186$', '2018-07-18 00:08:32')
('发布了头条文章：《主力重仓驰援7月冠绝A股？山河药辅+仁和药业+纵横通信+华数传媒》 $山河药辅 sz300452$ $仁和药业 sz000650$ $纵横通信 sh603602$ $华数传媒 sz000156$ #今日看盘# #短线牛股# |主力重仓驰...', '2018-07-17 23:49:52')
('发表了博文《注意！5G概念逆市大涨，9家公司业绩增长超过100％！》大盘弱势运行的背景下，5G概念股已连续两日表现抢眼。17日，超过六成的5G概念股收涨，富春股份、邦讯技术、飞荣达、纵横通信等7只个股|注意！5G概...', '2018-07-17 23:31:54')
('目前股市的状态：温水煮青蛙，最后都是个死。$莱茵生物 sz002166$ $至纯科技 sh603690$ $纵横通信 sh603602$', '2018-07-17 23:17:47')
('洛阳钼业：A股再爆一信号，主力携手机构100亿巨资蓄势待发！$南宁糖业 sz000911$ $中环环保 sz300692$ $纵横通信 sh603602$ $万丰奥威 sz002085$ 蒋涛分析的...', '2018-07-17 22:50:35')
('#纵横通信 sh603602[股票]# 刚刚冲击涨停，但是盘口可以看出不想封，因为近期的市场氛围不太好，游资也怕被闷杀！因为近期好多个股都是涨停第二天就被闷了，就那那天我们涨停止盈出的#彤程新材 sh603650[股票]# 一样的游资就被闷杀了！', '2018-07-17 22:45:26')
('$万华化学 sh600309$ 先走了，$纵横通信 sh603602$ 上车，至于这车能开到哪里，我不知道，但我希望今天是一个涨停板', '2018-07-17 22:41:51')
('5G概念股纵横通信拉升上涨冲涨停附近,医药股鲁抗医药回封涨停 |东莞·鸿福...', '2018-07-17 22:40:34')
('发布了头条文章：《主力巨资建仓：沃特股份 金风科技 华鲁恒升 纵横通信》 $沃特股份 sz002886$ $金风科技 sz002202$ $华鲁恒升 sh600426$ $纵横通信 sh603602$ \ue627 股票分析 \ue627 微博股票 #财经头条文章# #个股专业点评# \ue627 头条文章 |主力巨资建...', '2018-07-17 22:36:13')
('纵横通信冲击换手三板，指数的带动不明显，板块内反应也一般', '2018-07-17 22:35:24')
('纵横通信要涨停了，对风险太大，不敢做 |咸阳·世纪...', '2018-07-17 22:33:28')
('上周五提示进场的#纵横通信 sh603602[股票]# 纵横通信，目前已经到达短期高点大家可以选择现价止盈了，防止获利回吐严格止盈\ue627 微博股票 \ue627 微博财经 #资金流向# #微博股票# #微博股票# #卦哥家# #股票# #财经头条# #微博财报#', '2018-07-17 22:29:26')
('出了纵横通信，抄了华鹏飞，追了香飘飘。今天行情应该不会太差。', '2018-07-17 22:24:54')
('纵横通信 666 我刚刚走了 还能涨 想拿的继续哈 我走了', '2018-07-17 22:23:58')
('#纵横通信 sh603602[股票]# 市场两极分化太严重了，很容易被闷杀，所以这样的市场操作难度非常大，必须要快进快出，否则就会出事', '2018-07-17 22:13:50')
('而近期市场最活跃的地带5G继中兴歇菜之后，目前没有突出重围飞荣达3连板难封，纵横通信有平台压力，还需要努力而新材料方面，只有通产丽星一个股目前突出来了不过目前看通产丽星有些妖股独立属性了其他的个股有些跟不上，难以形成较好的赚钱效应#今日看盘# $通产丽星 sz002243$', '2018-07-17 22:05:25')
('20180718 绿色时买了纵横通信。我同学在买中兴通讯，呵呵。', '2018-07-17 22:04:34')
('纵横通信，继续持有，10.30之前不涨停止盈，如果早盘能够弱转强实现二连板，那么就可能晋升为5G的龙头替代品，目前来看，只是跟风先锋股。早盘有溢价。飞荣达，一板烂板，二板弱转强，5G+超跌，昨天的市场主线就是两条，一条是以中兴通讯带动的超跌股反抽板，一条就是5G，所以这个标的今天三板预期非 ...展开全文c', '2018-07-17 21:55:19')
('$纵横通信 sh603602$ 早盘开盘分时急涨上涨2个点抛出止盈，持股一天，获利4个点了结，这股现在回跌不好买，盘中再看，符合条件有可能会再买回来。', '2018-07-17 21:46:10')
('1、现在板块龙头最后倒下？ 好像不存在，小弟依然活的好好的，比如天华超净天地板那天，京威股份依然牢牢封死涨停，昨天意化股份小幅高开低于预期，冲高无力大幅回落，但是飞荣达，纵横通信等依然2板稳稳封住。2、5G：上面也写了龙头倒下，现在市场有对于缩量加速的接力开始谨慎，毕竟近期加速大面太 ...展开全文c', '2018-07-17 21:34:53')
('$纵横通信 sh603602$ 可以等回踩下方均线在入，也可以开盘价介入，注意仓位。', '2018-07-17 21:30:31')
('实时播报：指数小幅高开，铜箔、PCB板块领涨。昨日热点题材中，5G富春股份涨9%、纵横通信跌2%、中兴通讯涨3%，业绩佳发教育涨6%、用友网络涨1%，富勒烯通产丽星涨停、亿利达跌1%，石墨烯德尔未来涨4%、中超控股涨停、杭电股份跌1%，养鸡仙坛股份涨3%。盘前，半导体兆易创新涨2%，石墨烯道氏技术涨2%，P ...展开全文c', '2018-07-17 21:29:04')
('0718抢筹确认交易系统选股操作分析参考低进603602纵横通信该股技术指标不错,,仅供参考,不做为投资依据.股市有风险,投资需谨慎.', '2018-07-17 21:28:25')
('竞价看龙头：超跌概念股$南京新百 sh600682$ 、金龙机电，业绩预增概念股海达股份、中超控股 ，5G概念股飞荣达、纵横通信，石墨烯概念股德尔未来，富勒烯概念股通产丽星，芯片概念股金安国纪、恒泰实达\ue627 今日看盘 \ue627 投资达人说', '2018-07-17 21:26:58')
('7.17小结:竞价核按钮长盛，尾盘有冲高表现，仓位不大还是亏了16%。冲高卖出了失去市场地位的意华半仓赚了11%。打板了纵横通信1封跟2封，但好像飞荣达好像才是龙头。尾盘买入碳元科技，超跌+石墨烯。', '2018-07-17 21:26:52')
('新材料：富勒烯：通产丽星、亿利达石墨烯：德尔未来、杭电股份、碳元科技业绩预增：飞荣达、海达股份、中超控股、佳发教育、润达医疗、时代新材、百润股份、用友网络、台基股份、科斯伍德泛填权：飞荣达、纵横通信、沃特股份、佳发教育、用友网络、台基股份、奥瑞德、赫美集团、拉芳家化、仙坛股份 ...展开全文c', '2018-07-17 21:24:44')
('#今日牛股# 早盘个股参考：大富科技（300134）：石墨烯。仙坛股份（002746）：畜禽养殖。纵横通信（603602）：5G。', '2018-07-17 21:23:54')
('MLCC龙头$风华高科 sz000636$ 走势有点方大炭素的味道了...至于风华能不能对标方大，因为上次已出所以暂时不去意淫，可以发掘下低位小弟——000701厦门信达看能否来一波。另外京威股份和中能电气也关注一下，看能否有低吸机会。5G的再强调一下：昨天龙头$意华股份 sz002897$ 被按死了，所以纵横通信 ...展开全文c', '2018-07-17 21:22:11')
('【热点复盘】1、5G：意华股份、纵横通信、中兴通讯、美格智能、创意信息、沃特股份、飞荣达、奥维通信2、中报预增：海达股份、北方国际、智度股份、合兴包装、中核科技、安井食品、德威新材3、超跌：联建光电、金运激光、三维股份、英特集团、凯盛科技、南京新百、盛运环保 ...展开全文c', '2018-07-17 21:17:31')
('今日操作策略1、先聊短线5G：中兴通讯（中军）、纵横通信（卡位龙头）因为昨天意华股份被按死了，所以纵横通信也不是很看好，总之谨慎点，包括中兴通讯也到了获利点了，这里需要回调。所以，不看好持续性。...展开全文c', '2018-07-17 21:17:19')
('$纵横通信 sh603602$次新股+高送转+5G概念，不过，今日量能偏大，后市注意量能变化情况。另外，中兴通讯滞涨对个股走势会有影响。', '2018-07-17 20:55:08')
('通信：富春股份、邦讯技术、深南股份、纵横通信、中兴通讯、瀛通通讯、大富科技、南京熊猫、华脉科技、奥维通信、中国天楹。计算机：富春股份、邦讯技术、恒泰实达、用友网络、佳发教育、和仁科技、兆日科技、信息发展、石基信息、同有科技、长亮科技。', '2018-07-17 20:35:58')
('$上证指数 sh000001$核心1板：深南股份、金龙机电、中超控股、德尔未来核心2板：纵横通信、中兴通讯、飞荣达、金安国纪核心3板：无', '2018-07-17 20:33:06')
('发表了博文《7.18早盘策略》1、先聊短线5G：中兴通讯（中军）、纵横通信（卡位龙头）因为昨天意华股份被按死了，所以纵横通信也不是很看好，总之谨慎点，包括中兴通讯也到了获利点了，这里需要回调。所以，不|7.18早盘策...', '2018-07-17 20:24:23')
('方向4：连板梯队，前龙头天华超净长阴结束后，目前4板成为最大高度，通产丽星、三变科技（5天4板）并列。三板出现断层，飞荣达/纵横通信/沃特股份（5G）、亿利达（富勒烯）、金安国纪（芯片）、海达股份（业绩预增）、南京新百（超跌反弹）换手二板。', '2018-07-17 20:23:41')
('2018年7月18日自选股：1、5G概念：中兴通信，纵横通信，太辰光2、超跌股：猛狮科技3、石墨烯：德尔未来，碳元科技，中超控股4、PCB涨价概念：深南股份，沈南电路5、趋势股：风华高科，神马股份，美亚光电', '2018-07-17 20:14:31')
('发布了头条文章：《测试版头条！》$上证指数 sh000001$ $深证成指 sz399001$ $创业板指 sz399006$$三变科技 sz002112$ $中兴通讯 sz000063$ $纵横通信 sh603602$ |测试版头条...', '2018-07-17 19:15:01')
('【沪指失守2800 创业板尾盘翻红 石墨烯、5G掀涨停潮】5G板块持续强势，龙头飞荣达秒板，中兴通讯、大富科技、纵横通信涨停。石墨烯板块午后逆势拉升，龙头德尔未来直线封板，碳元科技、中超控股、大富科技和杭电股份涨停，宝泰隆涨6%。|A股早盘下...', '2018-07-17 17:31:25')
('【A股7月17日个人操作策略复盘】A股周二两市早盘低开，沪深股指低开低走，上证50持续走低。午后三大股指探底回升，创业板指成功翻红，沪指跌幅收窄。截止收盘沪指跌0.6%，创业板指涨0.3%。周二六只票表现一般。通产丽星一字涨停、纵横通信高开高走涨停，无介入机会；其他四只无介入机会。*股市有风 ...展开全文c', '2018-07-17 12:48:28')
('7.17复盘今日两市低开低走，沪深指数受权重拖累，全天在0轴下方运行，下午14:05跌幅达-1.39%，尾盘有所收回，全天收跌-0.57%，表现弱势。创业板相对较强，中兴通讯、纵横通信引领的5G板块，近期持续活跃，今日又有8支个股涨停；锂电池也是近期热点板块，今日有3支个股涨停。7月12日，沪深指放量大阳， ...展开全文c', '2018-07-17 12:11:22')
('5G概念股持续走强，中兴通讯再度冲击涨停，恒康实达、飞荣达、大富科技、纵横通信等多股涨停。$中兴通讯 sz000063$', '2018-07-17 12:01:38')
('7月18日十大资讯（附3股）1、中兴通讯预中标中国移动大单（300134 大富科技）；2、华为携手运营商已建立50多张5G预商用网络（603602纵横通信）；3、PCB市场迎来涨价潮行业逐步进入旺季周期；4、合肥长鑫DRAM正式投片国产存储跨出重要一步；5、工信部副部长：130多种关键基础材料中32%在中国仍空 ...展开全文c', '2018-07-17 11:40:55')
('发表了博文《底部确认？市场风格转变龙头妖股将现，几板块有望逆势走妖》今天5G板块更加强势，早盘在股指震荡下跌的情况下逆势上行，一直维持高位震荡，尾盘有一波拉升动作。其中纵横通信和沃特股份均是放量2板，|底部确认？...', '2018-07-17 11:39:04')
('发布了头条文章：《纵横通信(603602)：次新龙头吸金筑底，股价有望逆势拉升！》$纵横通信 sh603602$ #纵横通信 sh603602[股票]# #我要上热搜# #股市最热门# #微博股票# |纵横通信(6...', '2018-07-17 11:20:52')
('收盘两个帐户共持有65支股，3股涨停。$中兴通讯 sz000063$ 今天高抛低吸后再度涨停（4天3涨停），赢利进一步扩大。$纵横通信 sh603602$ 强势两连板，买入位置在涨停打开时的均价附近。另一支涨停股600889南京化纤是打的板。601028玉龙股份买的位置极好，下午大幅上涨至涨停，尾盘回落，收盘小赚。 ...展开全文c', '2018-07-17 11:12:25')
('油价暴跌 房产税 算两大利空 制约了反弹 确实也进入指数调整 指数单边往下 尾盘指数加速下跌 但比较好的是创业板尾盘收红。板块 5G还是最强板块 中兴通讯还是真的强 盘子太大 位置危险 个人对这票 看戏看戏。而两版的飞荣达 纵横通信和沃特股份 还是个人先去关注留意的 明天才是他们的重点。芯片 还是 ...展开全文c', '2018-07-17 10:59:29')
('下面四图揭示:只有科技才能振兴世界和中国!$中兴通讯 sz000063$ $纵横通信 sh603602$ $德尔未来 sz002631$ $杭电股份 sh603618$ #通产丽星 sz002243[股票]# #亿利达 sz002686[股票]# 令哥复盘的...', '2018-07-17 10:56:17')
('\ue627 A股 \ue627 股票 #魔都夜行的复盘计划# \ue627 财经盘面空间：四板：通产丽星二板：海达股份 纵横通信 南京新百 中兴通讯 沃特股份 飞荣达 金安国际 亿利达三+一板：三变科技...展开全文c', '2018-07-17 10:46:24')
('明日捉妖股方案：德尔未来、杭电股份、海达股份、彤程新材风华高科、新安股份、寒锐钴业、神马股份金安国纪、台基股份、 中兴通讯、飞荣达、纵横通信、京威股份、中能电气、当升科技。', '2018-07-17 10:24:43')
