('年利润暴增572倍,次新第一龙头62跌至9元,有望乌鸡变凤凰 $纵横通信 sh603602$ $万里马 sz300591$ $*ST宜化 sz000422$ $金溢科技 sz002869$ 姚晓浪的秒...', '2018-07-25 01:51:27')
('广济药业、京山轻机、三特索道、*ST双环、*ST宜化……', '2018-07-24 06:05:40')
('#微博股票# #新浪财经# #大盘直击# *ST宜化：拟10.4亿元转让新疆宜化80.1%股权，明起停牌。$上证指数 sh000001$', '2018-05-06 06:20:58')
('【乐视网领亏A股业绩黑榜】随着2017年年报披露正式收官，A股十大亏损王也新鲜出炉。数据显示，除尚未披露年报的几家上市公司外，乐视网(300104)以巨亏近139亿元居于亏损榜榜首，*ST油服则以亏损约106亿元紧随其后。另外，曝出黑天鹅事件的ST保千里、*ST宜化亏损金额则超过50亿元。（北京商报） ...展开全文c', '2018-05-03 01:38:28')
('虽然破产了，但还是应该微笑着吃面。$*ST宜化 sz000422$ $东阿阿胶 sz000423$ 瞧，这两胞胎。', '2018-05-03 01:22:58')
('#*ST宜化 sz000422[股票]# 被st之后连续跌停，基本面差，表现差，建议找机会先出来，以后注意关注一些有业绩支撑的标的', '2018-05-01 21:24:51')
('A股十大“亏损王”----乐视，盐湖股份，坚瑞沃能，中弘股份，ST油服，ST保千里，ST宜化，ST龙力，ST大唐，ST信通。 一年毁灭财富逾500亿！ $上证指数 sh000001$ $创业板指 sz399006$', '2018-05-01 04:02:24')
('《谈一下本人对现阶段宜化的一些看法 首先，宜化作为地方上的大型国有企业，影响甚大，_*ST宜化(000422)股吧_东方财富网股吧》网页链接', '2018-04-30 07:02:31')
('2017年报季收官，A股十大“亏损王”新鲜出炉，十家公司2017年共亏损562.49亿元。乐视网亏损138.78亿元，*ST油服亏损105.8亿元，ST保千里亏损77.32亿元，*ST宜化亏损50.9亿元，盐湖股份亏损41.59亿元，坚瑞沃能亏损36.84亿元，ST龙力亏损34.83亿元，*大唐亏损26.5亿元，中弘股份亏损25亿元，*ST信通亏损 ...展开全文c', '2018-04-29 02:40:53')
('#微博股票# #新浪财经# #大盘直击# $上证指数 sh000001$ 点评：除乐视网外，*ST油服(600871)2017年亏损金额也超100亿元(105.83亿元)。此外，*ST宜化(000422)、盐湖股份(000792)、ST龙力(002604)亏损超过30亿元。这些公司除了业绩表现不佳外，股价表现也不太理想，其中乐视网2017年至今累计跌幅超过87% ...展开全文c', '2018-04-28 20:40:43')
('【A股十大“亏损王”新鲜出炉 十家公司一年毁灭财富562亿】2017年报季收官，A股十大“亏损王”新鲜出炉，十家公司2017年共亏损562.49亿元。他们分别是：乐视网亏损138.78亿元、*ST油服亏损105.8亿元、ST保千里亏损77.32亿元、*ST宜化亏损50.9亿元、盐湖股份亏损41.59亿元、坚瑞沃能亏损36.84亿元、ST龙 ...展开全文c', '2018-04-28 13:15:44')
('【A股十大“亏损王”新鲜出炉，十家公司一年毁灭财富逾562亿】2017年报季收官，A股十大“亏损王”新鲜出炉，十家公司2017年共亏损562.49亿元。其中乐视网亏损138.78亿元，*ST油服亏损105.8亿元，ST保千里亏损77.32亿元，其他包括*ST宜化、盐湖股份、坚瑞沃能、ST龙力、*大唐、中弘股份、*ST信通。与往 ...展开全文c', '2018-04-28 09:16:44')
('#火火视角# $上证指数 sh000001$ $乐视网 sz300104$ 【A股十大“亏损王”新鲜出炉 十家公司一年毁灭财富562亿】4月28日讯 , 2017年报季收官 , A股十大“亏损王”新鲜出炉 , 十家公司2017年共亏损562.49亿元。乐视网亏损138.78亿元 , *ST油服亏损105.8亿元 , ST保千里亏损77.32亿元 , *ST宜化亏损50.9亿 ...展开全文c', '2018-04-28 09:11:29')
('从去年底的獐子岛扇贝又“跑路”，经历了2次“扇跑跑”，皇台酒业库存酒不见了，巴士在线老板“失联”，到今年4月下旬坚瑞沃能由盈利转为巨亏，此外还有猛狮科技年报业绩“五次”变脸。ST龙力、ST保千里、*ST宜化、*ST信通亏得裤子都没了，盐湖股份成为今年最大的“败家子”。随着2017年报季收官，A股 ...展开全文c', '2018-04-28 08:54:01')
('【A股十大“亏损王”出炉 十家公司一年毁灭财富逾562亿 】2017年报季收官，A股十大“亏损王”新鲜出炉，十家公司2017年共亏损562.49亿元。其中乐视网亏损138.78亿元，*ST油服亏损105.8亿元，ST保千里亏损77.32亿元，*ST宜化亏损50.9亿元，盐湖股份亏损41.59亿元，坚瑞沃能亏损36.84亿元，ST龙力亏损34. ...展开全文c', '2018-04-28 08:07:18')
('今年连续跌停≥3个跌停的，有下面一些股票，基本都在百亿市值以内，很多ST。其中一些是新戴帽的下跌，可以多开的，比如*ST宜化。小市值模式，只适合一部分人。', '2018-04-26 06:56:36')
('复牌公司：$名家汇 sz300506$ 、*ST罗顿、ST船舶、*ST宜化、东山精密、中孚信息、*ST安泰 、百利科技停牌公司：哈空调、狮头股份、蓝科高新、*ST中富以上个股有把握不好的私信代码+成本', '2018-04-23 22:00:50')
('复牌：名家汇 *ST罗顿 *ST船舶 *ST宜化 东山精密 中孚信息 *ST安泰 百利科技停牌：哈空调 狮头股份 蓝科高新 *ST中富 天宝食品#全民赛实盘#', '2018-04-23 19:55:23')
('【停复牌】停牌：狮头股份，蓝科高新，st中富，哈空调复牌：中孚信息，名家汇，湖北宜化，中国船舶，罗顿发展，安泰集团，宁波中百，百利科技', '2018-04-23 10:53:35')
('【停牌个股】江泉实业【复牌个股】光正集团、万丰奥威、*ST众和、新筑股份、长亮科技、棕榈股份、湖北宜化、华懋科技、嘉化能源、正业科技', '2018-04-22 22:13:59')
('$上证指数 sh000001$ $创业板指 sz399006$ #财经头条文章##今日看盘##原创首发##股评师问答#这些个股利空，回避风险!多转发点赞评论6662018-04-22 09:58:05湖北宜化(000422)：年报亏损50亿股票被ST 下周二复牌大唐电信(600198)：预计2017年亏损将突破24亿元 ...展开全文c', '2018-04-22 12:16:20')
('发表了博文《2017年亏损近51亿元湖北宜化将被“*ST”》湖北宜化4月20日晚间发布公告称，公司在2017年实现归属净利润亏损近51亿元，因2016年度、2017年度连续两个会计年度经审计的净利润为|2017年亏损...', '2018-04-22 06:16:22')
('今天一大波亏损上亿的年报出来，后面估计还有亏损超过51亿的，真是比亏大赛啊！#东方财富#2017年亏损近51亿元 湖北宜化将被“*ST” |2017年亏损... 来自@东方财富网', '2018-04-20 11:00:53')
('炒概念的代表41.59亿元的亏损额让盐湖股份名列A股已公布年报亏损榜的第五位，排在它前面的是乐视网、*ST油服、ST保千里、湖北宜化。 |盐湖股份年...', '2018-04-20 02:14:41')
('在清明节后这些个股或将被*ST，你有中招么？金岭矿业、湖北宜化、双环科技、新能泰山、智慧农业、皇台酒业、武汉凡谷、大东南、贝因美、中国船舶、创兴资源、大唐电信、哈空调、罗顿发展、安源煤业、安泰集团、厦华电子、览海投资等。', '2018-04-08 20:55:41')
('【10余只股票或在“清明后”被*ST】 大概率连续两年遭遇净利润亏损、在清明节后或将被交易所*ST处理的个股名单：【金岭矿业】、【湖北宜化】、【双环科技】、【新能泰山】、【智慧农业】、【皇台酒业】、【武汉凡谷】、【大东南】、【贝因美】、【中国船舶】、【创兴资源】、【大唐电信】、【哈空调】 ...展开全文c', '2018-04-08 09:16:14')
('【注意风险： 10余只股票或在“清明后”被*ST 】以下个股大概率连续两年遭遇净利润亏损、在清明节后或将被交易所*ST处理：金岭矿业、湖北宜化、双环科技、新能泰山、智慧农业、皇台酒业、武汉凡谷、大东南、贝因美、中国船舶、创兴资源、大唐电信、哈空调、罗顿发展、安源煤业、安泰集团、厦华电子、览 ...展开全文c', '2018-04-07 21:59:34')
('【高能预警！10余只股票或在“清明后”被*ST(附业绩“排雷”名单)】大概率连续两年遭遇净利润亏损、在清明节后或将被交易所*ST处理的个股名单：金岭矿业、湖北宜化、双环科技、新能泰山、智慧农业、皇台酒业、武汉凡谷、大东南、贝因美、中国船舶、创兴资源……|高能预警！...', '2018-04-06 10:20:20')
('【10余只股票或在“清明后”被*ST】 选股宝讯，A股市场上，大概率连续两年遭遇净利润亏损、在清明节后或将被交易所*ST处理的个股名单：金岭矿业、湖北宜化、双环科技、新能泰山、智慧农业、皇台酒业、武汉凡谷、大东南、贝因美、中国船舶、创兴资源、大唐电信、哈空调、罗顿发展、安源煤业、安泰集团、 ...展开全文c', '2018-04-06 06:52:22')
('【这些股票将被ST，大家小心】10余只股票或在“清明后”被*STA股市场上，大概率连续两年遭遇净利润亏损、在清明节后或将被交易所*ST处理的个股名单：金岭矿业、湖北宜化、双环科技、新能泰山、$智慧农业 sz000816$ 、$皇台酒业 sz000995$ 、$武汉凡谷 sz002194$ 、大东南、贝因美、 ...展开全文c', '2018-04-06 06:37:27')
('从涨幅榜看，大多数又是不认识的垃圾题材股，比如明显要被ST的低位湖北宜化涨停，同是化工板块高位的绩优股鲁西化工跌停。这或许体现了投资者对市场不确定性、避险的体现吧。', '2018-03-05 01:42:05')
('根据同花顺数据统计发现，截至上周五，剔除负资产公司，沪深两市共有56只个股市净率低于1倍，其中，悦达投资、ST信通、湖北宜化、皖能电力、亚光科技、海马汽车、赣粤高速等7只个股的最新市净率均在0.8倍以下。', '2018-02-13 07:21:34')
('【74股破净 40只市净率低于0.9】截至2月9日收盘，有74只个股跌破每股净资产，其中湖北宜化、厦门信达、悦达投资等个股市净率最低，分别为0.565倍、0.627倍、0.713倍。从近一个月的涨跌幅看，ST信通、东凌国际、湖北宜化等个股的跌幅最大，分别达51.16%、44.59%、32.62%。', '2018-02-10 05:20:40')
('多只银行股退出“破净”队伍统计数据显示，截至昨日收盘，沪深两市跌破每股净资产的个股共计50只(见下表)，其中，湖北宜化市净率最低，为0.59倍，此外，厦门信达、ST信通、悦达投资、皖能电力、海马汽车、郴电国际、华茂股份市净率也较低，均在0.8倍以下。与2016年、2017年相比，银行股占比大幅缩 ...展开全文c', '2018-02-07 19:55:46')
('【扇贝跑了，库房酒没了，老板不见了......预亏股摆雷阵炸伤基金】从已发布的公告来看，业绩预估亏损最多的前十大公司为乐视网、石化油服、湖北宜化、盐湖股份、ST信通、*ST海润、中国船舶、大唐电信、*ST吉恩和巴士在线。其中，乐视网和石化油服预估亏损超过百亿，其余八家公司亏损范围在15亿至48亿元 ...展开全文c', '2018-02-05 00:33:02')
('发布了头条文章：《(000933)神火股份(600654)*ST中安(000422)湖北宜化》 |(000933)神...', '2018-02-02 04:52:33')
('贝因美：亏10个亿，服不服？乐视：不服，我加个零...保千里：我亏的数都数不清獐子岛：哦，我扇贝又跑了 ...展开全文c', '2018-02-02 03:25:38')
('【“地雷”公司频现 保护投资者利益不可忽视】无论是ST保千里，还是湖北宜化、*ST海润等，虽然股价暴跌原因不同，但这些公司均存“问题”是不争事实。因上市公司自身原因，让广大中小投资者买单，并不公平。|“地雷”公司...', '2018-02-01 23:37:12')
('选股票最好选每股收益前100名之内的，套了还有希望回本，垃圾股套了一辈子回不了本最后sT退市了，贵州茅台排第一，湖北宜化倒数第一。', '2018-02-01 19:55:55')
('#大盘直击#【操盘必读】两市重挫闪崩频现，上市公司祭出“停牌”、“增持”、“承诺兜底”三大招；皇台酒业库亏约6700万元，收到深交所关注函；湖北宜化、盐湖股份收关注函；ST保千里称通过发函催收、向公安机关报案等措施，尽量减少公司遭受的损失；中毅达：2017年度将出现大额亏损且数额无法确定 ...展开全文c', '2018-02-01 19:19:32')
('【今日收盘：连续两日百股跌停 中小创成重灾区】2月的第一个交易日，沪深两市低开低走，市场恐慌情绪浓厚，仅银行、钢铁板块上涨，多只个股盘中“闪崩”，乐视网、湖北宜化、ST保千里等预计2017年将巨亏的公司继续跌停。沪指午后跳水跌逾1%，深成指盘中跳水跌近3%。 |今日收盘：...', '2018-02-01 08:13:49')
('【沪指四连跌收3446.98点 逾200股跌停绩优股或受关注】沪指在1月29日到达近两年最高点3587.03点之后，转身走出一波整理行情，连续四日收跌，指数下跌111.15点，本周跌幅3.12%，振幅4.75%。2月1日开盘后，低开低走，仅银行、钢铁板块上涨，多只个股出现“闪崩”，乐视网、湖北宜化、ST保千里等预计2017 ...展开全文c', '2018-02-01 07:00:03')
('【多只个股盘中“闪崩” 沪指震荡跳水跌1.11% 】钢铁板块逆势飘红，沪指休报3442.21点，跌幅1.11%。2月的第一个交易日，沪深两市小幅低开，银行、煤炭等板块冲高回落，两市多只个股盘中“闪崩”，乐视网、湖北宜化、ST保千里等预计2017年将巨亏的公司继续跌停。 |今日午盘：...', '2018-02-01 03:11:26')
('梳理最新的数据，可以发现，如今已有177只个股预告亏损，其中111只个股预计亏损超过亿元。具体来看，乐视网、石化油服、湖北宜化、盐湖股份、ST信通、*ST海润、中国船舶、大唐电信、*ST吉恩、巴士在线、一汽夏利、漳泽电力、*ST天化、华银电力、华电能源、海马汽车、易成新能、贝因美、中弘股份等19只 ...展开全文c', '2018-02-01 01:33:51')
('乐视网连续第7天开盘跌停，据多家媒体预测，目前贾跃亭已经处于爆仓边缘。“巨亏预警股”湖北宜化继续跌停，ST保千里连续25天跌停。|实时快讯', '2018-01-31 20:41:12')
('$上证指数 sh000001$ #微博股票# 09：37 民航和高转送板块涨幅居前！！ （300104乐视网）连续第7天开盘跌停，目前贾跃亭已经处于爆仓边缘，“巨亏预警股” （000422湖北宜化）和烂泥潭（600074ST保千里）继续跌停', '2018-01-31 20:40:07')
('#巨亏预警股跌停潮#【乐视网连续第7天开盘跌停 跌停个股近20家】沪深两市延续弱势格局，沪指早盘小幅低开，跌停个股近20家，个股分化格局明显，乐视网连续第7天开盘跌停，“巨亏预警股”湖北宜化和ST保千里继续跌停。ST保千里已连续25日跌停，继续刷新A股史上最长连续跌停纪录。从盘面上看，仪表仪器、 ...展开全文c', '2018-01-31 20:36:04')
('|沈时度势的...乐视网连续第7天开盘跌停，据多家媒体预测，目前贾跃亭已经处于爆仓边缘，“巨亏预警股”湖北宜化和ST保千里继续跌停。——业绩差的公司就得留心，我们要学股神，做自己了解的投资，这样才能睡得安稳。', '2018-01-31 20:27:04')
('…………挡不住的奇葩倾巢出动，天雷滚滚而来。公告集锦：皇台酒业：我家库存酒挥发，损失1.2—1.4亿；獐子岛：不幸扇贝又游走了，预亏5.3—7.2亿；中国船舶：预亏22—25亿，我要变ST中船了；石化油服：我预亏104亿，也要被ST；湖北宜化：我亏得比市值还多，预亏44亿—48亿； ...展开全文c', '2018-01-31 17:12:44')
('（转）比惨大会上演！ 贝因美：我亏10个亿，你服不服？ 乐视：不服，我加个零。 保千里：亏得数都数不清。 獐子岛：哦，我扇贝又跑了。 st众和：我们董事长因诈骗被捕了。 湖北宜化；我们亏得比市值还多。 巴士在线：我们不仅亏，董事长还失踪了。 金盾股份：我们董事长昨晚跳楼轻生了。', '2018-01-31 12:27:09')
('【一份地雷清单】大幅下修业绩预期（部分预亏）：德豪润达、毅昌股份、春兴精工、天际股份、青青稞酒、嘉应制药、芭田股份、欧菲科技、远大智能、孚日股份、宏创控股、新筑股份、辉煌科技、东华科技、安妮股份等。大幅预亏：乐视网、ST保千里（数额不明）、抚顺特钢（数额不明）、獐子岛、湖北宜化 ...展开全文c', '2018-01-31 11:42:05')
('？？？？？？？？贝因美：亏10个亿，服不服？乐视：不服，我加个零...保千里：亏的数都数不清獐子岛：哦，我扇贝又跑了st众和：我们董事长因诈骗被捕了 ...展开全文c', '2018-01-31 11:15:26')
('【天雷滚滚！A股上演比惨大会：乐视、石化油服预亏超100亿！】昨天晚上，A股市场多家上市公司接连发布公告，表示公司业绩严重亏损。乐视网昨晚发布公告表示，公司预计2017年亏损116亿元。2016年亏损161亿问鼎A股“亏损王”的石化油服，昨晚公告预亏106亿，面临ST戴帽风险。湖北宜化昨晚公告表示，2017 ...展开全文c', '2018-01-31 08:48:22')
('【巨亏预警公司集体大跌 乐视网连续第6日跌停】乐视网、湖北宜化等巨亏预警公司集体大跌，乐视网连续第六天开盘跌停，石化油服逼近跌停，湖北宜化跌停，ST保千里跌停，獐子岛和抚顺特钢停牌。|巨亏预警公...', '2018-01-31 06:47:39')
