('发布了头条文章：《天邦股份+龙元建设：庄家建仓完毕！机构36亿锁仓，必夺18年首席黑马》 $天邦股份 sz002124$ $龙元建设 sh600491$ #今日看盘# #股票# |天邦股份+...', '2018-07-23 10:56:45')
('韵达股份 科陆电子 天马股份 梦网集团 天邦股份 湘潭电化 股海大咖的...', '2018-07-13 05:00:20')
('太阳纸业 天康生物 天润控股 天马股份 天邦股份 股海茗漫的...', '2018-07-12 23:05:28')
('保持平和的心态，选有价值把握性大的票，建仓前把最大的亏损承受能力算好，控制好仓位，你成功的概率就很高了。选几支票做解析，关注的朋友可以留言或私信长城汽车 601633智动力 300686天邦股份 002124正邦科技 002157', '2018-07-11 22:37:15')
('发布了头条文章：《主力巨资增持新妖崭露头角？002124天邦股份+002302西部建设》 $天邦股份 sz002124$ $西部建设 sz002302$ #股票分析# #个股推荐与走势分析# #短线牛股# |主力巨资增...', '2018-07-11 22:35:54')
('发布了头条文章：《后期走势精准预判：德展健康 隆平高科 双鹭药业 天邦股份》$德展健康 sz000813$ $隆平高科 sz000998$ $双鹭药业 sz002038$ $天邦股份 sz002124$ #微博股票# |后期走势精...', '2018-07-11 22:10:52')
('个股利空：平庄能源、*ST三维、*ST皇台中报预亏；锦龙股份、银宝山新、华联控股、齐峰新材、江龙船艇、华意压缩、渝开发、创新股份、孚日股份、雪人股份、天孚通信中报预降；江泉实业终止重组事项；盛运环保大股东部分质押股票跌破平仓线；天邦股份股东减持；荣泰健康、云南旅游、塔牌集团、新天药业、 ...展开全文c', '2018-07-11 21:21:45')
('7.12【增减持】广东鸿图：获控股股东增持1%股份塔牌集团：徐永寿拟减持公司1%股权兖州煤业：控股股东及一致行动人增持近9800万股H股股份 ...展开全文c', '2018-07-11 20:51:52')
('梦网集团 天邦股份 湘潭电化 银轮股份 南极电商 露天煤业 股海大咖的...', '2018-07-11 10:25:12')
('上海一女博士看破股市：内盘外盘口诀，过了今晚永久删除，值得珍 $中工国际 sz002051$ $金杯汽车 sh600609$ $天邦股份 sz002124$ $交运股份 sh600676$ 欧欧欧哈的...', '2018-07-11 10:06:36')
('塔牌集团：徐永寿拟减持公司1%股权天邦股份：实控人因认购的信托计划不得续期而被动减持荣泰健康：股东及高管拟合计减持不超10.43%股份', '2018-07-11 09:09:13')
('【天邦股份：实控人持股被动减持977万股】因天邦股份实际控制人张邦辉认购的资管计划“陕国投·聚宝盆3号证券投资集合资金信托计划”到期且不得续期，陕国投·聚宝盆3号证券投资集合资金信托计划于2018年7月10日通过大宗交易系统减持完其持有的公司股票，减持股份共计9,775,980股，占总股本的0.84%，减持 ...展开全文c', '2018-07-11 08:18:03')
('实时播报：天邦股份：控股股东被动减持通过资管计划持有公司股份，减持股份占公司总股本的比例为0.84%。', '2018-07-11 05:11:23')
('发布了头条文章：《七月份行情走势已定：安纳达 建新矿业 宁波中百 天邦股份》$安纳达 sz002136$ $建新矿业 sz000688$ $宁波中百 sh600857$ $天邦股份 sz002124$ #上证快讯# |七月份行情...', '2018-07-11 03:34:58')
('万一股票出现“钓鱼线”形态，毫不犹豫清仓，否则深度套牢 $石基信息 sz002153$ $维尔利 sz300190$ $恒天海龙 sz000677$ $天邦股份 sz002124$ 李域悟看盘...', '2018-07-10 03:44:38')
('中国芯片第一龙头股横空出世，神秘巨资疯狂抢筹，碾压京东方A $中国电建 sh601669$ $开立医疗 sz300633$ $天邦股份 sz002124$ $长久物流 sh603569$ 李小麦同学...', '2018-07-09 10:05:45')
('最有可能成妖股？形态百里挑一，OBV人气新高后MACD又二次金叉 $奥联电子 sz300585$ $天邦股份 sz002124$ $中路股份 sh600818$ $深天马A sz000050$ 爛Gag澔革...', '2018-07-08 09:40:39')
('发布了头条文章：《002124天邦股份：主力资金强势入场,游资纷纷抢筹!》 #财经头条文章# #股市~a股~大盘~股票# #天邦股份 sz002124[股票]# |002124天邦...', '2018-07-06 02:42:48')
('行情暴跌个股筹码已经出现了异常，盲目没有方向，不知道是出是留?投资股票可以加wei信：371540346，指导最佳买卖点和解套方法，为你指点迷津，腾达建设(sh600512) 栖霞建设(sh600533) 天邦股份(sz002124) 皖江物流(sh600575) 山煤国际(sh600546) 金陵饭店(sh601007)', '2018-07-06 01:44:48')
('股市唯一不“骗人”的指标——“均线”，句句经典，建议散户收藏 $思美传媒 sz002712$ $天邦股份 sz002124$ $全新好 sz000007$ $电魂网络 sh603258$ 李域悟看盘...', '2018-07-05 03:01:18')
('益阳女博士坦白：新股最佳申购时间点，打新股百发百中，值得珍藏 $甘肃电投 sz000791$ $天邦股份 sz002124$ $上柴股份 sh600841$ $*ST凯迪 sz000939$ QueenieL的...', '2018-07-05 01:26:33')
('研报精选1、钢铁业绩大涨关注煤炭平煤股份、开滦股份2、药用玻璃关注山东药玻3、钴关注华友钴业、寒锐钴业 ...展开全文c', '2018-07-04 13:03:25')
('$天邦股份 sz002124$ 出预告了，还是盈利的，出售厂房收益未计入本期利润。销售情况简报也写得比较详细。逢低继续买入。', '2018-07-04 07:24:01')
('股票一旦出现“线上阴线”试盘形态，必是大牛股，成功率百分百 $麦趣尔 sz002719$ $特发信息 sz000070$ $江苏雷利 sz300660$ $天邦股份 sz002124$ 李小麦同学...', '2018-07-03 21:44:35')
('A股20年一直盈利的唯一技法——“周线选股”，建议花3分钟看完 $海航投资 sz000616$ $东信B股 sh900941$ $天邦股份 sz002124$ $赛托生物 sz300583$ 李域悟看盘...', '2018-07-03 10:02:26')
('【陈炳荣主任带队到余姚调研】为落实“大学习大调研大抓落实”行动，6月29日，陈炳荣主任带队到余姚市调研企业，先后实地调研考察了宁波天邦股份有限公司、甬矽电子（宁波）股份有限公司、宁波王龙科技股份有限公司等企业，并与企业负责人座谈交流。网页链接', '2018-07-02 08:24:23')
('利好消息科陆电子 天马股份 梦网集团 天邦股份 天赐财金的...', '2018-07-01 07:39:33')
('发布了头条文章：《年度金妖席卷A股涨停潮？002124天邦股份+300495美尚生态》 $天邦股份 sz002124$ $美尚生态 sz300495$ #个股推荐与走势分析# #热门股票# #短线牛股# |年度金妖席...', '2018-07-01 03:14:00')
('发布了头条文章：《A股涨停潮7月大爆发：002124天邦股份+002584西陇科学》 $天邦股份 sz002124$ $西陇科学 sz002584$ $上证指数 sh000001$ #股票分析# #短线牛股# #财经趣闻# |A股涨停潮7...', '2018-06-30 02:52:23')
('A股史上无所不能的“均线”法则，字字千金，值得散户珍藏28年 $天邦股份 sz002124$ $益佰制药 sh600594$ $奥普光电 sz002338$ $华菱星马 sh600375$ 欧欧欧哈的...', '2018-06-29 23:07:22')
('股票一旦出现“线上阴线”试盘形态，必是大牛股，成功率百分百 $振芯科技 sz300101$ $天邦股份 sz002124$ $XD宝泰隆 sh601011$ $友讯达 sz300514$ 我的小蜗牛...', '2018-06-28 22:30:29')
('次新第一龙头86跌至5元，股东增持8700万股，18年将超京东方A $天邦股份 sz002124$ $和仁科技 sz300550$ $纳尔股份 sz002825$ $精功科技 sz002006$ 我的小蜗牛...', '2018-06-27 19:23:52')
('股市唯一可信的获利战法——跳空双连阴，句句经典，建议散户收藏 $天邦股份 sz002124$ $贵航股份 sh600523$ $博士眼镜 sz300622$ $会稽山 sh601579$ 欧欧欧哈的...', '2018-06-27 15:46:26')
('万一股票出现“集合竞价”试盘，必是大牛股，千万别急着卖出！ $牧高笛 sh603908$ $印纪传媒 sz002143$ $大豪科技 sh603025$ $天邦股份 sz002124$ 我的小蜗牛...', '2018-06-26 13:30:03')
('发布了头条文章：《重磅消息：天邦股份+厦工股份+阳泉煤业，本周操作策略解读》 $天邦股份 sz002124$ +$厦工股份 sh600815$ +$阳泉煤业 sh600348$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |重磅消息：...', '2018-06-26 06:45:33')
('股市唯一不骗人的“换手率”黄金口诀，一旦学会，可实现百亿梦想$佳都科技 sh600728$ $千禾味业 sh603027$ $天邦股份 sz002124$ $卓翼科技 sz002369$ 论A股堂的...', '2018-06-21 23:13:12')
('预知后市如何.可以加wei信：371540346,指导买卖点和解套技术，总有方法为你指点迷津，腾达建设(sh600512) 栖霞建设(sh600533) 天邦股份(sz002124) 皖江物流(sh600575) 山煤国际(sh600546) 金陵饭店(sh601007)', '2018-06-21 22:46:01')
('亚星化学、力帆股份、华夏幸福、司尔特、神州泰岳、楚天科技、万顺股份股东增持；泛海控股、金财互联、金智科技、帝龙文化、濮阳惠成、富森美、兴民智通、华铁股份、法尔胜、瑞丰光电、深圳惠程、中信国安、奥飞娱乐、中新科技、传化智联、亚士创能、数码科技、塞力斯、天和防务、天邦股份、新筑股份、 ...展开全文c', '2018-06-21 21:06:11')
('#微博股票# #新浪财经# 晚间利好公告一览：顺网科技：上半年净利预增20%-40%天邦股份：210位核心员工增持超210万股帝龙文化：董事长拟增持不低于1亿元 增持价不高于10元/股西陇科学：拟引入战略投资者事项正积极推进中吉翔股份：上半年净利预增179%至311%盛通股份：拟使用不超过1.5亿元回购股份 ...展开全文c', '2018-06-21 08:29:46')
('利好消息：天马股份 梦网集团 天邦股份 刘庆谈财的...', '2018-06-20 05:16:02')
('$天邦股份 sz002124$ ：由公司高管及核心员工增持了约28万股的公司股票', '2018-06-19 21:29:49')
('三房巷：控股股东的一致行动人拟增持金额不低于2000万元，不高于1亿元柏堡龙：公司拟溢价回购不超过 2亿元（含）且不低于1亿元（含）旷达科技：公司拟溢价回购不超过3亿元(含)，且不低于5000万元(含)天邦股份：由公司高管及核心员工增持了约28万股的公司股票广信材料：由公司董事长李有明的妻子曾 ...展开全文c', '2018-06-19 21:15:12')
('发布了头条文章：《节后抄底A股策略：东旭光电 恒逸石化 天邦股份 南极电商》 |节后抄底A...', '2018-06-19 05:09:39')
('发布了头条文章：《601566 九牧王：不做标题党，谈论今日股票！》\ue627 财经头条文章 \ue627 股票分析 $九牧王 sh601566$ $天邦股份 sz002124$ |601566 九...', '2018-06-19 02:42:59')
('发布了头条文章：《A股六月何去何从？东旭光电 恒逸石化 天邦股份 南极电商》$东旭光电 sz000413$ $恒逸石化 sz000703$ $天邦股份 sz002124$ $南极电商 sz002127$ \ue627 股票 #上证快讯# |A股六月何...', '2018-06-18 22:54:57')
('$宝德股份 sz300023$ $合金投资 sz000633$ $天邦股份 sz002124$ $汉邦高科 sz300449$ 瞬间闪崩。。。远离哦', '2018-06-18 22:35:08')
('通威股份 天邦股份 神农基因 圣农发展 小伊看盘的...', '2018-06-15 23:13:57')
('世界杯来啦，|今晚23点俄... ，你支持哪个球队？天邦股份的龟丞相和虾将军也来凑热闹，他们都说沙特阿拉伯能够赢得开门红，你们认为呢 拾分味道美...', '2018-06-14 10:35:59')
('发布了头条文章：《利好消息：科陆电子 天马股份 梦网集团 天邦股份》 |利好消息...', '2018-06-14 02:28:24')
('猪+鸡都处于历史底部，随后猪鸡将在下半年迎来触底反弹，“鸡猪升天”的局面预计在19年，高潮在20年。强周期的消费股机会值得珍惜。$正邦科技 sz002157$ $华英农业 sz002321$ $天邦股份 sz002124$ 等类有望跨上周期的快车。肉禽价格一旦超越枯荣线，其反弹力度有时候连行业专家都害怕。', '2018-06-12 07:02:42')
('老股民从未亏损的秘诀：一旦发现有主力在暗中吸筹，买入从不吃亏$天邦股份 sz002124$ $智飞生物 sz300122$ $宁波中百 sh600857$ $安彩高科 sh600207$ $天邑股份 sz300504$ 马旷盈的秒...', '2018-06-12 03:49:44')
('无锡一75岁老股民仅用“换手率”选股盈利30年，句句经典，珍藏了$华帝股份 sz002035$苏宁易购 sz002024$恒瑞医药 sh600276$天邦股份 sz002124$智飞生物 sz300122$宁波中百 sh600857$安彩高科 sh600207$天邑股份 sz300504$建新股份 sz300107$必创科技 sz300667$ 论A股堂的...', '2018-06-10 02:20:19')
('$温氏股份 sz300498$ 5月，公司销售商品肉猪181.52万头，收入21.94亿元，销售均价10.37元/公斤，环比分别变动-6.61%、-5.63%、3.6%。$天邦股份 sz002124$ 5月份，公司销售商品猪15.36万头，销售收入1.83亿元，销售均价10.03元/公斤，环比分别变动4.28%、0.84%、0.2%。评：判断行业反转需要冒风险。', '2018-06-05 00:10:34')
('$天邦股份 sz002124$ （002124）：5月商品猪销售收入及均价环比微增', '2018-06-04 21:07:46')
('天邦股份 湘潭电化 银轮股份 南极电商 股海大咖的...', '2018-06-04 05:55:15')
('猪周期，目前猪肉价格已经在历史低位。猪类资产应该值得长期关注。预计2019年到2020年猪会有一个大幅反转，猪类企业将会获得很好的双轮催动。关注：$温氏股份 sz300498$ $正邦科技 sz002157$ $天邦股份 sz002124$ 等。其中$正邦科技 sz002157$ 股东已经在去年以及今年年初持续增持。后市看高。', '2018-06-03 22:31:32')
('1.$天邦股份 sz002124$ 量增本降现拐点，成长属性加速凸显2.$劲胜智能 sz300083$ 行中国“智造”之路，享3C创新红利3.$先导智能 sz300450$ 行业景气向上，锂电设备龙头延续高成长\ue627 每日一股 #全民赛实盘# #博股识鑫#', '2018-06-03 21:38:07')
('发布了头条文章：《北纬科技 安纳达 沃尔核材 天邦股份：这是大牛刚脱缰的节奏吗？ 》 $北纬科技 sz002148$ $安纳达 sz002136$ $沃尔核材 sz002130$ $天邦股份 sz002124$ $上证指数 sh000001$ |北纬科技 ...', '2018-06-02 09:05:01')
('#天邦股份 sz002124[股票]# 短期下跌，目前指标偏空，这几日连续上影，有向下回踩5.9元附近支撑迹象，短期建议减仓，剩余支撑之上可持有。', '2018-06-01 00:54:45')
('#天邦股份 sz002124[股票]#这个票的趋势走势不是很好，目前在高位出现了乏力的迹象，这波的反弹也没有突破前高，说明前高位置的压力较大，为了资金的安全，建议规避为主', '2018-05-31 23:58:51')
('$天邦股份 sz002124$ 量增本降现拐点 成长属性加速凸显1、技术、管理齐发力，成本控制卓有成效。2、养殖资源积累丰富，产能进入快速释放期。3、因猪价处于下行周期，下调18-19年EPS预测至0.46、0.72元（前次预测0.81、0.96元），参考可比公司估值，并考虑到公司未来成长性，给予18年26倍PE，维持目 ...展开全文c', '2018-05-30 22:03:43')
('#投资达人说# #今日看盘# @微博股票 $片仔癀 sh600436$ $乐视网 sz300104$ 复牌个股：信达地产、智慧松德、道森股份、沃施股份、超频三。股权登记：赛意信息、安车检测、超频三、永利股份、中富通、民盛金科、北方国际、天邦股份、诺力股份、银泰资源、基蛋生物、东方材料 ...展开全文c', '2018-05-30 20:29:18')
('发布了头条文章：《聚光科技+如意集团+天邦股份： 调整基本到位，短期再度迎来反弹！》 #聚光科技 sz300203[股票]# #如意集团 sz002193[股票]# #天邦股份 sz002124[股票]# \ue627 财经头条文章 #微博股票热议榜# |聚光科技+...', '2018-05-29 23:06:15')
('#股海鲨鱼十强赛# 下周参赛股：天邦股份、华发股份 @林森的微博世界 @张国庆看天下', '2018-05-27 09:58:45')
('发布了头条文章：《下周或有大动作：亚宝药业 天邦股份 黄山胶囊 集泰股份》 $亚宝药业 sh600351$ $天邦股份 sz002124$ $黄山胶囊 sz002817$ $集泰股份 sz002909$ \ue627 股票分析 \ue627 微博股票 #个股专业点评# #头条文章# |下周或有大...', '2018-05-27 03:01:52')
('发布了头条文章：《【002124天邦股份】：重磅消息流出,意图明显已经曝光》 #a股~股市~股票~大盘~指数# #股市~a股~大盘~股票# #天邦股份 sz002124[股票]# |【002124天...', '2018-05-25 04:40:11')
('发布了头条文章：《常青股份+川环科技+天邦股份：最新后期走势揭秘》\ue627 股票 #新浪股吧# #新浪看点# \ue627 头条文章 \ue627 上证指数 $常青股份 sh603768$ +$川环科技 sz300547$ +$天邦股份 sz002124$ |常青股份+...', '2018-05-25 02:42:30')
('发布了头条文章：《道森股份 +天邦股份+景峰医药,后期精准走势剖析》$道森股份 sh603800$天邦股份 sz002124$ $景峰医药 sz000908$ |道森股份 +...', '2018-05-25 02:13:57')
('生猪 价格出现加速反弹、产能周期拐点值得期待。相关个股： 002124 天邦股份， 002157 正邦科技等。... 网页链接', '2018-05-24 20:44:18')
('三大报内参1、港珠澳大桥通车在即 首批巴士下月运营珠海港、金龙汽车2、猪价连涨不停 行业龙头显著受益正邦科技、天邦股份 ...展开全文c', '2018-05-24 03:44:42')
('关注生猪概念相关个股：$双汇发展 sz000895$天邦股份 sz002124$龙大肉食 sz002726$温氏股份 sz300498$', '2018-05-23 21:15:02')
('猪价连涨不停，生猪春节后连续快速下跌，一路狂跌到近八年来的最低点，大部分养殖户和养殖企业已亏损，猪场挺价意愿强烈。生猪也向上脱离大半个月震荡平台，反弹趋势渐显。行业龙头显著受益猪肉概念股：正邦科技（002157）、天邦股份（002124）、雏鹰农牧（002477）、牧原股份（002714）、龙大肉食、 ...展开全文c', '2018-05-23 21:02:59')
('发布了头条文章：《002124天邦股份：意外惊喜要重演 这回不怕买错卖错》 #股市~a股~大盘~股票# #财经头条文章##天邦股份 sz002124[股票]# |002124天邦...', '2018-05-22 22:31:28')
('发布了头条文章：《【散户专享】猪周期的当前逻辑；天邦股份、中新赛克深度报告》 |【散户专享...', '2018-05-22 09:24:58')
('发布了头条文章：《最新消息出炉：世纪天鸿 汇冠股份 天邦股份 恒源煤电》 $世纪天鸿 sz300654$ $汇冠股份 sz300282$ $天邦股份 sz002124$ $恒源煤电 sh600971$ #个股专业点评# #头条文章# #微博股票# #股票分析# |最新消息出...', '2018-05-19 23:40:15')
('股市操盘实录：14.2全部卖出贵州百灵，9.18满仓买入002124天邦股份！', '2018-05-17 01:44:06')
('猪价年内底部或确立，当前猪价10.2元/公斤，已跌破上轮周期低点，行业风险释放充分；近日猪价出现企稳态势，最新报价较本轮低点上涨2.3%，市场人士预计月底将迎来猪价强反弹，幅度或在30%以上，专家认为预期存在上修空间。建议重点参与具有成本优势的行业龙头牧原股份、正邦科技、天邦股份；正 ...展开全文c', '2018-05-13 21:13:33')
('#今日看盘# 生猪养殖：猪价反弹在即 布局正当时建议重点参与具有成本优势的行业龙头牧原股份（002714）、正邦科技（002157）、天邦股份（002124）。 网页链接', '2018-05-13 20:40:32')
('前几天，天邦股份从余姚跑到260公里外的淳安县，做了一次大买卖。这笔在千岛湖边做成的买卖是这样的：天邦股份花1.15亿元从外国人威廉姆手里，买下所持鲟龙科技的股权，成为第一大股东。鲟龙科技是养鲟鱼的，汉莎航空和欧洲多家米其林餐厅都用它的鱼子酱产品。天邦股份专给鲟龙科技供应饲料多年， ...展开全文c', '2018-05-08 22:59:10')
('#天邦股份 sz002124[股票]# 短期该股企稳反弹，企稳8.4附近可以补仓做差价，但该股近期并不贴合热点，需要注意设置好止盈止损。', '2018-05-08 20:47:18')
('【午间公告】1.神雾节能：子公司江苏院出现流动性困难，信托借款逾期2161万元；2.天圣制药：被有关部门告知，公司总经理被有关部门留置，暂时无法履行相关职责；3.中飞股份：高新投资减持70万股，占总股本0.77%； ...展开全文c', '2018-05-07 01:19:51')
('发布了头条文章：《一场资本阴谋游戏开始：万向钱潮 欧普照明 天邦股份 浩丰科技》 $万向钱潮 sz000559$ $欧普照明 sh603515$ $天邦股份 sz002124$ $浩丰科技 sz300419$ #捕捉短线牛股# |一场资本阴...', '2018-05-06 10:05:45')
('发布了头条文章：《A股本周走势预测：美邦服饰+世联行+天邦股份》 |A股本周走...', '2018-05-04 03:14:22')
('#海归看盘# #每日股市分析#【盘中指南】上证指数下午震荡探底向上走势，创业板快指则窄幅震荡上涨趋势，板块方面，证券、供气供热、元器件、电脑设备、通信设备、石油、电信运营等涨幅居前，热点方面，小米概念拉升，奋达科技涨停；养殖概念股走强，民和股份、天邦股份、益生股份、仙坛股份、圣农发 ...展开全文c', '2018-05-03 02:21:20')
('养殖概念股走强。民和股份、天邦股份、益生股份、仙坛股份、圣农发展等个股纷纷走强。', '2018-05-02 22:16:02')
('#天邦股份 sz002124[股票]# 近期趋势不理想，关注反弹力度，反弹无力择机撤退为主，压力看20日线附近', '2018-05-02 20:37:45')
('发布了头条文章：《揭秘本周诡异走势：紫光股份 我武生物 天邦股份 华域汽车》 |揭秘本周诡...', '2018-05-02 07:32:27')
('发布了头条文章：《节后罕见重大消息：方大炭素+比亚迪+机器人+天邦股份 》 |节后罕见重...', '2018-05-02 01:58:14')
('公告集锦【个股淘金】方大炭素（600516）一季度净利18.94亿元，同比增长25倍。世荣兆业（002016）一季度净利为4.06亿元，同比增长超40倍，养老金组合现身十大股东名单。航天科技（000901）拟10转5股。天邦股份（002124）拟10转5派1元。浙江永强（002489）实控人拟6个月内增持1亿元-1.5亿元。目前 ...展开全文c', '2018-05-01 21:18:34')
('【公告淘金】★世荣兆业：一季度净利为4.06亿元，同比增长超40倍；★钱江摩托：拟31.8亿元投建锂离子动力与储能电池项目；★新和成 ：半年度预增280%至330%；★万孚生物：年报拟10转增8股派5元；★天邦股份：年报拟10转5派1元；★航天科技：年报拟10转5股；', '2018-05-01 21:09:03')
('#投资达人说# #今日看盘# @微博股票 $格力电器 sz000651$ $中兴通讯 sz000063$ 个股信息，利好：万孚生物年报拟10转8派5；天邦股份年报拟10转5派1；航天科技、民盛金科年报拟10转5；华达科技年报拟10转4派6.8；立霸股份年报拟10转4派4.5；格尔软件年报拟10转4派4；老白干酒年报拟10 ...展开全文c', '2018-05-01 20:39:46')
('高送转万孚生物（300482）：年报拟10转8派5元公司2017年实现营业收入1,145,484,483.07元，同比增长109.28%；实现归属于上市公司股东的净利润210,695,013.23元，同比增长45.32%；基本每股收益1.20元/股。年报拟10转8派5元。天邦股份（002124）：年报拟10转5派1元公司2017年实现营业收入3,061,060,63 ...展开全文c', '2018-05-01 19:27:12')
('发布了头条文章：《五一后市主力惊天揭秘：国新能源 富控互动 彩讯股份 天邦股份》 $国新能源 sh600617$ $富控互动 sh600634$ $彩讯股份 sz300634$ $天邦股份 sz002124$ #上证快讯# |五一后市主...', '2018-04-27 23:49:19')
('发布了头条文章：《A股节后利好爆出：天邦股份+五矿资本+卫宁健康+航天科技》 |A股节后利...', '2018-04-27 23:29:23')
('4月27日晚间重要公告集锦04-27 21:02天邦股份年报拟10转5派1元04-27 20:37兆易创新一季度净利增长29%04-27 20:28美的集团一季度净利增长两成04-27 20:23万业企业年报净利增136% 拟10派6.33元04-27 20:18至正股份股东安益大通拟减持不超6%股份 ...展开全文c', '2018-04-27 09:20:33')
('发布了头条文章：《主力惊天阴谋揭露：天邦股份+通润装备+智光电气+歌尔股份》 $天邦股份 sz002124$ $通润装备 sz002150$ $智光电气 sz002169$ $歌尔股份 sz002241$ #大盘# |主力惊天阴...', '2018-04-27 03:51:49')
('发布了头条文章：《天邦股份（002124）：主力惨淡低迷，后期必定这样走！》 $天邦股份 sz002124$ #股票分析# #财经头条# |天邦股份（...', '2018-04-25 23:43:32')
('发布了头条文章：《天邦股份（002124）：主力意图之深，散户该何去何从》 $天邦股份 sz002124$ #股票分析# #财经头条# |天邦股份（...', '2018-04-25 06:01:54')
('最新利好消息下：新五丰、天邦股份 猪肉概念股后期走势已定局 非妍看盘的...', '2018-04-24 04:59:27')
('发布了头条文章：《天邦股份（002124）： 反弹即将开始，掌握这个时机！》 $天邦股份 sz002124$ #股票分析# #财经头条# |天邦股份（...', '2018-04-24 03:29:45')
('发布了头条文章：《下周主力阴谋揭发：吉电股份 新野纺织 天邦股份 楚江新材》 |下周主力阴...', '2018-04-20 04:13:30')
