('A股历史上的底部：股价底，经济底，估值底 那个先来？$跃岭股份 sz002725$$保利地产 sh600048$$海南瑞泽 sz002596$ 杨超分析的...', '2018-07-24 08:29:18')
('#5G#5G板块内依然涌现出不少涨停股。中兴通讯、飞荣达、美格智能、纵横通信、沃特股份、奥维通信等近10只概念股涨停，长江通信、风华高科、跃岭股份均暴涨7%以上，盛路通信、移为通信、欣天科技、和而泰等个股亦有不同程度的大涨。从消息面来看，美国商务部发布公告称，中兴已缴纳14亿美元罚款的最后 ...展开全文c', '2018-07-16 09:34:18')
('$奥维通信 sz002231$ $彤程新材 sh603650$$中核科技 sz000777$ $跃岭股份 sz002725$大盘跌了好像对大家影响不是很大。希望你今天吃了两个板', '2018-07-16 07:03:19')
('周一下午:国产芯片第一过气龙头，突遭机构4亿抢筹，散户的春天来了！$唐德影视 sz300426$$口子窖 sh603589$$跃岭股份 sz002725$ 古泽选股的...', '2018-07-16 06:01:03')
('$跃岭股份 sz002725$ 除了要买得好还要卖得好才行 |绵阳·三医...', '2018-07-16 05:21:38')
('明日股池:今天股池还算表现一般，没有很惨的，一半都有收红，跃岭股份也一度冲板！牛逼的是之前的中线股池！近期很多新高并且收板，安井食品新高收板！还二些表现非常强，恒顺醋业天天涨！大家要关注中线，又稳又安全，比如海普今天低点就是非常好的买点，我又搞了点！短线:会畅通讯！必创科技！翔 ...展开全文c', '2018-07-16 03:47:17')
('发布了头条文章：《本周A股走势分析：跃岭股份+日海智能+北方导航》 $跃岭股份 sz002725$ $日海智能 sz002313$ $北方导航 sh600435$ #股票分析# |本周A股走...', '2018-07-16 03:21:22')
('明天开始关注跃岭股份宣亚国际宁波东力英力特，另外英可瑞也可以逢低关注！', '2018-07-16 03:13:14')
('截止目前为止，客户一只票收益16个点，获利三万多，还在继续加大收益中。下一只跃岭股份要跟上操作的朋友抓紧时间了，名额已经不多。', '2018-07-16 02:46:28')
('漂亮，我们周五推荐 跃岭股份 午后强势拉升涨停，看看能不能封死。目前8个点多。恭喜跟上的朋友。#原创首发# #今日看盘# #投资达人说# @微博股票 $华谊兄弟 sz300027$', '2018-07-16 02:12:40')
('珀莱雅 这只上周我们也有作分析今天继续拉升大涨，而早在上月初我们也重点强调推荐过该股机会的，有抓住该股机会的朋友应该收获不小了，另外，昭衍新药 作为防御性医药个股，又是次新， 反弹也将突破前期高位了，短线继续看好， 跃岭股份 今天也表现强势，直线拉升涨停了，森霸传感，永创智能 等 ...展开全文c', '2018-07-16 02:09:52')
('发布了头条文章：《安顺论股：金龙羽+地素时尚+跃岭股份+伯特利》 $金龙羽 sz002882$ $上证指数 sh000001$ \ue627 股票 #今日看盘# |安顺论股：...', '2018-07-15 22:58:49')
('5G,5G,5G，重要的事情说三遍，欣天科技，跃岭股份等。$上证指数 sh000001$', '2018-07-15 22:43:59')
('中兴通讯涨停带动大批5G通信网络题材活跃，（002725）跃岭股份，敢死队越战越勇，真金不怕火炼，盘口资金面不断流入随时暴发！', '2018-07-15 21:16:52')
('发布了头条文章：《轻大盘重个股是主基调》 |轻大盘重个...', '2018-07-15 22:41:28')
('芯片概念异动拉升。截至发稿，雅克科技(sz002409)、中兴通讯(sz000063)、万盛股份(sh603010)、富满电子(sz300671)、友讯达(sz300514)、澳洋顺昌(sz002245)、亚光科技(sz300123)、跃岭股份(sz002725)等个股集体走强。点评：芯片和5G都是热点。。短线。', '2018-07-15 22:26:04')
('\ue627 大盘 芯片概念异动拉升。雅克科技、中兴通讯、万盛股份、富满电子、友讯达、澳洋顺昌、亚光科技、跃岭股份等个股集体走强。', '2018-07-15 22:11:46')
('最新快讯：【芯片概念异动拉升】芯片概念异动拉升。截至发稿，雅克科技、中兴通讯、万盛股份、富满电子、友讯达、澳洋顺昌、亚光科技、跃岭股份等个股集体走强。【煤炭板块早盘走强】煤炭板块早盘走强。截至发稿，大同煤业大涨5%，山煤国际、新集能源、陕西煤业、恒源煤电、兖州煤业、山西焦化等个 ...展开全文c', '2018-07-15 22:09:00')
('上海一女博士说破股市：内盘外盘黄金口诀，背熟5句实现千万梦想 $猛狮科技 sz002684$ $跃岭股份 sz002725$ $二六三 sz002467$ $农发种业 sh600313$ 3305079245...', '2018-07-15 09:06:30')
('下周提示股2只可立克002782 相对安全永和智控 002795 操作上注意两点：一是下周一只有在上涨中才可考虑介入；二是若下调不要破下方均线。另，原提示股中，天华超净已大涨。跃岭股份、嘉诚国际、新余国科、山鼎设计、伯特立等均可上涨。', '2018-07-15 04:14:03')
('炒股高手常用的“跟庄技巧”，屡试不爽，跟庄吃肉学会这一招就够了！ $跃岭股份 sz002725$ $欧浦智网 sz002711$ $蓝海华腾 sz300484$ 财经妖王的...', '2018-07-15 01:40:48')
('周末利好：中国股市空头受到严厉制裁，散户春天或将来临$沃特股份 sz002886$$跃岭股份 sz002725$$保利地产 sh600048$ 古泽选股的...', '2018-07-14 23:27:10')
('发布了头条文章：《文轩论股：西陇科学+隆盛科技+跃岭股份+鼎信通讯》$西陇科学 sz002584$ $上证指数 sh000001$ \ue627 股票分析 \ue627 股票 |文轩论股：...', '2018-07-14 22:40:08')
('$跃岭股份 sz002725$回調過後上漲。可以建半仓.高抛低吸。 |北京·来广...', '2018-07-13 23:13:10')
('下周股池:预判大盘下周一还是振荡为主！各大利空短期基本出尽！可稍积极玩下个股！但不可重仓！不追高不打板！以低吸为主！行情虽然很差，但近期出了不少牛股，像风华高科，天天看他新高！就是没动力！部分化工，生物医药！白酒食品，强者恒强吖！短线:华自科技！跃岭股份！路畅科技！麦达数字！...展开全文c', '2018-07-13 22:25:44')
('17岁股市奇才曝：股市“量比选股”，字字珠玑,背熟6句可实现千万$鹏鹞环保 sz300664$ $世名科技 sz300522$ $跃岭股份 sz002725$ $远望谷 sz002161$ 汪振峯1983...', '2018-07-13 03:58:39')
('就刚刚14.58分，股市公布紧急红色预警，大跌只为带给股民惊天转机$唐德影视 sz300426$$口子窖 sh603589$$跃岭股份 sz002725$ 古泽选股的...', '2018-07-13 03:36:32')
('今日精选：002725 跃岭股份（次新 芯片 填权 5G，前期走出了一波上涨行情，短线下跌空间有限，趋势有重新走强的迹象，适合回档后低吸介入）#新浪财经# #牛股推荐# #原创首发# @微博股票 $华谊兄弟 sz300027$', '2018-07-12 23:53:01')
('#华谊兄弟 sz300027[股票]# 漂亮，早盘推荐的002725(跃岭股份)低开高走，强势拉升，恭喜进入的朋友们，我们继续关注！#上证指数 sh000001[股票]# \ue627 今日看盘', '2018-07-12 22:20:52')
('下周一在开始买新票，昨天$跃岭股份 sz002725$ 已经出货！！！', '2018-07-12 21:02:10')
('中国芯片第一龙头沉睡2年，报预增740%现金叉，即将一飞冲天！ $跃岭股份 sz002725$ $欧浦智网 sz002711$ $蓝海华腾 sz300484$ 财经妖王的...', '2018-07-12 20:27:34')
('发布了头条文章：《跃岭股份002725多头行情中，并且有加速上涨趋势，着急啊？》 #跃岭股份 sz002725[股票]# #财经头条文章# #微博股票热议榜# |跃岭股份00...', '2018-07-12 05:06:51')
('中国股市突发特大利好，双喜临门，下周给散户发喜糖了$沃特股份 sz002886$$跃岭股份 sz002725$ $保利地产 sh600048$ 杨超分析的...', '2018-07-12 03:47:50')
('就在刚刚，昔日水泥王者强势回归，本周最大的赚钱机会原来在这个版块上！$沃特股份 sz002886$$跃岭股份 sz002725$$保利地产 sh600048$ 古泽选股的...', '2018-07-12 01:22:32')
('#跃岭股份 sz002725[股票]# 跃岭股份这个股票目前整体形态比较难看，高位套住了不少人，现在价跌量缩，轻易不会给人去解套的，有冲高建议离场的好', '2018-07-11 22:14:57')
('中国股市第一支“独角兽”药明康德火爆来袭！你准备好了吗？ $跃岭股份 sz002725$ $欧浦智网 sz002711$ $蓝海华腾 sz300484$ 财经妖王的...', '2018-07-11 20:36:54')
('福达合金：最“无辜”小散！看见五个涨停板急忙进入，开盘之后也是一脸懵$唐德影视 sz300426$$口子窖 sh603589$$跃岭股份 sz002725$ 郭老师看盘...', '2018-07-11 07:52:37')
('$跃岭股份 sz002725$ 今天调整最后一天，目前来看已经进入磨底阶段，支撑在10.10，压力在11.37位置，场内被套的可以继续持有，场外的想要参与的轻仓，等正式站稳11.46打开空间再去考虑，股性不错，业绩一般，概念一般持有', '2018-07-11 07:31:16')
('\ue627 微博股票 \ue627 新浪财经 四板最好的智动力，今天盘面不好，所以除权跟风不明显，但是我觉得还是可以考虑潜伏的，前期活跃过的友讯达，跃岭股份等都可以考虑。二板绿色动力这边，彤成新材也可以看看，$九典制药 sz300705$ 这个代表是妖股，$华森制药 sz002907$ ，$盘龙药业 sz002864$ 也都可 ...展开全文c', '2018-07-11 03:00:28')
('行情暴跌个股筹码已经出现了异常，不知道是出是留?投资股票可以加wei信：wangshi5202010，指导最佳买卖点和解套方法，总可以为你指点迷津，安硕信息(sz300380) 友邦吊顶(sz002718) 东方通(sz300379) 斯莱克(sz300382) 宏良股份(sz002720) 跃岭股份(sz002725)', '2018-07-10 08:11:13')
('一旦文件被高层签字，白酒行业惨遭血洗：口子窖 酒鬼酒 老白干酒 $跃岭股份 sz002725$ $欧浦智网 sz002711$ $蓝海华腾 sz300484$ 财经妖王的...', '2018-07-10 02:11:17')
('医药龙头突现利好，遭主力抢筹，目标价75$拓日新能 sz002218$跃岭股份 sz002725$宏创控股 sz002379$奥维通信 sz002231$$凯发电气 sz300407$金力泰 sz300225$视源股份 sz002841$美好置业 sz000667$通化金马 sz000766$龙建股份 sh600853$华联综超 sh600361$ 风晓解股的...', '2018-07-09 10:51:45')
('预知后市是出是留，盲目没有方向的来，指点后市如何操做。安硕信息(sz300380) 友邦吊顶(sz002718) 东方通(sz300379) 斯莱克(sz300382) 宏良股份(sz002720) 跃岭股份(sz002725) 静心静唔的...', '2018-07-09 04:57:29')
('医药龙头突现利好，遭主力抢筹，目标价75$拓日新能 sz002218$跃岭股份 sz002725$宏创控股 sz002379$奥维通信 sz002231$ 风晓解股的...', '2018-07-09 02:16:40')
('大弯区第一龙头86跌至5元，股东增持8700万股，18年将超京东方A $中富通 sz300560$ $嘉寓股份 sz300117$ $中大力德 sz002896$ $跃岭股份 sz002725$ 寻找记忆00...', '2018-07-08 13:29:58')
('发布了头条文章：《七月买卖点精准爆出：龙大肉食+跃岭股份+海洋王+金莱特》 $龙大肉食 sz002726$ $跃岭股份 sz002725$ $海洋王 sz002724$ $金莱特 sz002723$ \ue627 股票分析 |七月买卖点...', '2018-07-08 03:42:32')
('股市永不骗人的"换手率"6大黄金口诀，新手背熟将实现千万梦想$鹏鹞环保 sz300664$ $世名科技 sz300522$ $跃岭股份 sz002725$ $远望谷 sz002161$ 汪振峯1983...', '2018-07-08 02:44:09')
('MACD背离准确判断买卖点，一买就上涨,赚钱原来这么简单!$跃岭股份 sz002725$ $安凯客车 sz000868$ $春兴精工 sz002547$ $快意电梯 sz002774$ 胡亦彰的秒...', '2018-07-08 02:05:41')
('发布了头条文章：《跃岭股份002725：一场资本阴谋游戏开始！散户要变韭菜吗？》 $上证指数 sh000001$ $跃岭股份 sz002725$ |跃岭股份00...', '2018-07-07 04:59:16')
('“岭”路人团队介绍“岭”路人团队是中国计量大学光学与电子科技学院学生为响应省委宣传部、团省委、省教育厅联合组织开展的“双百双进”活动组织的一个团队。团队前往浙江温岭的浙江跃岭股份有限公司，与企业职员的子女开展暑期夏令营性质的活动。团队今年刚刚建立，又我校首次前往温岭开展暑期社会 ...展开全文c', '2018-07-07 04:12:21')
('下周活跃超跌反弹股可以看的有嘉诚国际，科创新源，振静股份，南京聚隆，原尚股份，盛弘股份，晓程科技，红宇新材，友讯达，跃岭股份金力泰，可以参考从里边再筛选或者选周一低开幅度大的', '2018-07-06 22:34:36')
('连续涨停再连续下跌，这种股难把握最坑爹，一起来看：发布了头条文章：《这些股电梯上下能看不能玩》@微博股票 @微博股票组合 @新浪证券 @新浪证券 @新浪财经$上证指数 sh000001$ $跃岭股份 sz002725$ $丽鹏股份 sz002374$ $宏达新材 sz002211$ |这些股电梯...', '2018-07-06 03:07:41')
('创业板盘中反弹了３个百分点了，牛逼，这速度比昨天下跌还猛烈，个股这一波基本都被快速拉升带起收复上午失地，此处大家要给老龙多一点掌声，昨日提醒大家注意的反弹急先锋$跃岭股份 sz002725$ 再次的封死涨停板，已经接连两个涨停板，这力度很快就要成妖了。$上证指数 sh000001$ 网页链接', '2018-07-06 01:49:33')
('股市唯一不会骗人的指标——“均线”，字字珠玑，建议散户收藏！ $阳光照明 sh600261$ $康达新材 sz002669$ $中国神华 sh601088$ $跃岭股份 sz002725$ 意志坚强的...', '2018-07-05 23:27:16')
('股市唯一赚钱指标—“MACD”，堪称股市经典，建议永久珍藏！$鹏鹞环保 sz300664$ $世名科技 sz300522$ $跃岭股份 sz002725$ $远望谷 sz002161$ 汪振峯1983...', '2018-07-05 23:11:31')
('北京一老教授看破股市：27年坚持只做一种股票，学会后股市是印钞 $寒锐钴业 sz300618$ $长城动漫 sz000835$ $广东甘化 sz000576$ $跃岭股份 sz002725$ 3305079245...', '2018-07-05 15:27:38')
('襄阳轴承，英科医疗，明阳电路，跃岭股份，欣悦科技，科沃斯，蓝海华腾，天津普林，晓程科技，中美股份。海康威视，大华股份，格力电器，美的集团，邦讯技术，太阳电缆，荣科科技，双林股份，绿色动力，阿石创，北京文化，永和智控，赫美... 分享自@雪球 |襄阳轴承，...', '2018-07-05 10:39:14')
('老股民打死不传的短线选股技巧大曝光,从未失手,准确率98％$鹏鹞环保 sz300664$ $世名科技 sz300522$ $跃岭股份 sz002725$ $远望谷 sz002161$ 汪振峯1983...', '2018-07-05 07:29:06')
('#跃岭股份 sz002725[股票]# 后续可关注60 日均线的得失一进场就成了接盘了的，可怜想要快速回本，唯有#股票配资#', '2018-07-05 04:54:42')
('“内盘外盘”是A股唯一赚钱黄金指标,新手牢记,可实现百亿梦想$鹏鹞环保 sz300664$ $世名科技 sz300522$ $跃岭股份 sz002725$ 汪振峯1983...', '2018-07-04 22:30:47')
('恰当的资金管理是交易成功的根本。大道抽点时间选几支票，给做盘中解析，持有的可以评论留言晶华新材 603683西宁特钢 600117盛和资源 600392跃岭股份 002725', '2018-07-04 22:01:37')
('观察东湖高新、中来股份、纽威股份、跃岭股份、中信建投', '2018-07-04 21:43:23')
('#跃岭股份 sz002725[股票]# 打开跌停回抽建议逐步减，防止补跌，支撑看10.9元附近，回抽压力位看12元附近', '2018-07-04 20:32:17')
('$跃岭股份 sz002725$ 周期突破，正常回调。', '2018-07-04 09:12:52')
('一位退市操盘手的告白：一旦散户耐得住洗盘，绝不被庄家套牢 $跃岭股份 sz002725$ $申通快递 sz002468$ $乐普医疗 sz300003$ 汪振峯1983...', '2018-07-04 05:08:21')
('#上证快讯#【科技题材集体熄火 创业板指跌逾2.58%】周三，A股三大股指低开低走，前期表现活跃的科技题材股全线熄火，拖累创业板指大幅领跌。盘面上，钢铁板块全天领涨，安阳钢铁涨停。黄金板块表现强势，西部黄金、赤峰黄金涨停。跌幅方面，芯片概念领跌，跃岭股份跌停。网络安全板块下挫，中孚信息跌 ...展开全文c', '2018-07-04 03:21:46')
('想靠MACD指标赚钱？这个必学MACD的实战方法，简单易学！ $跃岭股份 sz002725$ $欧浦智网 sz002711$ $蓝海华腾 sz300484$ 财经妖王的...', '2018-07-04 02:47:17')
('晓程科技、超频三、华纺股份、会畅通讯、襄阳轴承、建新股份、蓝海华腾、汉嘉设计、振静股份、跃岭股份、智动力、宇顺电子、天津普林、金奥博、中大力德、明阳电路、传艺科技、华自科技等之前的强势股都地板了。', '2018-07-04 01:46:30')
('管不住手的投资者，谈谈斗熊的体会。', '2018-07-04 02:38:10')
('强势股集体杀跌，超频三、跃岭股份、会畅通讯、宇顺电子等纷纷跌停，晓程科技大跌9%，欣锐科技跳水大跌6%，全天振幅高达18%。', '2018-07-04 02:19:12')
('持仓反映多空双方冲突的激烈程度。持仓量上升确认现有趋势。接下来远几支票做盘面分析，有持有的留言长亮科技 300348跃岭股份 002725蓝海华腾 300484建新股份 300107', '2018-07-04 01:44:22')
('股市唯一不败的黄金组合：MACD+KDJ，牢记5条，轻松盈利 $跃岭股份 sz002725$ $申通快递 sz002468$ $乐普医疗 sz300003$ $光线传媒 sz300251$ 汪振峯1983...', '2018-07-03 23:29:09')
('股市唯一不败的黄金组合：MACD+KDJ，牢记5条，轻松盈利 $永泰能源 sh600157$ $泰格医药 sz300347$ $宇环数控 sz002903$ $跃岭股份 sz002725$ 汪振峯1983...', '2018-07-03 23:28:56')
('股市唯一“不骗人”的6大盘口顺口溜，一旦熟记股市就是取款机! $跃岭股份 sz002725$ $中粮地产 sz000031$ $*ST慧业 sz000816$ $滨江集团 sz002244$ 李小麦同学...', '2018-07-03 23:15:41')
('7月4日股票池：亚夏汽车 002607 30日线关注；融钰集团 002622 绿盘关注；跃岭股份 002725 绿盘关注。（股市有风险，入市需谨慎）', '2018-07-03 21:03:07')
('发布了头条文章：《今日复盘：七格准备召唤神龙》 《今日复盘：无形的大手》 #今日复盘# #财经头条长文# #上证指数# $万兴科技 sz300624$ $璞泰来 sh603659$ $跃岭股份 sz002725$ @微博股票 |今日复盘：...', '2018-07-03 09:57:14')
('晓程科技炸板高开，芯片概念午后逆势，涨停板近10支；晓程科技，跃岭股份绝对算得上芯片中的一股清流，不说昨天炸板进场的不够理智，今天进场的更是不可救药#晓程科技 sz300139[股票]#', '2018-07-03 09:24:09')
('解票。有拿不准的带成本私信发我。$科沃斯 sh603486$ $跃岭股份 sz002725$$英可瑞 sz300713$ $恒瑞医药 sh600276$', '2018-07-03 04:07:58')
('发布了头条文章：《世名科技300522 ：主力蓄势待发暗藏大利好，后市定让散户大吃一惊》 $世名科技 sz300522$ #世名科技 sz300522[股票]#股票分析[超话]#热门股票点评#热门股票推荐#跃岭股份 sz002725[股票]# |世名科技30...', '2018-07-03 03:02:19')
('发表了博文《跃岭股份连板吹响超跌反弹号角》在昨日两市各大指数走出单边下跌行情后，今日盘中上演逆势大反转，早盘两市一度跳水，沪指跌幅超1个百分点，创业板也纷纷再次的创出修整的新低，不过临近中午收盘指数被|周五股市操...', '2018-07-03 02:22:37')
('发布了头条文章：《跃岭股份002725：最新的消息已经流出，99%散户还在茫然！》$跃岭股份 sz002725$\ue627 微博股票股票[超话]#股票分析#股票最热门#微博股票热议榜#股市~a股~大盘~股票#热门股票推荐#热门股票点评# |跃岭股份00...', '2018-07-03 02:16:51')
('会畅通讯三板，这只股第一属性是填权品种，另外还有5G概念，只要会畅通讯继续走强，那么这两个方向都是可能会启动的方向。同期的除权品种，友讯达，跃岭股份目前看跟风力度很一般。\ue627 今日看盘 网页链接', '2018-07-03 02:05:01')
('股票一旦出现“线上阴线”试盘形态，必是大牛股，成功率百分百 $安迪苏 sh600299$ $南大光电 sz300346$ $燕京啤酒 sz000729$ $跃岭股份 sz002725$ 我的小蜗牛...', '2018-07-03 01:43:39')
('大盘跌破2800点，一旦权重股持续跌，新低是很容易的，权重股大跌，个股分化，上证50跌幅比较明显。指数被做空，只能暂时看个股，权重蓝筹暂时不用看，个股继续看 阿石创，晶华新材，国科微，中国软件 邦讯技术，翔港科技，超频三，新疆火炬，阿科力，三联虹普，跃岭股份，振静股份 等 #原创首发# ...展开全文c', '2018-07-02 23:29:33')
('一位老股民的强势股MACD选股战法，一买就涨 收藏$跃岭股份 sz002725$ $保利地产 sh600048$ 小慧看盘的...', '2018-07-02 23:06:35')
('“月线选股”是股市唯一600%获利法，句句在理，值得散户收藏 $华大基因 sz300676$ $华纺股份 sh600448$ $中国软件 sh600536$ $跃岭股份 sz002725$ 嘉丽也叫Ca...', '2018-07-02 22:48:07')
('掌握了这些抄底技巧，只需要一招“黑马腾飞”$沃特股份 sz002886$$跃岭股份 sz002725$ $保利地产 sh600048$ 小慧看盘的...', '2018-07-02 22:47:02')
('股市永不骗人的黄金法则——不冲高不卖，不跳水不买，横盘不交易$华大基因 sz300676$ $华纺股份 sh600448$ $中国软件 sh600536$ $跃岭股份 sz002725$ 嘉丽也叫Ca...', '2018-07-02 22:31:47')
('“线上阴线买”是股市唯一600%获利法，句句经典，值得散户收藏 $跃岭股份 sz002725$ $君禾股份 sh603617$ $皖江物流 sh600575$ $双林股份 sz300100$ QueenieL的...', '2018-07-02 22:30:07')
('上海一女博士看破股市：换手率口诀，过了凌晨将删除，建议收藏$跃岭股份 sz002725$ $申通快递 sz002468$ $乐普医疗 sz300003$ $光线传媒 sz300251$ 汪振峯1983...', '2018-07-02 21:52:40')
('国产软件：中国软件（数字中国 互联网加速）cdr：阿里巴巴相关概念芯片：跃岭股份', '2018-07-02 20:34:07')
('$跃岭股份 sz002725$ 典型庄股，老庄走法，利空死不了，上了就被套，看戏', '2018-07-02 08:41:08')
