('发布了头条文章：《亿利达002686 ：主力暴力洗盘暗藏做多意图，此点企稳必将一飞冲天》 $亿利达 sz002686$ \ue627 微博股票微博股票热议榜\ue627 股票分析 |亿利达0026...', '2018-07-24 07:02:18')
('7.19热点题材钢铁：杭钢股份、三钢闽光、柳钢股份、新钢股份、西宁特钢PCB：丹邦科技、博敏电子、天津普林、超声电子、明阳电路、世运电路石墨烯：渝三峡A、玉龙股份、大富科技、四川路桥、杭电股份、华金资本人民币贬值：同为股份、英科医疗、中源家居、华纺股份富勒烯：通产丽星、亿利达、四方 ...展开全文c', '2018-07-19 09:40:49')
('发布了头条文章：《欢乐海岸：短线要管住手！》 #新日恒力 sh600165[股票]# #通产丽星 sz002243[股票]# #亿利达 sz002686[股票]# #彤程新材 sh603650[股票]# |欢乐海岸：...', '2018-07-19 09:37:46')
('今天勉强还算微赚，不过明天早盘估计要计提一下亏损了，亿利达刚爆量的那一刻进去的，微盘收了2个点利润（但是扛不住明天低开），通产上板，但没有小弟助攻，看明天如何演绎7板吧，不拉亿利达，就想直接起，除非能挖出新的逻辑利好，至少我目前看很难。剩下的花房我并不觉得有错 ...展开全文c', '2018-07-19 09:31:17')
('慢牛行情开启？人气指数新高，股价新高，技术面MACD和KDJ又金叉 $合诚股份 sh603909$ $亿利达 sz002686$ $景旺电子 sh603228$ $北斗星通 sz002151$ 小正太Ente...', '2018-07-19 05:43:16')
('发布了头条文章：《亿利达+庞大集团：顶级游资满仓助力！预警年度黑马崭露头角？》 $亿利达 sz002686$ $庞大集团 sh601258$ #上证指数 sh000001[股票]# #股票分析# #今日看盘# |亿利达+庞...', '2018-07-19 05:26:46')
('#股票# 7月13日的通产丽星和亿利达！不得了啦7月13日，9点14分！亿利达，时隔周末休日，总计3个交易日大赚25.47%还有通产丽星，看图鉴证', '2018-07-19 02:28:27')
('发布了头条文章：《七月操作策略解读：新安股份 亿利达 罗平锌电 韶钢松山》$新安股份 sh600596$ $亿利达 sz002686$ $罗平锌电 sz002114$ $韶钢松山 sz000717$ #上证快讯# |七月操作策...', '2018-07-19 02:26:34')
('富勒烯概念的龙头通产丽星，真都的是厉害。下午的逆势板6板。之前一直说过，一不是有句话。有新题材就抛弃就题材，这个富勒烯概念就是个新的题材，只不过板块范围太小。就他一个老大和一个老二亿利达和几个小的票。范围太小导致人气不足。但龙龙头就是龙头。真猛6板高度', '2018-07-19 02:15:11')
('富勒烯概念品种，豫金刚石$亿利达 sz002686$ ，这些都是在周一直播说过的票，有兴趣的朋友可以看看现在虽然不跟风，但是今天通产丽星走势是超预期的，那么明天可能会继续超预期，到时候就会去跟', '2018-07-19 02:14:54')
('富勒烯板块午后再度冲高，龙头通产丽星涨停，豪取六连板，亿利达、四方达、豫金刚石小幅跟涨', '2018-07-19 02:12:55')
('富勒烯异动四方达(300179)-0.85%亿利达(002686)+4.16%豫金刚石(300064)-2.12%通产丽星(002243)+10.01%', '2018-07-19 01:37:40')
('富勒烯板块午后逆市冲高，龙头通产丽星再度封涨停，实现六连板，亿利达、四方达、豫金刚石等个股纷纷跟涨。', '2018-07-19 01:30:49')
('买回亿利达，博弈大长腿，通产1个亿的封单，必定会带亿利达。', '2018-07-19 01:26:45')
('这大盘……大家手里仓位轻点的可以考虑低吸一部分……我有点事，不能随时盯盘……[抱拳][抱拳][抱拳]今天不买票……$上证指数 sh000001$ $天邑股份 sz300504$ $创业板指 sz399006$ #建哥传奇-cj# $亿利达 sz002686$', '2018-07-19 01:14:50')
('砸亿利达，买入花房，贬值板块在不断增强，做一些仓位调整，而且通产明显一波拉升无法上板，新版块崛起，已经完成了抽血，指数可能还要下探，贬值概念本身就是逆毛，所以大家持仓谨慎点。', '2018-07-18 22:14:38')
('亿利达还没卖掉，然后又作了个死$金安国纪 sz002636$', '2018-07-18 21:54:14')
('【多上市公司集中回应富勒烯概念】富勒烯概念股近日遭市场爆炒。昨日，富勒烯概念股通产丽星迎来五连板，此前相关概念股亿利达、豫金刚石、黄河旋风等均出现上涨。网页链接', '2018-07-18 21:39:03')
('神秘机构32亿抢筹, 中国芯片最强龙头诞生, 18年有望成摇钱树 $博敏电子 sh603936$ $红宝丽 sz002165$ $亿利达 sz002686$ $国投资本 sh600061$ 姚晓浪的秒...', '2018-07-18 14:47:47')
('发布了头条文章：《通产丽星富勒烯是龙头、估计就打开了！买了就套人！》 #亿利达 sz002686[股票]# #渝三峡Ａ sz000565[股票]# $德尔未来 sz002631$ $天永智能 sh603895$ $天广中茂 sz002509$ $大富科技 sz300134$ 本次热点轮动太快！不是好事！没有主流热点！很多热点一日游概念很大！追高要谨慎！ ...展开全文c', '2018-07-18 10:29:04')
('#南都人物#【“孙行者”王小川的人生40年，曾带搜狗“特种部队”研发产品】王小川，1978年生于成都，搜狗CEO。1994年，还在读高一的王小川率先在微型计算机上完成了初等几何命题的全部证明，获得杨振宁颁发的“亿利达青少年发明奖”。两年后，王小川代表中国参加了第八届国际信息学奥林匹克竞赛并摘得 ...展开全文c', '2018-07-18 09:45:40')
('发布了头条文章：《欢乐海岸：继续休息！》 #通产丽星 sz002243[股票]# #亿利达 sz002686[股票]# #通产丽星 sz002243[股票]# |欢乐海岸：...', '2018-07-18 09:22:05')
('|7月18日晚... $勘设股份 sh603458$ $上证指数 sh000001$ $创业板指 sz399006$ #建哥传奇-cj# $亿利达 sz002686$', '2018-07-18 09:02:08')
('7.18 午行情预期是反弹，结果也如我所料，但是这种普涨不容易带起行情，还怕冲高回落。特别今天对于打板来说，能做的很少，昨天给的低吸标，京威股份，亿利达，沃特股份，江苏新能倒是勉勉强强，当然这些我只是中午复述一遍，你早上没买到就不要再瞎追，行情没好到无脑的阶段，这时候求稳更好，没买 ...展开全文c', '2018-07-18 01:22:44')
('昨日被砸的个股如意华股份、京威股份等，今天看是否继续核按钮，上一批高位股天华超净、宏达矿业等是否止跌；继续核按钮或者大跌就谨慎出手。另外观察三变科技的承接如何，通产丽星能否放量往上，昨日通产丽星开板放量之后回封，带动了亿利达的2连板，下午带动了石墨烯板块，今天看龙头能否放量封板， ...展开全文c', '2018-07-17 23:42:24')
('收评周一说的亿利达早盘最高又冲了5个点，三个交易日下来涨幅23%，这个已经非常不错了。MLCC概念我觉得可以继续观察，风华高科不死，后面反复的概率很大。中兴通讯今天表现一般，不过作为近期一个号召人气的品种，也是可能给你反复的。指标股今天表现相对较好，从盘面看，指标股对指数影响力在减弱 ...展开全文c', '2018-07-17 23:36:30')
('我刚刚调仓了微博股票组合网页链接，以成交价8.85卖出$亿利达 sz002686$。', '2018-07-17 23:12:16')
('5G这几天一直反复活跃，但是每日板块内领涨个股频繁切换，很难把握。目前市场缺乏龙头股，通产丽星带起的个股数量有点，亿利达跟风最紧的今日熄火，预计这个板块很快调整。关注下5G，行情未完，预计午后能有起色。昨日大涨今日回档的5G个股留意。期待次新发力，没有次新的行情是不完整的，没有次新游 ...展开全文c', '2018-07-17 23:06:47')
('底部放量突破的三支股 $宝泰隆 sh601011$ $亿利达 sz002686$ $三毛派神 sz000779$', '2018-07-17 23:00:39')
('发布了头条文章：《主力巨资建仓：亿利达 先导智能 银信科技 永安药业 》 $亿利达 sz002686$ $先导智能 sz300450$ $银信科技 sz300231$ $永安药业 sz002365$ \ue627 股票分析 \ue627 微博股票 #财经头条文章# #个股专业点评# \ue627 头条文章 |主力巨资建...', '2018-07-17 22:51:44')
('5G这几天一直反复活跃，但是每日板块内领涨个股频繁切换，很难把握。目前市场缺乏龙头股，通产丽星带起的个股数量有点，亿利达跟风最紧的今日熄火，预计这个板块很快调整。#今日看盘# 网页链接', '2018-07-17 22:45:02')
('低吸亿利达，富勒烯板块效应出来了，亿利达应该有补', '2018-07-17 21:47:58')
('通产丽星封神的节奏，5板，目前市场最强品种。富勒烯这条线接下来可能会被反复炒作了！亿利达是周一2个点直播说的，二连板之后，今天早盘又冲高了5个点，三个交易日下来已经有20%的涨幅了，恭喜跟上的朋友们了，获利丰厚.#牛股推荐# #新浪财经# @微博股票 $华谊兄弟 sz300027$ $中兴通讯 sz000063$ ...展开全文c', '2018-07-17 21:42:51')
('$亿利达 sz002686$ 是周一2个点直播说的，二连板之后，今天早盘又冲高了5个点，三个交易日下来已经有20%的涨幅了', '2018-07-17 21:40:14')
('亿利达是周一2个点直播说的，二连板之后，今天早盘又冲高了5个点，三个交易日下来已经有20%的涨幅了$上证指数 sh000001$', '2018-07-17 21:36:30')
('实时播报：指数小幅高开，铜箔、PCB板块领涨。昨日热点题材中，5G富春股份涨9%、纵横通信跌2%、中兴通讯涨3%，业绩佳发教育涨6%、用友网络涨1%，富勒烯通产丽星涨停、亿利达跌1%，石墨烯德尔未来涨4%、中超控股涨停、杭电股份跌1%，养鸡仙坛股份涨3%。盘前，半导体兆易创新涨2%，石墨烯道氏技术涨2%，P ...展开全文c', '2018-07-17 21:29:04')
('今天竞价情况还可以，$凯瑞德 sz002072$ 、$大富科技 sz300134$ 都不错，另外重点关注一下$亿利达 sz002686$ 和$沃特股份 sz002886$', '2018-07-17 21:27:04')
('新材料：富勒烯：通产丽星、亿利达石墨烯：德尔未来、杭电股份、碳元科技业绩预增：飞荣达、海达股份、中超控股、佳发教育、润达医疗、时代新材、百润股份、用友网络、台基股份、科斯伍德泛填权：飞荣达、纵横通信、沃特股份、佳发教育、用友网络、台基股份、奥瑞德、赫美集团、拉芳家化、仙坛股份 ...展开全文c', '2018-07-17 21:24:44')
('市场奖励勇士，三变科技从-10%到+10%，杂技表演；通产丽星四连板，璀璨明星，富勒烯不简单；中能电气突袭三板被砸；石墨烯强势，5G通信有点动静；市场比较虚弱，只适合看连续剧今日强股：金安国纪，中超控股，大富科技，亿利达，斯太尔，东方网络，纵横通信，中兴通讯，飞荣达，凯瑞德等今天没抢到 ...展开全文c', '2018-07-17 20:58:37')
('早评：指数连续两天杀跌，我们的票连续两天表现。直播周一两个点挖掘$亿利达 sz002686$ 连续二板，Mlcc概念也是近期直播一直说的品种，昨天盘中杀跌一直说，尾盘快速拉升，我对近期市场的主流热点节奏把握非常不错，恭喜看直播的朋友', '2018-07-17 20:57:13')
('$亿利达 sz002686$子公司具有富勒烯制备方法专利，是富勒烯概念股，跟涨通产丽星。', '2018-07-17 20:56:27')
('方向4：连板梯队，前龙头天华超净长阴结束后，目前4板成为最大高度，通产丽星、三变科技（5天4板）并列。三板出现断层，飞荣达/纵横通信/沃特股份（5G）、亿利达（富勒烯）、金安国纪（芯片）、海达股份（业绩预增）、南京新百（超跌反弹）换手二板。', '2018-07-17 20:23:41')
('发布了头条文章：《富勒烯/石墨烯概念龙头是通产丽星！》 $京威股份 sz002662$ $碳元科技 sh603133$ $飞荣达 sz300602$ $深南股份 sz002417$ #亿利达 sz002686[股票]# #大通燃气 sz000593[股票]# |富勒烯/石...', '2018-07-17 11:06:55')
('下面四图揭示:只有科技才能振兴世界和中国!$中兴通讯 sz000063$ $纵横通信 sh603602$ $德尔未来 sz002631$ $杭电股份 sh603618$ #通产丽星 sz002243[股票]# #亿利达 sz002686[股票]# 令哥复盘的...', '2018-07-17 10:56:17')
('\ue627 A股 \ue627 股票 #魔都夜行的复盘计划# \ue627 财经盘面空间：四板：通产丽星二板：海达股份 纵横通信 南京新百 中兴通讯 沃特股份 飞荣达 金安国际 亿利达三+一板：三变科技...展开全文c', '2018-07-17 10:46:24')
('今天盘面上最强的还是5G：中兴通讯4天3板，飞荣达抢跑，意华股份被放弃新材料：富勒烯概念龙头通产丽星4板，明天只有卖点没有买点，带起了石墨烯概念股，石墨烯龙头德尔未来，和中超控股（+ 业绩预增）明日5G预期一致，新材料通产丽星和亿利达的表现了', '2018-07-17 10:40:30')
('今天盘面热点跟踪：富勒烯概念继续走强，龙头通产丽星四连板，亿利达涨停；石墨烯板块午后大涨，碳元科技、中超控股、大富科技、德尔未来、杭电股份等多股涨停。中兴通讯午后再度涨停，四天三板，带动5G板块走强，富春股份、邦讯技术、恒泰实达、飞荣达、菲利华、深南股份、纵横通信、沃特股份等 ...展开全文c', '2018-07-17 10:19:33')
('对于这样的行情，我们最近一段时间，其实也抓了很多地位的牛股的。比如前面的合肥城建，两天15个点肯定是有的；昨天的亿利达两天接近20个点。低吸的技巧只要用好，收益一样很恐怖的。不管什么股你操作好了，始终都是会有盈利了。不要总是盯着所有人都看到的地方，你要是能看到别人看不到的，那么收益才 ...展开全文c', '2018-07-17 10:07:31')
('2连板 飞荣达 中兴通讯 纵横通信 海达股份 亿利达 金安国纪 沃特股份 南京新百', '2018-07-17 09:51:55')
('点过名的都要冲板封板奥维通信、亿利达、仙坛股份、中兴通讯、南京新百、赫美集团。大盘跌这么多和我毛关系啊？就算你没买仙坛，你也应该买了民和。有些人。冰寒选股摔你几个车身。', '2018-07-17 09:31:42')
('今日操作写的够清楚了，双响炮，纵横通信，中兴通讯！全部涨停！另外明日值得关注的强势股有亿利达，金安国纪，飞荣达，沃特股份，南京新百，通产丽星，三变科技！每天总结一下 对大家有帮助的 看看牛股连板股到底是怎么走的？', '2018-07-17 08:54:19')
('英特集团获利出掉后打板金安国纪没有买进去，随后打板了纵横通信和亿利达，越博如期反弹，深冷没动在不强就走了，看明天票情况，打板账号本月0失误获利30多点了', '2018-07-17 08:39:53')
('2. 富勒烯成新风口通产丽星（002243） ：A股最正宗的富勒烯概念股。豫金刚石 （300064） ：作为超硬材料行业龙头企业之一，公司拥有院士工作站、博士后科研工作分站及国家认可的实验室检测中心；亿利达 （002686） ：控股子公司青岛海洋新材料科技有限公司拥有“一种富勒烯-聚酰亚胺导电膜的制备 ...展开全文c', '2018-07-17 07:53:55')
('文来头狼精选（周三）下一步如何止盈头狼回顾：中兴通讯继续，意华股份回撤调整。涨停板精选1、中兴通讯 ...展开全文c', '2018-07-17 07:40:57')
('从盘面来看，市场还是围绕新能源+芯片/5G的科技线在做，科技这边预计中兴明天波动比较大，不确定性大增，个人看好新能源线。新能源这边锂电池已经走了一波，剩下的大概率走充电桩线（石墨烯也有机会，最近富勒烯比较刺激），可以关注 中能电气-充电桩，亿利达-富勒烯，个人看好中能电气', '2018-07-17 07:10:52')
('市场乱拳打方向，明日该怎么参与？（2018-07-17 游资复盘）打开公众号关注一下，看复盘更方便：网页链接\ue627 财经头条文章 \ue627 微博股评团 \ue627 投资 \ue627 今日看盘 #上证指数sh000001# #沃特股份 sz002886[股票]# #中兴通讯 sz000063[股票]# #南京新百 sh600682[股票]# ...展开全文c', '2018-07-17 06:55:12')
('三大指数均现缩量调整，上证50两阴夹一阳，成为杀跌元凶，近乎收回周四涨幅后方止跌企稳；创业板再次被沪指拖累，受到5日线支撑后分时图筑双底暂时止跌企稳。盘面：1、富勒烯涨价+超跌的通产丽星4板成妖，成为当前空间板，三变科技地天板5天4板跟随，纵横通信、飞荣达、海达股份、亿利达、金安国际2 ...展开全文c', '2018-07-17 06:37:35')
('今天2个多点就把金龙羽卖了，因为这票的上方压力较大早盘的走势期望不高有赚就走了，今天操作打板了002686亿利达富勒烯龙头通产丽星的最强跟风，明天看龙头的走势操作，目前的市场高位顶一字必砸！还在5个点买了超跌的江泉实业，在涨停板上又加仓了明天不能超预期强就出了。', '2018-07-17 06:29:19')
('$仙坛股份 sz002746$ 恭喜微商朋友两次进货。喜提野生土鸡两只！$中兴通讯 sz000063$ 恭喜微商朋友喜提手机两台。$亿利达 sz002686$ 恭喜新晋微商喜提特种材料一份。', '2018-07-17 06:14:45')
('富勒烯概念：通产丽星（4板）集合竞价一字板超预期，盘中被砸快速回封，亿利达（2板）助攻；5G概念：中兴通讯（1+2板）纵横通讯（2板+次新）飞荣达（2板+业绩预增）地天板：三变科技（3+1板）其他：金安国纪（2板+半导体）南京新百（2板+零售）意华股份，盛洋科技，京威股份冲击4板都被砸，中能电气，科迪乳业冲击3板都被砸，那么市场安全高度为首板与2板。收起全文d', '2018-07-17 06:07:45')
('午间短评：两市早盘低开震荡下行，沪指直接击穿2800点整数关口。临近中午收盘，指数勉强止跌。市场热点萎靡，个股跌多涨少。预计午后仍有可能继续下探，建议以观望为主。盘面热点:①连板股：4只个股连板，2板亿利达、纵横通信、飞荣达、金安国纪。市场人气龙头天华超净陨落，新龙未出现之前多一分 ...展开全文c', '2018-07-17 05:42:01')
('【7.17复盘】市场整体呈现震荡探底回升走势，其中超跌反弹：三变科技5b、南京新百2b等16股涨停；富勒烯：通产丽星4b，亿利达2b石墨烯：德尔未来、碳元科技、杭电股份等5股涨停；5G：中兴通讯3b等7股涨停；', '2018-07-17 05:00:47')
('【7.17复盘】市场整体呈现震荡探底回升走势，其中超跌反弹：三变科技5b、南京新百2b等16股涨停；业绩预增：京威股份3b、海达股份2b等10股封板；富勒烯：通产丽星4b，亿利达2b，石墨烯：德尔未来、碳元科技、杭电股份等5股涨停；5G：中兴通讯3b等7股涨停；半导体产业链：金安国纪2b、台基股份、丹邦科技 ...展开全文c', '2018-07-17 04:41:09')
('富勒烯就只有4只票（通产丽星-亿利达-豫金刚石 -四方达） 龙头还在助攻小弟表现不错，明天应该还会有行情。通产丽星行业龙头牢牢封死涨停，带动市场从富勒烯发酵到了石墨烯。彤程新材也因此被翘板。不过这样也说明市场还是处在比较怂的状态。真硬气的话，资金会直接接力富勒烯，现在是对接力没什么把 ...展开全文c', '2018-07-17 04:21:59')
('连板：通产丽星-4、海达股份-2、亿利达-2、金安国际-2、纵横通信-2、飞荣达-2、中兴通讯-2、沃特股份-2、南京新百-2、5g：富春股份、飞荣达、深南骨粉、大富科技、纵横通信、中兴通讯、10家石墨烯：通产丽星、亿利达、德尔未来、5家 ...展开全文c', '2018-07-17 03:56:28')
('$彤程新材 sh603650$ 今天真刺激，圈内早上也分享了它也因为是有富勒烯概念，富勒烯概念的龙头屹立不倒，$通产丽星 sz002243$ 四板，$亿利达 sz002686$ 也跟风涨停，只可惜今天它让次新情绪给带坏了，早盘根本没机会，不过午后陈香也用配资账户玩了一把，最终可惜回落了，不然操作的本金是要翻倍 ...展开全文c', '2018-07-17 03:23:56')
('20180717竞价出掉宣亚，上的中广，逻辑是引力竞价有人顶，抖音小题材阻力小和宣亚的逻辑一样，表现一般，明天出局 通产丽星和盛洋二选一，哪个先开板就上哪个，上的盛洋，太弱明天走人，觉得富勒烯有可能会像石墨烯一样炒，等通产开板，又不想追跟风的亿利达，结果通产开板瞬间封死，亿利达跟风也跟了 ...展开全文c', '2018-07-17 03:23:16')
('胖哥收评咱们的票依旧很强，今天上涨2个点，净值继续拉升。直播的票也很不错，昨天的亿利达二连板，豫金刚石两天10个点，富勒烯这个概念昨天早盘我就提前挖掘出来了。MLCC我这几天一直看好，今天调整的时候一样看好，尾盘拉升力度不错。四大行这两天砸盘厉害，前期的护盘力量感觉在消失，指数的波动 ...展开全文c', '2018-07-17 03:00:28')
('最近一段时间，抓了很多地位的牛股。7.6日的南京新百，你觉得弱，但是到今天，也有接近20个点。前面的合肥城建，两天15个点肯定是有的，还有国瓷材料，两天也有10个点。昨天的亿利达两天接近20个点。低吸的技巧只要用好，收益一样很恐怖的。不要总是盯着所有人都看到的地方，你要是能看到别人看不到的 ...展开全文c', '2018-07-17 02:48:05')
('#上证指数 sh000001[股票]# 最近一段时间，抓了很多地位的牛股。昨天的亿利达两天接近20个点。低吸的技巧只要用好，收益一样很恐怖的。不要总是盯着所有人都看到的地方，你要是能看到别人看不到的，那么收益才会更加稳定。#华谊兄弟 sz300027[股票]# #上证指数 sh000001[股票]# \ue627 今日股市 ...展开全文c', '2018-07-17 02:08:34')
('想要涨的多，先要跌的深。富勒烯到石墨烯的板块扩散，个股共振。富勒烯：通产丽星4b>亿利达2b；石墨烯：玉龙股份2b，宝泰隆>德尔未来、杭电股份、碳元科技。', '2018-07-17 01:52:22')
('通产丽星开板回封后才看到，板块预期产生变化了，直接排队亿利达，后面也突然加单了，看来想法跟我一样的人很多，还好基金在拆单出不然肯定排不到了，刚刚成交', '2018-07-17 01:51:38')
('$亿利达 sz002686$ 控股子公司青岛海洋新材料科技有限公司拥有“一种富勒烯-聚酰亚胺导电膜的制备方法”专利。作为与碳纳米管、石墨烯碳成为纳米材料家族3大代表的富勒烯，此次国内吨级富勒烯生产线的投产以新型碳纳米材料产业化为目标，将形成完备的富勒烯产业链集群，同时对我国掌握核心关键技术自主 ...展开全文c', '2018-07-17 01:37:06')
('目前还是创业板维持着盘面的热点，创业板目前还是正常的回踩，没破1600点（不破1580点都是正常的），5G中兴一直没封板，没办法再次带动该板块。次新股没龙头，都是不死不活的。比较活跃的还是钴，合纵带着寒锐，其他题材就是富勒烯最强（通产丽星，亿利达），盘面龙头股很不明显了，不建议追涨次新。本 ...展开全文c', '2018-07-17 01:21:48')
('持：中兴通讯 明德电子、亿利达、三维丝、光一抛：彤程、集泰。奥维通信可能要板！', '2018-07-17 00:36:10')
('午评：1、上午市场选择继续调整，本周无大的风险！2、盘面上超跌股还是主战场，多支超跌票连拉几个板；002243（通产丽星）002686（亿利达）等 ，有些票反弹是最后的出逃机会。手中个股要仔细甄别，牛票别做没了，垃圾票该割肉还是要割。3、元气大伤，要修复确实要点时间。', '2018-07-17 00:17:24')
('免责声明：股市有风险，入市需谨慎。本资讯仅供参考，不构成投资建议，据此入市，风险自担。002686-亿利达600552-凯盛科技300606-金太阳', '2018-07-17 00:00:40')
('科技股延续炒作，反包板盛行1.由于昨天指数走的不好，决定了这周指数走势不乐观，偏小幅震荡吧。目前主要是靠着5G、芯片板块撑场面。5G板块来讲偏修复为主，如果没有一个强力的带动性权重板块接力，迟早还得下行。2.主要热点：富勒烯概念，龙头通产丽星4连板，亿利达涨停；半导体产业链，飞荣达、金 ...展开全文c', '2018-07-16 23:39:28')
('多的不说！通产一字板！板块联动亿利达、中兴通讯。盛运高开六个点放弃了。纵横通信因为是603开头的票放弃了。大富科技上周说的反抽板。来晚了liangtiann', '2018-07-16 23:36:19')
('#赢在早盘# 周二早盘延续弱势，指数全线回调；小范围个股机会延续，具体看，富勒烯概念的通产丽星T字四连板，亿利达高开连板放量，玉龙股份连板后高位震荡；5G的纵横通信高开连板，盛洋科技连板后涨停开盘低走放量，新启动大富科技等助攻，中兴通讯大涨9%；超跌人气三变科技跌停开板天地板，同比缩量， ...展开全文c', '2018-07-16 23:35:32')
('这两天市场不是很好，但是我们的直播一样抓牛股，富勒烯概念昨天第一时间挖掘，2个点说的亿利达已经二连板。低吸要是做好了，收益率一点不比打板差，而且从稳定性来讲，要比打板好的多，实现稳定盈利并不难。大蓝筹这两天连续砸盘，指数有再度探底的可能性，静待下一次的护盘使者出现，那时候又是一次 ...展开全文c', '2018-07-16 23:29:04')
