('#投资达人说# #今日看盘# $恒通股份 sh603223$ 恒通股份是短信坑人票，明天注意回避，谨慎不要追高！', '2018-07-15 14:26:14')
('发布了头条文章：《A股重磅：伊力特+雷科防务+恒通股份，七月操作策略解读》 $伊力特 sh600197$ +$雷科防务 sz002413$ +$恒通股份 sh603223$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |A股重磅：...', '2018-07-17 07:10:17')
('日月股份 济民制药 恒通股份 新凤鸣 菲林格尔 雪峰科技 股海大咖的...', '2018-07-17 05:04:20')
('发布了头条文章：《恒通股份603223业绩翻倍暴增，本周有望问鼎龙虎榜?》 #恒通股份 sh603223[股票]# #财经头条文章# #微博股票热议榜# |恒通股份60...', '2018-07-16 11:31:26')
('【盘口热点速递】超跌板块走强超跌个股凯盛科技、恒通股份、联建光电、亿利达、盛洋科技、豫金刚石涨停，德尔未来、黄河旋风快速拉升。点评：超跌概念一直是本轮反弹的一条主线，虽然多数个股会叠加其他题材概念，但是相对来说，同概念中超跌的个股会更受市场认可，持续期也会更久，比如 ...展开全文c', '2018-07-16 01:25:06')
('恒通股份又发短信了，虽然准备拿两年，不过还是想举报一下他。', '2018-07-16 00:10:41')
('今日盘中的603223恒通股份早盘收盘前涨停预计明天连板', '2018-07-15 23:46:44')
('前俩个图说明啥，没法搞的，华大基因、维宏股份屡创新低，这还是刚上市有点炒作的，大部分都是，一上，嗖嗖的，跌跌不休。周五晚上有个人给我推荐恒通股份，今天这个样子还好意思说他们公司牛逼，妈蛋，这种垃圾公司是怎么活下来的，明显只能骗到特别笨的股民。', '2018-07-15 22:17:32')
('周五双盘建仓的603223 恒通股份今日成功获利8个点如果你十万块钱去操作 已经获利八千了，你还满意吗，稳健获利我们能做到 !跟上今天下午建仓薇信｛ssnz886｝', '2018-07-15 22:03:38')
('发表了博文《07月16日(周一)游资私募飙升牛股精选》恒通股份(603223)公司是国内LNG分销寡头，控股子公司华恒物流在2015年LNG分销企业中排名第三。伴随大气污染问题日益严峻，京津冀等地"煤|07月16日(...', '2018-07-15 21:21:59')
('早盘关注:【603223 恒通股份】，将拉升至少五个点，获利出局，跟上的朋友，可以买点肉吃了', '2018-07-15 21:14:41')
('看票明天周一，持有这几只票的朋友，有拿不准的可以直接私信我。$永吉股份 sh603058$ $恒通科技 sz300374$ $佳云科技 sz300242$ $山河药辅 sz300452$ $寒锐钴业 sz300618$#大盘-个股-趋势-解答#', '2018-07-15 08:33:32')
('通知:【恒通股份 603223】明日直线拉升出局，勿追！，切勿盲目追高！如果自己操作不好可以跟上我这边的操作。', '2018-07-15 05:32:44')
('发布了头条文章：《主力15亿抢筹,7月新妖崭露头角？恒通科技+延江股份+三维丝》 $恒通科技 sz300374$ $延江股份 sz300658$ $三维丝 sz300056$ #股票分析# #今日看盘# #短线牛股# |主力15亿抢...', '2018-07-15 03:02:17')
('读懂中国股市股市这条定律，A股就是你的提款机！让你少奋斗10年 $华鑫股份 sh600621$ $双成药业 sz002693$ $奇正藏药 sz002287$ $恒通股份 sh603223$ 小正太Ente...', '2018-07-13 18:22:36')
('“线上阴线”是股市唯一能500%获利法，字字珠玑，建议散户珍藏！ $天成控股 sh600112$ $联发股份 sz002394$ $恒通股份 sh603223$ $盘江股份 sh600395$ 李域悟看盘...', '2018-07-13 13:42:27')
('$恒通股份 sh603223$ 周一早盘短信黑嘴票，注意规避', '2018-07-13 05:17:47')
('$恒通股份 sh603223$指数振荡修复当中，比较磨人，目前需要耐心。', '2018-07-13 04:14:16')
('发布了头条文章：《A股重磅：振静股份+恒通科技+延江股份，七月操作策略解读》 $振静股份 sh603477$ +$恒通科技 sz300374$ +$延江股份 sz300658$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |A股重磅：...', '2018-07-13 03:47:59')
('发布了头条文章：《07月16日公开验证拉升的金股:【恒通股份603223】》 |07月16日公...', '2018-07-13 03:20:49')
('$恒通股份(603223)$ 下周一短信黑嘴票，注意回避。 网页链接', '2018-07-13 03:18:27')
('发布了头条文章：《07月16日内线金股公开验证【恒通股份603223】》 |07月16日内...', '2018-07-13 03:15:17')
('私募持仓标的：$恒通股份 sh603223$ 下周一早盘主力会拉高出货，不要追进，以免出现套牢盘，主力以短线为主，波段为辅，这支票出来后，还会有新的标的布局，需跟上的提前2-3个交易日联系，好做仓位安排，仓位有限，望体谅。', '2018-07-13 03:01:23')
('第一内线：$恒通股份 sh603223$ 下周将冲高，非战队成员不要随意操作，持有者，跟随冲高止盈，注意规避风险。下周这支票止盈出局，将继续布局新的标的，需要的提前联系。', '2018-07-13 03:01:06')
('私募持仓标的：$恒通股份 sh603223$ 下周一明日早盘主力会拉高出货，不要追进，以免出现套牢盘，主力以短线为主，波段为辅，这支票出来后，还会有新的标的布局，需跟上的私聊具体联系方式，不要在评论里随意透漏个人隐私，避免骚扰。', '2018-07-13 03:01:03')
('$恒通股份 sh603223$ #不二--乐道# 下周强势股，周一关注即可，切勿追高！', '2018-07-13 03:00:51')
('发布了头条文章：《A股月中大翻身：恒通股份 上海电力 士兰微 皇马科技》$恒通股份 sh603223$ $上海电力 sh600021$ $士兰微 sh600460$ $皇马科技 sh603181$ #上证快讯# |A股月中大...', '2018-07-12 23:35:29')
('股票一旦出现“长阴倒拔杨柳”形态，坚决捂股，股价将步步高升！ $东方财富 sz300059$ $明泰铝业 sh601677$ $恒通股份 sh603223$ $志邦股份 sh603801$ 李域悟看盘...', '2018-07-12 00:38:55')
('区块链第一龙头严重被低估，业绩暴增900%，4月或封妖王 $恒通科技 sz300374$ $新筑股份 sz002480$ $科远股份 sz002380$ $机电B股 sh900925$ 姚晓浪的秒...', '2018-07-11 17:19:45')
('发布了头条文章：《后市带着小散一起飞：易尚展示 安迪苏 博思软件 恒通股份 》 $易尚展示 sz002751$ $安迪苏 sh600299$ $博思软件 sz300525$ $恒通股份 sh603223$ \ue627 股票分析 \ue627 微博股票 #财经头条文章# #个股专业点评# \ue627 头条文章 |后市带着小...', '2018-07-11 03:52:06')
('行情暴跌个股筹码已经出现了异常，不知道是出是留?投资股票可以加wei信：wangshi5202010，指导最佳买卖点和解套方法，总可以为你指点迷津，国泰君安(sh601211) 天成自控(sh603085) 万林股份(sh603117) 恒通股份(sh603223) 口子窖(sh603589) 四通股份(sh603838)', '2018-07-10 21:08:53')
('预知后市是出是留，盲目没有方向的来，指点后市如何操做。国泰君安(sh601211) 天成自控(sh603085) 万林股份(sh603117) 恒通股份(sh603223) 口子窖(sh603589) 四通股份(sh603838) 静心静唔的...', '2018-07-09 21:51:10')
('预知后市是出是留，盲目没有方向的来，指点后市如何操做。东方证券(sh600958) 爱普股份(sh603020) 全筑股份(sh603030) 松发股份(sh603268) 富临精工(sz300432) 恒通科技(sz300374) 静心静唔的...', '2018-07-09 21:22:46')
('石墨烯第一龙头股横空出世，神秘巨资疯狂抢筹，碾压京东方A $会稽山 sh601579$ $恒通股份 sh603223$ $华能国际 sh600011$ $志邦股份 sh603801$ yokki阳sup...', '2018-07-09 11:26:37')
('上海一女教授自曝“尾盘买入法”口诀，只分享一次，错过等150年 $科林环保 sz002499$ $中富通 sz300560$ $中炬高新 sh600872$ $恒通股份 sh603223$ 李小麦同学...', '2018-07-09 03:31:33')
('股市唯一不欺骗人的“集合竞价”顺口溜，新手熟记：可实现百亿梦 $中富通 sz300560$ $恒通股份 sh603223$ $XD澳柯玛 sh600336$ $禾丰牧业 sh603609$ 我的小蜗牛...', '2018-07-08 03:46:44')
('A股20年一直盈利的唯一技法——“周线选股”，建议花3分钟看完 $博实股份 sz002698$ $神农基因 sz300189$ $恒通股份 sh603223$ $联络互动 sz002280$ 李域悟看盘...', '2018-07-07 21:12:57')
('发布了头条文章：《走势以及操作技巧精准解析：恒通股份+济民制药+日月股份+江山欧派》 $恒通股份 sh603223$ $济民制药 sh603222$ $日月股份 sh603218$ $江山欧派 sh603208$ |走势以及操...', '2018-07-05 02:41:19')
('操盘手交易员自述：这辈子炒股只需要做精一只股，赢得盆满钵满 $广发证券 sz000776$ $嘉凯城 sz000918$ $恒通股份 sh603223$ $京能置业 sh600791$ 我的小蜗牛...', '2018-07-05 01:10:17')
('一位股海高手20年悟出成交量炒股战法，学会出手就是强势股！精辟 $新力金融 sh600318$ $皖天然气 sh603689$ $中兴商业 sz000715$ $恒通股份 sh603223$ 小正太Ente...', '2018-07-04 16:22:36')
('关注:航天科技,湘潭电化,奥维通信,同力水泥,高澜股份,恒通科技,冀东水泥,京汉股份,中集集团,飞力达,中船科技,英洛华,重点关注:航天科技,湘潭电化,奥维通信,同力水泥,冀东水泥,飞力达,中船科技,#财经头条文章##短线牛股##财经网红推广##今日看盘##V影响力榜##大盘点评# #投资达人说# #原创首发# ...展开全文c', '2018-07-04 10:24:00')
('股票万一出现“向下假突破”试盘，定是大牛股，千万别急着卖出！ $嘉麟杰 sz002486$ $恒通科技 sz300374$ $建科院 sz300675$ $中亚股份 sz300512$ 李域悟看盘...', '2018-07-04 07:54:13')
('$恒通股份 sh603223$ 针对已持仓股民，行业还可以虽然不是热点，但也绝非冷门，技术上目前属于严重超跌，具备反弹诉求，今天其实给了反弹机会，但是无奈大盘环境不好，压下来了，耐心持股待涨即可。', '2018-07-04 04:14:57')
('万一股票出现“钓鱼线”形态，毫不犹豫清仓，否则深度套牢 $昆仑万维 sz300418$ $锡业股份 sz000960$ $恒通科技 sz300374$ $众生药业 sz002317$ 小正太Ente...', '2018-07-03 10:10:16')
('发布了头条文章：《本周走势精彩揭秘：恒通科技 四川长虹 湘电股份 同益股份》$恒通科技 sz300374$ $四川长虹 sh600839$ $湘电股份 sh600416$ $同益股份 sz300538$ \ue627 财经头条文章 |本周走势精...', '2018-07-03 04:53:57')
('大跌之后，增持回购又来小高潮建设机械：实控人拟合计增持不超8%公司股份三湘印象：董事总经理拟增持3300万元至1亿元嘉化能源：控股股东拟增持100万股-2969万股华测检测：总裁增持210万股万邦达：董事高管增持109万股宗申动力：董事长增持189万股 ...展开全文c', '2018-07-03 00:32:22')
('【公告：增减持】精达股份：拟以1亿元-2亿元回购股份海印股份：拟不超3亿元回购股份金禾实业：拟以1亿元回购股份 ...展开全文c', '2018-07-02 21:09:44')
('均胜电子、昆药集团、旭光股份、龙宇燃油回购；中核钛白、精达股份、海印股份、东方精工、东方雨虹、嘉化能源、金禾实业拟回购；万邦达、中潜股份股东增持；航发动力、鲍斯股份、建设机械、航发控制、金海环境、嘉化能源、三湘印象、唐德影视、恒通股份、*ST昌九股东拟增持。#牛股推荐# ...展开全文c', '2018-07-02 20:45:49')
('7.3【增减持】昆药集团：已回购公司2.3%股权 耗资1.69亿元龙宇燃油：已回购公司2.89%股权 耗资1.41亿精达股份：拟1亿至2亿元回购股份 ...展开全文c', '2018-07-02 20:37:07')
('恒通股份(603223)：控股股东拟增持公司不超1%股权公司控股股东刘振东拟未来12个月内增持公司股份，累计增持金额不低于1000万元，增持数量不超总股本1%。目前，刘振东持有公司28.47%股权。', '2018-07-02 19:59:32')
('发表了博文《周一晚间公告汇总》【增减持】精达股份(600577)：拟以1亿元-2亿元回购股份海印股份(000861)：拟不超3亿元回购股份金禾实业(002597)：拟以1亿元回购股份恒通股份(6032|周一晚间公...', '2018-07-02 11:49:57')
('关注:八菱科技,恒通科技,华平股份,金力泰,睿康股份,中润资源,波导股份,智慧松德,超声电子,世纪鼎利,重点关注:八菱科技,恒通科技,华平股份,金力泰,睿康股份,世纪鼎利,#财经头条文章##短线牛股##财经网红推广##今日看盘##V影响力榜##大盘点评# #投资达人说# #原创首发##猫控必看##猫控福利##就要出众# ...展开全文c', '2018-07-02 11:35:39')
('涨幅在3-6%，成交量放大2倍或以上600567 山鹰纸业600313 农发种业600345 长江通信603606 东方电缆603718 海利生物 ...展开全文c', '2018-07-02 10:23:30')
('恒通股份控股股东拟增持不低于1000万元_股票频道_证券之星 |恒通股份控...', '2018-07-02 08:20:21')
('【恒通股份控股股东拟增持不低于1000万元】恒通股份公告，公司控股股东刘振东自2018年7月3日起12个月内，拟增持公司股份，累计增持金额不低于1000万元，不超过公司总股本1%。', '2018-07-02 05:16:40')
('发布了头条文章：《主力究竟意欲何为：恒通科技+烽火通信+西部资源+波导股份》 |主力究竟意...', '2018-07-02 02:16:36')
('中字头军工又一新龙头再次封王，净利翻4346倍，6月或将碾压成妖 $恒通股份 sh603223$ $轴研科技 sz002046$ $陕国投A sz000563$ $阳谷华泰 sz300121$ 李域悟看盘...', '2018-07-02 01:54:04')
('发布了头条文章：《最新A股精彩诊断：恒通股份 方大特钢 明泰铝业 大秦铁路》$恒通股份 sh603223$ $方大特钢 sh600507$ $明泰铝业 sh601677$ $大秦铁路 sh601006$ #股票# |最新A股精...', '2018-07-01 23:57:42')
('【简称变更】中电鑫龙变为中电兴发；佳发安泰变为佳发教育；建新矿业拟更名为国城矿业；【今日复牌】吉林森工、天成自控、德豪润达、新宁物流、金洲慈航、兴源环境、兆新股份、盛运环保、美盛文化。【限售股解禁】绿地控股、京山轻机、易见股份、志邦股份、华钰矿业、恒通股份、中衡设计、天 ...展开全文c', '2018-07-01 21:34:33')
('【停/复牌、解禁股数据】复牌个股：金洲慈航、德豪润达、兆新股份、美盛文化、新宁物流、盛运环保、兴源环境、吉林森工、中毅达、天成自控停牌个股：*ST地矿解禁个股：京山轻机、金诚信、雪人股份、恒通股份、万孚生物、东杰智能、濮阳惠成、四通股份、中飞股份、光力科技、易见股份、绿地控股、瑞 ...展开全文c', '2018-07-01 21:08:40')
('限售解禁：300604 长川科技600093 易见股份600816 安信信托603158 腾龙股份300480 光力科技300635 达安股份603223 恒通股份 603979 金诚信300222 科大智能300481 濮阳惠成300648 星云股份 002768 国恩股份300482 万孚生物300670 大烨智能600180 瑞茂通601020 华钰矿业 002770 科迪乳业 300483 沃施股 ...展开全文c', '2018-07-01 20:57:40')
('限售股解禁：绿地控股、京山轻机、易见股份、志邦股份、华钰矿业、恒通股份、中衡设计、天成自控、四通股份、腾龙股份、金诚信、欧派家居、世荣兆业、科大智能、雪人股份、跨境通、濮阳惠成、光力科技、沃施股份、东杰智能、中飞股份、万孚生物、恒锋工具、国恩股份、科迪乳业、长川科技、京泉华、达安 ...展开全文c', '2018-07-01 20:49:24')
('上海老股神：A股24年唯一盈利指标——CCI，字字抖金，速度珍藏 $吉鑫科技 sh601218$ $良信电器 sz002706$ $恒通股份 sh603223$ $昆仑万维 sz300418$ 李域悟看盘...', '2018-06-30 02:17:29')
('利好消息欣泰退 扬杰科技 恒通科技 鹏翎股份 天赐财金的...', '2018-06-29 02:05:13')
('房地产新龙头严重被低估，业绩暴增503%，或持续暴涨冲击龙虎榜 $三一重工 sh600031$ $南方轴承 sz002553$ $恒通股份 sh603223$ $茂业商业 sh600828$ QueenieL的...', '2018-06-29 00:01:17')
('广州67岁老教授自暴：“内盘外盘”顺口溜，字字抖金，值得散户收 $恒通股份 sh603223$ $华讯方舟 sz000687$ $宏达矿业 sh600532$ $庄园牧场 sz002910$ 我的小蜗牛...', '2018-06-28 22:49:15')
('济民制药 恒通股份 新凤鸣 菲林格尔！#富瀚微 sz300613[股票]# 许楚沛分析...', '2018-06-28 04:00:44')
('爆最新消息，畅联股份 不看后悔：后市指南分析！ $东软载波 sz300183$ $光威复材 sz300699$ $东阿阿胶 sz000423$ $恒通股份 sh603223$ QueenieL的...', '2018-06-28 03:32:44')
('医药第一龙头36跌至8元，大股东增持6800万股，6月有望暴涨封妖 $万润股份 sz002643$ $天鹅股份 sh603029$ $士兰微 sh600460$ $恒通股份 sh603223$ 凌_BLove新...', '2018-06-27 05:57:16')
('A股27年一直赚钱的方法——“尾盘买入”牢记6句，可实现百亿梦想 $*ST长兴 sz000827$ $东方市场 sz000301$ $元力股份 sz300174$ $恒通科技 sz300374$ 我的小蜗牛...', '2018-06-26 07:22:56')
('恒通科技 青岛双星 煌上煌 普莱柯 冠幅股份 小伊看盘的...', '2018-06-20 07:48:15')
('中国国航 海汽集团 渤海轮渡 恒通股份 邬过荡邬的...', '2018-06-18 22:40:54')
('常山北明：第二大股东北明控股计划12个月内增持不低于1亿元股份恒通科技：与乡墅科技签订战略合作协议，双方同意就开拓装配式乡居市场建立战略合作伙伴关系', '2018-06-18 20:28:17')
('恒通股份 新凤鸣 菲林格尔 雪峰科技 景旺电子 奥翔药业 股海大咖的...', '2018-06-14 23:26:46')
('发布了头条文章：《科华控股 德创环保 华正新材 恒通股份：整装待发，二次启动！》 $科华控股 sh603161$ $德创环保 sh603177$ $华正新材 sh603186$ $恒通股份 sh603223$ $上证指数 sh000001$ |科华控股 ...', '2018-06-12 22:39:45')
('#恒通股份 sh603223[股票]# 该股短期振荡走势，支撑19元附近，压力21元附近，目前支撑附近有反弹迹象，可先持有，后市压力附近建议减仓', '2018-06-12 21:08:46')
('发布了头条文章：《恒通科技 安硕信息 飞天诚信 腾信股份：多次试盘，拉升在即？！》 $恒通科技 sz300374$ $安硕信息 sz300380$ $飞天诚信 sz300386$ $腾信股份 sz300392$ $上证指数 sh000001$ |恒通科技 ...', '2018-06-10 23:58:29')
('发布了头条文章：《重磅消息：三德科技+昌红科技+恒通股份，本周操作策略解读》 $三德科技 sz300515$ +$昌红科技 sz300151$ +$恒通股份 sh603223$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |重磅消息：...', '2018-06-09 03:22:58')
('(603223)恒通股份：该股从28爆跌至6元，现遭机构怒砸5亿增持!#开立医疗 sz300633[股票]# #中环装备 sz300140[股票]# #佳讯飞鸿 sz300213[股票]# 许楚沛分析...', '2018-06-07 08:21:39')
('发布了头条文章：《明日最佳操作策略：融捷股份+山大华特+恒通股份》$融捷股份 sz002192$山大华特 sz000915$恒通股份 sh603223$ \ue627 股票A股[超话]# |明日最佳操...', '2018-06-04 05:16:38')
('发布了头条文章：《恒通股份603223：底部金叉信号再现，后市行情一触即发！》$恒通股份 sh603223$ #财经头条文章# #股票分析# #投资达人说# |恒通股份60...', '2018-06-03 02:44:11')
('发布了头条文章：《603223 恒通股份：不要掉以轻心 后势惊人已成定局》 \ue627 短线牛股 \ue627 股票推荐 $恒通股份 sh603223$ |603223 恒...', '2018-06-03 02:27:46')
('发布了头条文章：《恒通股份603223 ：底部反弹曝光主力阴谋，此压力位做好万全准备》 $恒通股份 sh603223$ #恒通股份 sh603223[股票]#股票最热门#微博股票热议榜#微博股票[超话]\ue627 股票分析 |恒通股份60...', '2018-06-02 10:52:46')
('发布了头条文章：《恒通股份603223：主力暴力洗盘或是上车良机？后市散户最好这样做》$恒通股份 sh603223$ \ue627 微博股票热门股票推荐#热门股票点评# |恒通股份60...', '2018-05-27 01:58:04')
('【聊城提升区域创新能力】支持中通客车控股股份有限公司开展“燃料电池客车关键技术”研究;支持山东恒通晶体材料有限公司开展“大尺寸蓝宝石单晶制造技术”研发……今年以来，我市围绕新旧动能转换创新发展的重大需求，积极融入京津冀协同创新发展大格局，强化创新载体和创业平台建设，集聚科技创新资 ...展开全文c', '2018-05-24 23:40:38')
('发布了头条文章：《恒通股份603223：主力磨刀已久整装待发，大谋划已经启动》$恒通股份 sh603223$ #深圳指数39901#热门股票点评#热门股票推荐#股票最热门#热门个股# |恒通股份60...', '2018-05-23 22:11:21')
('发布了头条文章：《庄家巨资布局龙头股,华宝股份+双一科技+庞大集团+恒通股份》$华宝股份 sz300741$ $双一科技 sz300690$ $庞大集团 sh601258$ $恒通股份 sh603223$ #热门股票推荐# #个股推荐与走势分析# #股票分析# |庄家巨资布...', '2018-05-23 01:57:38')
('有一些强势股开始出货高位放巨量或者是低开留跳空缺口还是那句话千万不要追涨例如：$鹏鹞环保 sz300664$$恒通股份 sh603223$ ...展开全文c', '2018-05-23 01:37:25')
('福利来了持有这些票，还有拿捏不准的，可以问我！$山西焦化 sh600740$ ,$新光药业 sz300519$$中富通 sz300560$ , $恒通股份 sh603223$#微博股票# #大盘-个股-趋势-解答#', '2018-05-22 22:09:15')
('#反包股# 5月23日股票池。 $万兴科技 sz300624$ $恒通股份 sh603223$ $中油工程 sh600339$', '2018-05-22 11:05:54')
('发布了头条文章：《华正新材 恒通股份 格尔软件 旭升股份：推波助澜，继续领跑？！》 $华正新材 sh603186$ $恒通股份 sh603223$ $格尔软件 sh603232$ $旭升股份 sh603305$ $上证指数 sh000001$ |华正新材 ...', '2018-05-22 09:48:53')
('发布了头条文章：《明日主力最新动作：中航飞机+三一重工+恒通股份》$中航飞机 sz000768$三一重工 sh600031$恒通股份 sh603223$ #盘前必读#A股#股票# |明日主力最...', '2018-05-22 07:33:02')
('深夜食堂+$阿科力 sh603722$ #投资达人说# #今日看盘# 最近运气不错，阿科力推荐之后三个板30%+的大肉，昨天推荐的恒通股份+深冷股份+恒基达鑫全部板了，明天油气+化工板块就不去了，持股卖股为主，明天可能选择消息刺激的新题材来开仓+低吸的策略为主，明天策略和新的候选目标仅供大家参考！ ...展开全文c', '2018-05-22 03:51:36')
('收盘了，持有这些票，还有拿不准的，可以私信我！$新城控股 sh601155$ $万兴科技 sz300624$$永和智控 sz002795$ $恒通股份 sh603223$#今日股票# #微博股票#', '2018-05-22 03:49:39')
('天然气分销第一股——恒通股份。进口海鲜贸易第一股——佳沃股份。', '2018-05-22 02:24:36')
('老规矩，兵哥来跟一下个股 ↓$贝肯能源 sz002828$ 是昨天三个二连板推荐里第一个涨停的，昨天就说了，第一个上位的就是补涨龙！$厚普股份 sz300471$ 二连板涨停$鹏鹞环保 sz300664$ 二连板涨停$宝利国际 sz300135$ 高开低走，失去竞争龙头的资格了。$恒通股份 sh603223$ 开盘掉 ...展开全文c', '2018-05-21 22:46:04')
('$恒通股份 sh603223$低位拉升翻红，上周2个多点，盘前林龙兵提示送出的个股，有把握低吸机会的朋友这里看见接近5个点利润，再加把劲嘞！！', '2018-05-21 22:17:00')
('分享：$恒通股份 sh603223$ 资金持续介入，近期连续放量上涨，有望走出牛股形态，短期可跟踪潜伏一下。#超级财经周# #全民赛实盘# #新浪财经# #今日看盘#网页链接', '2018-05-21 21:53:57')
('603516 淳中科技 推荐买入 止盈：48.75 止损：39.93603223 恒通股份 推荐买入 止盈：24.84 止损：20.33', '2018-05-21 21:33:33')
('老牛盘前荐股：$恒通股份 sh603223$ 资金持续介入，近期连续放量上涨，有望走出牛股形态，短期可跟踪潜伏一下。#今日看盘# #投资达人说# $宏川智慧 sz002930$ $盐津铺子 sz002847$ @微博股票', '2018-05-21 21:28:16')
('603223 恒通股份 推荐买入 止盈：24.84 止损：20.33#恒通股份 sh603223[股票]#', '2018-05-21 21:27:53')
('盘前心水潜力股：#恒通股份 sh603223[股票]# 资金持续介入，近期连续放量上涨，有望走出牛股形态，短期可跟踪潜伏一下。#今日看盘# #投资达人说# #宏川智慧 sz002930[股票]# #盐津铺子 sz002847[股票]# @微博股票', '2018-05-21 21:17:13')
('【周一热点复盘】石油产业链：宏川智慧、中远海能、恒通股份、恒基达鑫、道森股份、海默科技、厚普股份、贝肯能源、深冷股份化工：南京聚隆、奥洋科技、阿科力、宝利国际、江山股份、川恒股份、卫星石化、兰太实业、兴业股份环保：鹏鹞环保、上海洗霸、久吾高科、中持股份食品加工：盐津铺子、湖南 ...展开全文c', '2018-05-21 21:16:56')
('$上证指数 sh000001$ $中小板指 sz399005$ $创业板指 sz399006$ $贵州茅台 sh600519$#牛股挖掘者# #强势之道# #短线老张擒牛# @微博股票盘前金股：恒通股份（603223）资金持续介入，近期连续放量上涨，有望走出牛股形态，短期可跟踪潜伏一下。', '2018-05-21 21:15:42')
('09：13 两连板的个股主要是厚普股份、海默科技、贝肯能源等；市场主力资金延伸炒作了和宏川智慧002930逻辑相似的恒基达鑫、恒通股份，这个逻辑值得后市关注。其他海南板块，5G不建议现在参与，只有智能机器板块消息预期强烈，昨天天永智能、万通智控涨停，值得列入自选股观察，喜欢的可以适当潜伏。 ...展开全文c', '2018-05-21 21:14:22')
('@钟华论股 最详细昨日热点分析，今日继续重点关注！【昨日被炒作的部分概念板块和热点个股】1.化工化纤：南京聚隆、澳洋科技、阿科力、宝利来、江山股份、川恒股份、卫星石化、兴业股份、兰太实业2.石油产业链：海默科技、深冷股份、中远海能、道森股份、贝肯能源、厚普股份、恒通股份、云南城投、恒 ...展开全文c', '2018-05-21 20:51:43')
('二、石油产业链：宏川智慧，道森股份，中远海能，恒通股份，恒基达鑫，海默科技，厚普股份，贝肯能源，深冷股份 点评：市场的主流与最强风口，分支系列！ 宏川智慧7板市场总龙头与灵魂人物！道森股份强势助攻。海默科技+厚普股份+贝肯能源2板助攻。#今日看盘##投资达人说# $宏川智慧 sz002930$ ...展开全文c', '2018-05-21 10:49:11')
