('19岁股市奇才豪言曝光：MACD指标100%盈利方法，4分钟获28次掌声 $东山精密 sz002384$ $璞泰来 sh603659$ $罗平锌电 sz002114$ $太极股份 sz002368$ 论A股堂的...', '2018-07-24 10:58:37')
('发布了头条文章：《太极股份002368:今日最新消息出炉，意图明显爆出后势！》 $太极股份 sz002368$ \ue627 股票分析 \ue627 短线牛股 |太极股份00...', '2018-07-09 20:58:23')
('上海一老教授看破股市：27年坚持只做“七不买”,可实现百亿梦想 $太极股份 sz002368$ $亚振家居 sh603389$ $玲珑轮胎 sh601966$ $益盛药业 sz002566$ 3305079245...', '2018-07-09 10:49:21')
('收盘，小赚7.35%。持仓：深信服、北方华创、泰格医药、江丰电子、太极股份、正海生物、圣邦股份、大烨智能。早盘继续低吸加仓圣邦股份，尾盘减仓北方华创。医药股今天暴力反弹吃涨停，科技股承接很足，市场普反强到了尾盘，超预期了，明天看分化吧。大体上仍然对市场反弹高度以及持续性不乐观，但是仓 ...展开全文c', '2018-07-09 10:12:11')
('#温故而知新# 为什么近期软件股走强？案例分析：$太极股份 sz002368$五个维度选出好的软件股：#一直播# (20180706)1.企业是否有内生的增长动力（从投入的研发费用观察）；2.公司业绩有持续成长能力（参考F10，主营业务收入和净利润是否能保持增长）；3.观察净利润和现金流量之间是否匹配；4.公司 ...展开全文c', '2018-07-09 09:08:03')
('康力电梯 太极股份 卓翼科技 亚太药业 北方华创 伟星新材 股海大咖的...', '2018-07-09 03:53:02')
('09:262、软件：深信服、数字认证、卫宁健康、创意信息、蓝盾股份、东软集团、多伦科技、浪潮软件、太极股份、中国软件。', '2018-07-08 21:26:45')
('承德教授看破股市：20年坚持只做一种股票，盈利至今，从未亏损！ $湖北能源 sz000883$ $长盛轴承 sz300718$ $长城电工 sh600192$ $太极股份 sz002368$ QueenieL的...', '2018-07-08 02:24:07')
('19岁股市奇才豪言：四阴收阳选股是100%盈利法，4分钟获28次掌声 $亚星锚链 sh601890$ $杭钢股份 sh600126$ $天翔环境 sz300362$ $太极股份 sz002368$ 李域悟看盘...', '2018-07-07 07:53:22')
('002368太极股份，优质计算机应用概念股，有启动三浪的迹象，关注！', '2018-07-07 06:50:03')
('水泥第一股停牌6年,今重组复牌,大股东怒持5000万股,下周或封妖王 $太极股份 sz002368$ $永福股份 sz300712$ $梅泰诺 sz300038$ $太阳能 sz000591$ 李域悟看盘...', '2018-07-07 03:47:59')
('收盘，小赚0.6%，盘中回撤10个点持仓：深信服、北方华创、泰格医药、江丰电子、太极股份、正海生物、大烨智能、圣邦股份。中午那么多人吹自主自控，那获利盘一砸自然就自助吃面了。深信服没砸，北方华创绿盘才减仓，圣邦继续加仓了。看好新高行情不变，慢熊市，有一句古话，牛市不言顶，熊 ...展开全文c', '2018-07-06 04:42:45')
('回复@哼哼哈嘿610:太极算是自主可控里有机会顶替中国软件的，但是目前已经涨到筹码密集区，除非放量突破接替中国软件龙头的地位，否则也有回调的风险。//@哼哼哈嘿610:太极股份这种，算是涨幅大的吗', '2018-07-06 03:32:29')
('周末要更替一下自选股了，北方华创和浪潮信息这种前期涨幅过大的，可能要暂时移出。加一些底部还没启动的进来', '2018-07-06 03:58:55')
('太极股份昨天因为板块拖累没有封板，大阳回落，今天补价中。这里是日线上零轴的重要位置。周线32.02之前消化过一次，日线压力35.02左右，国有企业，根红苗正，去杠杆的环境里，政治面貌清白很重要，你懂的', '2018-07-05 23:30:18')
('发布了头条文章：《太极股份(002368)：央企改革龙头股，游资4328万，新一轮反弹即将到来》 #麒麟财经# #投资达人# #中美贸易战# $太极股份 sz002368$ $猛狮科技 sz002684$ |太极股份(0...', '2018-07-05 23:14:50')
('$中石科技 sz300684$ $太极股份 sz002368$科沃斯 sh603486$长盈精密 sz300115$药明康德 sh603259$晓程科技 sz300139$ 风晓解股的...', '2018-07-05 23:11:15')
('发布了头条文章：《太极股份(002368)：蓄势待发，后市有望开启主升浪！》 #太极股份 sz002368[股票]# $太极股份 sz002368$ |太极股份(0...', '2018-07-05 22:28:21')
('大盘反弹承压5日线再次回落，当前反复震荡，整体结果依然不稳，但创业板表现坚定维持红盘，1500大关仍是重要支撑。科技板块在弱势行情中依然有所表现，尤其以国产芯片和软件为主，在贸易战下国产替代概念成为热点，注湘邮科技、太极股份、海特高新、北方华创等。', '2018-07-05 22:16:24')
('软件股如期大涨，早盘推荐的深信服、湘邮科技、卫宁健康、彩讯股份、太极股份等个股均涨幅居前。', '2018-07-05 21:40:25')
('发布了头条文章：《今日复盘：写在短期反弹之前》 #今日复盘# #财经头条长文# #上证指数# $九华旅游 sh603199$ $太极股份 sz002368$ $智动力 sz300686$ @微博股票 |今日复盘：...', '2018-07-05 10:12:25')
('发布了头条文章：《太极股份002368惊现罕见利好 ，将开启主升浪，翻倍上涨》 #太极股份 sz002368[股票]# #大盘~股市~股票~证券~中线~短线# #微博股票热议榜# |太极股份00...', '2018-07-05 07:54:54')
('收盘，小亏2.52%。持仓：北方华创、深信服、泰格医药、江丰电子、太极股份、正海生物、大烨智能、圣邦股份、汉嘉设计。行情没什么好说的了，考验2638的时候了。短线亏钱效应扩散，中线分化调整，还是那句话，耐心。', '2018-07-05 06:08:12')
('【盘中直播】诚迈科技、太极股份再次拉升，接下来如果有票能封死涨停，那么软件板块今天可能在爱吃上演涨停潮！大盘指数走得很弱，个股也表现萎靡，观望情绪浓厚。', '2018-07-05 00:45:44')
('兆日科技代表小芯片首先打板，核心技术中军中国软件和集成电路中军紫光、北方华创相互助攻，传统芯片里，股性最好的当为国科微，韧性最足。太极股份属于卡位龙头，卡中国软件', '2018-07-05 00:39:17')
('7月5日午评指数今天分时线是M头走势，临近午盘跳水，今天早评证券板块异动拉升，这个不是神助攻，这个是神经病助攻，熊市拉券商，那就是找死的；新锐科技，昨天天地板，今天自救目前看是失败了，需要休息了；芯片板块：300706阿石创连续两个涨停今天休息，今天兆日科技和太极股份都有冲板动作，芯片 ...展开全文c', '2018-07-04 23:56:05')
('其实这盘口，中国软件、浪潮信息、太极股份告诉你方向了！兆日科技作为四小金刚之一也告诉你机构是在害怕吗？', '2018-07-04 23:46:33')
('发布了头条文章：《A股重磅：太极股份+理工环科+上海凤凰，七月操作策略解读》 $太极股份 sz002368$ +$理工环科 sz002322$ +$上海凤凰 sh600679$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |A股重磅：...', '2018-07-04 23:44:14')
('盘中国产软件持续走强，荣科科技涨停，太极股份、中国软件、宝信软件、创业软件等纷纷盘中拉升。 盘前观点提示，机会层面关注软件的机会，再次完美预判。其中6月28日关注的$创业软件 sz300451$ 再创1个月新高，累计捕获涨幅超16%！（投资有风险，入市需谨慎）#个股追踪# #黄伟解析#', '2018-07-04 22:29:38')
('关于$中国软件 sh600536$ ：短期来看，连续上涨超50%；目前是关键时间节点，该股前高26元附近，离现在3-4%空间，接下来谨防回撤;整个软件板块都在看该股的脸色；另一只创业软件，这波上涨的量已经超越中国软件了，依旧看好中.(投资有风险，入市需谨慎）#个股追踪# #热点板块# ...展开全文c', '2018-07-04 23:16:16')
('#今日看盘#我在#新浪理财师#发布了投资观点【太极股份要涨停了】前两天推荐的 太极股份要涨停了 *仅供参考*今日策略如下 网页链接', '2018-07-04 23:00:00')
('实时播报：云计算板块全线回暖，龙头奥飞数据直线封板，光环新网、神州信息大涨7%，超图软件、浪潮信息、太极股份跟涨。', '2018-07-04 22:48:42')
('国产替代概念股盘中走强，国产软件方面，荣科科技涨停，太极股份涨超7%，神州信息涨超6%，中国软件、浪潮信息等涨超4%；芯片替代方面，兆日科技涨停，诚迈科技、创维数字、必创科技等纷纷大涨。#今日看盘# $上证指数 sh000001$', '2018-07-04 22:48:40')
('$宏川智慧 sz002930$ $超频三 sz300647$ $泰永长征 sz002927$ $欣锐科技 sz300745$ #牛股挖掘者# #强势之道# #短线老张擒牛# @微博股票国产替代概念股盘中走强，国产软件方面，荣科科技涨停，太极股份涨超7%，神州信息涨超6%，中国软件、浪潮信息等涨超4%；芯片替代方面，兆日科技涨停，诚迈 ...展开全文c', '2018-07-04 22:47:40')
('关注软件类个股。创业板的反弹先锋，如果大盘企稳，它们会很猛的。今天上午的表现也很不错。特别是股性好、资金流入稳的，像中国软件、浪潮软件、太极股份等。但是，我今天一般不会介入。如果明天有阴K线的话，我会考虑。买股，买阴不买阳。哈哈', '2018-07-04 22:45:09')
('早盘封板率不高，多只冲到涨停又被压下来，说明资金情绪还是比较低迷。创维数字中报业绩大增，股价震荡攀升，技术上已经走出多头排列，可重视太极股份，软件+中报业绩预增，走势比较靓', '2018-07-04 22:43:30')
('发布了头条文章：《后市带着小散一起飞：先导智能 太极股份 纳思达 第一创业》 $先导智能 sz300450$ $太极股份 sz002368$ $纳思达 sz002180$ $第一创业 sz002797$ \ue627 股票分析 \ue627 微博股票 #财经头条文章# #个股专业点评# \ue627 头条文章 |后市带着小...', '2018-07-04 22:30:11')
('软件龙头 600536中国软件 强势不改，今日再度逆市拉升5.50%，报25.5元。神州信息、深信服、太极股份等个股均大涨。', '2018-07-04 22:29:17')
('大A是要杀死股民信心啊。昨天几个粤港澳大湾区的票表现不错，市场极端低迷的时候 ，要看政策了。以前不行就炒央改、上海和深市本地股。还有个昨天的美光裁决，看太极股份能不能动动。小米下周上市，小米线能不能有带动。还有就是芯片和新能源的调整下的的前期强势股。', '2018-07-04 21:21:08')
('发布了头条文章：《太极股份002368 ：主力开启新一轮暴跌模式，本周此点将一绝成败》 $太极股份 sz002368$ #太极股份 sz002368[股票]#股票最热门#微博股票热议榜#股票分析[超话]\ue627 微博股票 |太极股份00...', '2018-07-04 05:27:54')
('收盘~~下午的恶劣情况在意料之中，所以上午一直在空仓看戏，上午只轻仓介入了三联虹普，这个虽然收盘跌的多，但是仓位小损失不大。下午金力泰被埋3％，绿色动力赚了4％，总体上今天买的股票还是赚的，昨天买的太极股份，路畅科技，中新科技今天都高抛了。大盘这个走势比花样跳水还精彩~~除了绿色动力 ...展开全文c', '2018-07-04 03:22:23')
('下周选方向？破位前强势突破，主力大量买入制造实体阳线吸眼球$太极股份 sz002368$ 壹支小仙女...', '2018-07-04 01:12:01')
('科技板块从6月22日开始有动作到7月3日8个交易日，上涨幅度较大有600536中国软件，000977浪潮信息，002368太极股份，600756浪潮软件，000555神州信息，300451创业软件，今天开始风格有转变科技股调整下行，钢铁，电力，有色，煤炭，等权重股票开始有向上动作，农业板块有动作', '2018-07-03 23:40:39')
('$太极股份 sz002368$ 该股短期反弹走势，几乎沿着5日线上涨，5日线上可继续持有', '2018-07-03 22:37:26')
('股市永不坑人的黄金铁律：股票七不买三不卖，句句经典，永珍藏 $山东高速 sh600350$ $平煤股份 sh601666$ $新安股份 sh600596$ $太极股份 sz002368$ 我的小蜗牛...', '2018-07-03 11:14:26')
('20180704基金公司机构持仓股点评：华宇软件300271太极股份002368(同步自@新浪看点)网页链接', '2018-07-03 02:59:06')
('软件股午后走强，荣科科技、中国软件涨停，润和软件、浪潮软件、网达软件、东华软件、太极股份、石基信息等涨幅均较大。', '2018-07-03 02:44:06')
('明天20180704我将在《大众证券报》上点评的两只股票是 $华宇软件 sz300271$ $太极股份 sz002368$', '2018-07-03 02:42:01')
('今天的走势几乎符合预期，早间强调今日将继续探底，然后大跌后将会反弹，能够站上2800，则短期继续反弹，不然底中还有底。目前国产软件涨幅在前，这些股都是前几日主力异动的个股，操作上继续关注这类主力异动的个股。如$久其软件 sz002279$ 、$太极股份 sz002368$ 、$浪潮软件 sh600756$ 、 ...展开全文c', '2018-07-03 02:23:17')
('记得几个票的周线都聊过的。浪潮信息三浪3，太极股份三浪，扬杰科技三浪3双回抽，北方华创三浪3', '2018-07-03 02:17:54')
('【太极股份：政务云建设步伐开始加速】太极股份（002368）在最新披露的投资者关系活动记录表中表示，公司已经成功打造北京市政务云标杆，并在海南、海口、山西等地推广，下一步将实现太极政务云体系和模式在全国更多区域快速部署和推广。公司依托传统政企客户的优势，政务云建设步伐开始加快。 ...展开全文c', '2018-07-02 10:31:41')
('涨势如潮直线狂飙，喜人走势大揭秘！$光线传媒 sz300251$ $太极股份 sz002368$ $南钢股份 sh600282$ $大秦铁路 sh601006$ \ue627 短线牛股 \ue627 投资达人说 #财经趣闻# 苍白自恋缠...', '2018-07-02 06:48:44')
