('A股27年一直赚钱的方法——“尾盘买入”牢记6句，可实现百亿梦想 $紫光学大 sz000526$ $国统股份 sz002205$ $南威软件 sh603636$ $贵研铂业 sh600459$ Ida真是异...', '2018-07-24 08:04:55')
('一旦股票出现“长上影线”试盘，坚决捂股，必有一波翻倍行情！ $国统股份 sz002205$ $晨光生物 sz300138$ $兄弟科技 sz002562$ $春兴精工 sz002547$ 我的小蜗牛...', '2018-07-10 19:20:58')
('广陆数测 广百股份 国统股份 合肥城建 邬过荡邬的...', '2018-07-10 09:38:15')
('股市永不骗人“三线金叉”千金难求口诀，过了今晚永久删除宜珍藏 $广汇物流 sh600603$ $三六五网 sz300295$ $国统股份 sz002205$ $长江通信 sh600345$ 3305079245...', '2018-07-10 04:08:50')
('预知后市是出是留，盲目没有方向的来，指点后市如何操。金风科技(sz002202) 海亮股份(sz002203) 大连重工(sz002204) 太平洋(sh601099) 国统股份(sz002205) 海利得(sz002206) 静心静唔的...', '2018-07-07 19:50:05')
('真正的短线高手每天只看盘一个小时，值得散户认真研读！ $国统股份 sz002205$ $国际实业 sz000159$ $华仪电气 sh600290$ $索菲亚 sz002572$ QueenieL的...', '2018-07-05 21:48:11')
('云投生态 九鼎新材 金风科技 海亮股份 大连重工 国统股份 股海大咖的...', '2018-07-04 02:25:57')
('A股唯一不会骗人的“周线选股”技巧曝光，句句经典，简单易懂！ $锦江B股 sh900934$ $晨光文具 sh603899$ $合力泰 sz002217$ $国统股份 sz002205$ 我的小蜗牛...', '2018-07-02 13:40:23')
('成都一女博士说破股市：一旦遇见“跌停式”试盘，百分百是大牛股 $天银机电 sz300342$ $镇海股份 sh603637$ $重庆港九 sh600279$ $国统股份 sz002205$ 李域悟看盘...', '2018-07-02 02:43:08')
('利好消息国统股份 海利得 *ST准油 合肥城建 天赐财金的...', '2018-07-01 07:45:28')
('发布了头条文章：《六月A股开启新征程，长白山+国统股份+濮阳惠成》 \ue627 股票交流 #上证指数 sh000001[股票]# #六月A股开启新征程，长白山+国统股份+濮阳惠成$长白山 sh603099$ $国统股份 sz002205$ $濮阳惠成 sz300481$ |六月A股开...', '2018-07-01 05:05:06')
('一旦股票出现“三线金叉”洗盘信号,打死也不要卖,股价将一路疯涨 $旷达科技 sz002516$ $国统股份 sz002205$ $美利云 sz000815$ $华信新材 sz300717$ 我的小蜗牛...', '2018-06-30 10:08:02')
('香港一女博士自暴“内盘外盘”口诀，庄家听后跪求删帖，建议珍藏 $信维通信 sz300136$ $楚江新材 sz002171$ $国统股份 sz002205$ $八一钢铁 sh600581$ 李域悟看盘...', '2018-06-30 04:27:07')
('利好消息：海亮股份 大连重工 国统股份 刘庆谈财的...', '2018-06-27 23:14:23')
('广州一女博士自暴“内盘外盘”口诀，庄家听后跪求删帖，建议珍藏 $国统股份 sz002205$ $厦门国贸 sh600755$ $江苏银行 sh600919$ $博信股份 sh600083$ 我的小蜗牛...', '2018-06-27 21:00:29')
('一旦股票出现“十字星”信号，坚决捂股，即将有一波暴涨行情！ $翔港科技 sh603499$ $旋极信息 sz300324$ $国统股份 sz002205$ $九牧王 sh601566$ 我的小蜗牛...', '2018-06-26 13:18:02')
('$游族网络 sz002174$ $全聚德 sz002186$ $劲嘉股份 sz002191$ $国统股份 sz002205$ 郑傅琦看盘...', '2018-06-25 21:09:14')
('错过格力电器,又一“中国芯片+智能家居”龙头曝光,18年封妖已定 $科大智能 sz300222$ $国统股份 sz002205$ $中顺洁柔 sz002511$ $初灵信息 sz300250$ 凌_BLove新...', '2018-06-25 15:02:57')
('发布了头条文章：《重磅消息：国统股份+苏垦农发+三变科技，本周操作策略解读》 $国统股份 sz002205$ +$苏垦农发 sh601952$ +$三变科技 sz002112$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |重磅消息：...', '2018-06-08 22:49:41')
('国统股份 海利得 *ST准油 合肥城建 股海大咖的...', '2018-06-08 01:09:37')
('发布了头条文章：《国统股份 宏达新材 合力泰 鱼跃医疗：庄家深套，自救开始？！》 $国统股份 sz002205$ $宏达新材 sz002211$ $合力泰 sz002217$ $鱼跃医疗 sz002223$ $上证指数 sh000001$ |国统股份 ...', '2018-05-31 23:10:30')
('发布了头条文章：《广百股份 如意集团 东晶电子 国统股份：整装待发，二次启动！》 $广百股份 sz002187$ $如意集团 sz002193$ $东晶电子 sz002199$ $国统股份 sz002205$ $上证指数 sh000001$ |广百股份 ...', '2018-05-25 03:45:01')
('雄安新区终于控制不了局面了，爆出史诗级的超级大利好：国统股份 彭曲评股的...', '2018-05-23 08:58:10')
('发布了头条文章：《国统股份(002205)：PPP概念股，遭11亿大单买入，18年能否乌鸡变凤》 #国统股份 sz002205[股票]# $国统股份 sz002205$ |国统股份(0...', '2018-05-21 10:55:24')
('金风科技 海亮股份 大连重工 国统股份 股海大咖的...', '2018-05-21 02:09:54')
('发布了头条文章：《20、002205国统股份：最新主力动向曝光 后市展望精准预测！》 #经济茶座# #新浪财经头条# #财经头条# #微博股票# #十大经济年度人物# #财富全球论坛# #一手财经数据# #财经趣闻# $国统股份 sz002205$ |20、002205...', '2018-05-06 02:52:27')
('利空：中房股份、国统股份中报预亏；牧原股份、红宝丽、伊戈尔、大庆华科、盈趣科技、国盛金控、奥普光电、裕同科技、安纳达、新宏泽、中核钛白中报预降；南岭民爆、银宝山新一季报预亏；坚瑞沃能年报预亏近37亿元；皇氏集团下修年报业绩预告；福鞍股份年报预降；猛狮科技、双杰电气终止筹划重大资产重 ...展开全文c', '2018-04-19 21:24:11')
('发布了头条文章：《主力惊天阴谋揭露：中昌数据 国统股份 美的集团 盈方微》 $中昌数据 sh600242$ $国统股份 sz002205$ $美的集团 sz000333$ $盈方微 sz000670$ #上证快讯# #头条文章# #微博股票热议榜# #股票# |主力惊天阴...', '2018-04-12 05:53:54')
('发布了头条文章：《国统股份002205：庄家多次布局，主力重金锁仓，有望荣登18年妖王宝》 #国统股份 sz002205[股票]# #乐视网 sz300104[股票]# #今日话题# #明日头条征文# |国统股份00...', '2018-04-08 01:57:47')
('发布了头条文章：《国统股份002205：震荡蓄势完毕,后势欲夺领涨大旗！》 $国统股份 sz002205$ #股票分析# #财经头条# |国统股份00...', '2018-04-07 05:23:09')
('发布了头条文章：《国统股份002205：箭已离弦，是百步穿杨，还是虚晃一枪？》 |国统股份00...', '2018-04-01 02:11:07')
('利空：西部建设、海能达、远大智能、云投生态、中原特钢、云南旅游、德奥通航、朗新科技、同洲电子、赛象科技、天马股份、国统股份、中航三鑫、青龙管业、东晶电子、星网锐捷、大东南、罗平锌电、霞客环保、ST巴士、*ST三泰、*ST圣莱、*ST东数一季报预亏；合肥城建、长盈精密、康力电梯、乐心医疗、英 ...展开全文c', '2018-03-29 21:15:15')
('国统股份这个大宝贝儿', '2018-03-23 02:57:16')
('个股利好：御家汇年报拟10转7派4；美亚柏科年报拟10转6派2；陕西金叶年报拟10送1转4派0.3；石化油服中标超12亿元输气管道工程；中原环保预中标7.6亿元环境治理PPP项目；蒙草生态联合预中标2.56亿元PPP项目；维尔利中标近6000万元项目；国统股份预中标5112万元PPP项目；', '2018-03-22 21:32:38')
('个股利好：御家汇年报拟10转7派4；美亚柏科年报拟10转6派2；陕西金叶年报拟10送1转4派0.3；石化油服中标超12亿元输气管道工程；中原环保预中标7.6亿元环境治理PPP项目；蒙草生态联合预中标2.56亿元PPP项目；维尔利中标近6000万元项目；国统股份预中标5112万元PPP项目；东北电气签署保理业务合同；云南 ...展开全文c', '2018-03-22 21:29:05')
('3.23【重大事项】中毅达：涉嫌信披违规 遭证监会立案调查蒙草生态：联合预中标2.56亿元PPP项目金龙机电：控股股东部分质押股票逾期违约 ...展开全文c', '2018-03-22 21:21:57')
('国统股份（002205）$国统股份 sz002205$ ：预中标5112万元PPP项目公司预中标河北唐山芦台经济开发区环境综合治理PPP项目海北镇污水处理厂工程，项目总投资5112.91万元，约占公司2016年营业总收入的8.51%。', '2018-03-22 21:14:24')
('有规模的资金偷偷吸货央改概念股，贸易战开，能有个低点的话可以考虑，关注中环装备，大庆华科，西仪股份，国统股份，南京熊猫，凌云股份，北化股份，……叠加军民融合概念的标的', '2018-03-22 19:48:05')
('国改小票:上海三毛，大庆华科，开开实业，国统股份，林海股份，云投生态，中公高科，西安饮食，标准股份，津劝业，大连热点，南纺股份等等。', '2018-03-22 10:03:09')
('个股公告集锦：金龙机电：控股股东部分质押股票逾期违约中成股份：公司尚未研究过涉及央企混改相关事项中原环保：联合预中标7.6亿元PPP项目隆平高科：与北京农林科学院签署战略合作协议。国统股份：预中标5112万元PPP项目石化油服：中标超12亿元工程项目', '2018-03-22 08:47:40')
('国统股份 也不说等等我 艹 我的突击队还在别处战斗你就爆了', '2018-03-22 06:40:26')
('发布了头条文章：《002205 国统股份：最新消息出炉,最佳布局信号！》 #财经头条文章# #股票分析# $国统股份 sz002205$ |002205 国...', '2018-03-22 06:11:56')
('还不错，刚刚公开提示的$国统股份 sz002205$ 拉起！', '2018-03-22 02:05:43')
('#股票#水泥建材盘中多次出现异动，四川双马早盘直线拉升在涨停板附近震荡，午后万里石直线拉升超六个点，福建水泥、博闻科技、国统股份以及深天地A等个股涨幅超2%。短线可以关注：四川双马（000935）博闻科技（600883）万年青（000789）个人观点仅供参考，投资有风险入市需谨慎。', '2018-03-22 01:41:44')
('如果央企改革有持续性，像$国统股份 sz002205$ 这样的微型上市公司绝对值得关注', '2018-03-20 22:46:31')
('#大盘直击#【快讯：雄安概念股强势拉升 丝路视觉、太空板业涨停】3月20日消息，雄安概念股强势拉升，丝路视觉、太空板业涨停，建科院、岭南股份、北新建材、韩建河山、国统股份涨幅均超5%，板块内其他个股均有不同幅度拉升。|快讯：雄安...', '2018-03-20 01:47:02')
('发布了头条文章：《重磅消息：国统股份+哈三联+新华都，本周详细操作策略》 $国统股份 sz002205$ +$哈三联 sz002900$ +$新华都 sz002264$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |重磅消息：...', '2018-03-20 00:51:01')
('雄安板块近期整体呈现调整，但个股是分化表现，4.1日就是雄安一周年了，到时候大概率会有一些会议和政策出来，今日岭南股份，丝路视觉，国统股份，北新建材，乐凯新材提前异动~！', '2018-03-20 00:45:11')
('雄安板块近期整体呈现调整，但个股是分化表现，今日岭南股份，丝路视觉，国统股份，北新建材，乐凯新材等均出现超5%的大胡子那个，板块上周是调整的一周，本周支撑在1008附近。#今日看盘# #投资达人说# $合肥城建 sz002208$ $中成股份 sz000151$ @微博股票', '2018-03-19 23:46:06')
('发布了头条文章：《A股今日重点关注：国统股份+华森制药+岭南股份+丝路视觉》 #新浪股吧# #新浪理财师# #上证快讯# $国统股份 sz002205$ $华森制药 sz002907$ $岭南股份 sz002717$ $丝路视觉 sz300556$ |A股今日重...', '2018-03-19 22:48:26')
('实时播报：【国企改革板块表现持续强势 国投中鲁等5股涨停】国企改革板块表现抢眼，国电南自、轴研科技、国投中鲁、国机通用、林海股份涨停，国统股份、大庆华科、滨海能源等均有较大涨幅。', '2018-03-19 22:42:19')
('发布了头条文章：《A股走势揭开面纱：国统股份+华森制药+岭南股份+丝路视觉》 $国统股份 sz002205$ $华森制药 sz002907$ $岭南股份 sz002717$ $丝路视觉 sz300556$ #上证快讯# |A股走势揭...', '2018-03-19 22:15:02')
('【央企改革板块持续走强 龙源技术等7只个股涨停】央企改革板块持续走强，龙源技术、轴研科技、金自天正、国投中鲁、同达创业、国机通用、林海股份等七只个股涨停，国统股份、北矿科技、大庆华科纷纷跟涨。', '2018-03-19 22:14:39')
('|武小松的图...【水泥】水泥板块补位活跃，龙1国统股份，龙2北新建材，龙3万年青，主要还是受到地方国改的带动，消息上水泥价格上周首现全国性回升。其中，价格报涨区域主要是华北、西北和西南局部地区，幅度30-90元/吨不等，其中新疆、内蒙和重庆等地报涨幅度较大，均在50-90元/吨。', '2018-03-19 22:14:28')
('【央企改革板块再度走强 国投中鲁等5股涨停】周二，沪指低开后震荡上行，盘中央企改革板块再度走强，龙源技术、轴研科技、国投中鲁、国机通用直线封板，林海股份涨停，此外国统股份、瑞泰科技、东安动力等也纷纷跟涨。', '2018-03-19 21:14:59')
('【国资委：第三批混改试点名单有望上半年公布】国务院国资委主任肖亚庆19日透露，第三批混改试点企业名单有望于今年上半年公布。他说，“由于混改涉及到一些上市公司，市场较为敏感，需要等最终方案研究确定好了才能公布，但是我想会很快。”|国资委：第...', '2018-03-19 22:11:10')
('发布了头条文章：《未来股市走势大揭秘：鄂尔多斯 国旅联合 新大洲Ａ 国统股份 》 |未来股市走...', '2018-03-15 07:30:49')
('发布了头条文章：《本周最新利好曝光：国统股份+士兰微+游久游戏+鹿港文化》 |本周最新利...', '2018-03-08 04:56:36')
('个股利好信息#黑马股骑士#创新股份年报拟10转10派11；华测导航年报拟10转10派2.7；国泰集团年报拟10转4派1；深赤湾A年报拟10派13.9；山鼎设计一季报大幅预增；国统股份中标16.5亿元两PPP项目； ...展开全文c', '2018-03-06 20:28:20')
('#重要公告集锦#【3月7日】国统股份（002205）3月6日晚间公告，公司确定中标的八里湖新区市政基础设施PPP项目，项目总投资2.08亿元。同时，公司联合体中标呼伦贝尔市交通运输局省道202线伊敏至红花尔基段一级公路PPP项目，项目预算总投资14.5亿元。 |3月7日重要...', '2018-03-06 18:43:03')
('002294:信立泰,002205:国统股份,002317:众生药业,002208:合肥城建,002298:中电鑫龙,002280:联络互动,002349:精华制药,002363:隆基机械,002390:信邦制药,002399:海普瑞,002467:二六三网页链接', '2018-03-06 06:48:05')
('$冀东水泥 sz000401$ 涨停，带动水泥板块走强，龙二金隅集团涨7%、国统股份、上峰水泥涨5%。', '2018-02-21 22:23:39')
('20180208公告淘金迅游科技：子公司增资控股 引入腾讯等战投方国统股份：联合预中标14.54亿元呼伦贝尔一级公路PPP项目汉鼎宇佑：一季度净利预增5倍金贵银业：2017年度分配拟10转10派1元', '2018-02-07 20:49:55')
('个股利好：金贵银业年报拟10转10派1；凯龙股份年报拟10转6派2；江南高纤年报拟10转5派1.5；凯乐科技一季报大幅预增；卓翼科技一季报扭亏为盈；国统股份联合预中标14.54亿元呼伦贝尔一级公路PPP项目； ...展开全文c', '2018-02-07 20:21:59')
('国统股份（002205）：联合预中标呼伦贝尔一级公路PPP项目预算总投资14.54亿元柯利达（603828）：预中标幕墙工程项目迅游科技(300467)：子公司增资控股引入腾讯等战投方龙建股份（600853）：中标8.4亿元PPP项目安凯客车（000868）：签署1.92亿元海外销售合同国祯环保（300388）：预中标污水处理厂 ...展开全文c', '2018-02-07 20:20:58')
('国统股份2月7日晚间公告，公司与中交隧道工程局有限公司、新疆国统管道股份有限公司组成的联合体，预中标呼伦贝尔市交通运输局省道202线伊敏至红花尔基段一级公路PPP项目。根据招标文件，该项目核准施工图设计预算总投资为14.54亿元，占公司2016年度总营收的242.06%。', '2018-02-07 19:31:21')
('实时播报：国统股份：联合体预中标呼伦贝尔市交通运输局省道202线伊敏至红花尔基段一级公路PPP项目，项目预算金额16.23亿元，预算总投资占公司2016年度经审计的营业总收入的242.06%。', '2018-02-07 06:45:37')
('发布了头条文章：《最新重磅牛股：朗博科技+民生银行+华统股份》 $朗博科技 sh603655$民生银行 sh600016$国统股份 sz002205$#股票#A股# |最新重磅牛...', '2018-02-01 06:58:29')
('#股市大赢家#个股利好信息S*ST前锋股改方案拟10转25；星云股份年报拟10转10派1；新纶科技、金一文化一季报大幅预增；东阳光科、铜陵有色、花园生物年报大幅预增；国统股份、如意集团上调年报预告；中兴通讯拟定增募资总额不超过130亿元投5G项目 ...展开全文c', '2018-01-31 19:56:11')
('国统股份 这会计手法玩得真不要脸', '2018-01-31 06:15:14')
('国统股份上修业绩预告：预计2017年盈利1450万元-2100万元，同比增长8.79%-57.56%，此前预计净利润350万元至1000万元；由于2017年部分正在履行的合同因业主方工程进度加快的原因，导致公司第四季度业绩超出预期。', '2018-01-31 03:33:45')
('既在江湖内，就是苦命人 创业板我看有人说今天让人包饺子了 其实不然到时主板要小心 但是创业板有不是铁板一块也是二八现象 方向目前我猜还是震荡往上 短期暂时这样符合各方利益 昨天想投机一把雄安今天发现不对劲就又跑了这个国统股份要是解套还真难 目前的行情还是上山打游击好', '2018-01-25 03:25:22')
('中材集团旗下A股公司包括中材国际(600970)、宁夏建材(600449)、中材节能(603126,)、祁连山(600720)、中材科技(002080,)、天山股份(000877)、国统股份(002205)。中国建材集团旗下A股公司包括北新建材(000786)、中国巨石(600176,)、洛阳玻璃(600876)、瑞泰科技(002066)、方兴科技(600552)。', '2018-01-14 07:39:40')
('发布了头条文章：《国统股份002205：下面支撑位已明确，股民：开盘满仓了》 $国统股份 sz002205$ |国统股份00...', '2018-01-13 21:41:49')
('永安行 昨天盘中杀了他一个回马枪 今天扔了不要了 好多我喜欢的都在地下躺着呢 可气的是雄安启动我的国统股份还没来及加重仓 就起来 目前看来要解套还得再等很长时间了 艹', '2018-01-03 23:10:14')
('发布了头条文章：《国统股份(002205)：主力疯狂抢筹逆势反转，后市一骑绝尘!》 $国统股份 sz002205$ #短线牛股# |国统股份(0...', '2018-01-03 01:42:38')
('发布了头条文章：《主力蠢蠢欲动：苏宁云商+国统股份+通产丽星》 |主力蠢蠢欲...', '2017-12-30 04:16:34')
('发布了头条文章：《你真的会看盘吗？关于盘口语言的干货分享》 $北新建材 sz000786$ $兔宝宝 sz002043$ $瑞泰科技 sz002066$ $国统股份 sz002205$ $东方雨虹 sz002271$ |你真的会看...', '2017-12-20 05:01:54')
('$国统股份 sz002205$#央企混改# 国统股份002205从MACD、KDJ上看超跌筑底中现在是提前潜伏好时机。', '2017-12-14 19:30:40')
