('东江环保 西部证券 兴业科技 东诚药业 顺威股份 股海大咖的...', '2018-07-24 04:10:19')
('发布了头条文章：《主力巨资建仓：飞鹿股份 东江环保 外运发展 慈文传媒 》 $飞鹿股份 sz300665$ $东江环保 sz002672$ $外运发展 sh600270$ $慈文传媒 sz002343$ \ue627 股票分析 \ue627 微博股票 #财经头条文章# #个股专业点评# \ue627 头条文章 |主力巨资建...', '2018-07-17 05:23:02')
('【东江环保：丰城市环保局同意子公司江西东江恢复生产】东江环保7月15日晚公告，公司全资子公司江西东江7月13日收到江西省丰城市环保局下发的《行政处罚决定书》及申请恢复生产的复函：因公司二燃室温度存在低于环评要求，存在不正常运行污染防治设施的情形，对江西东江罚款50万元；核查结果表明，江西 ...展开全文c', '2018-07-16 22:21:48')
('发布了头条文章：《东江环保(002672)：重磅利好，下周望开启暴涨模式！》 $东江环保 sz002672$ \ue627 红包行情 #财经头条文章# $三变科技 sz002112$ |东江环保(0...', '2018-07-16 06:21:52')
('网页链接 东江环保[股评](00895)公布，公司获悉，该公司全资子公司江西东江于2018年7月13日收到江西省丰城市环保局下发的...|东江环保(0...', '2018-07-16 03:54:51')
('香港一教授终于把“KDJ+MACD”讲明白，背熟7句，下个股神就是你 $万向德农 sh600371$ $东江环保 sz002672$ $浙大网新 sh600797$ $东方铁塔 sz002545$ 姚晓浪的秒...', '2018-07-16 03:13:28')
('东江环保：丰城市环保局同意子公司江西东江恢复生产-股票频道-金融界 |东江环保：...', '2018-07-15 22:02:34')
('周末利好：中国股市震惊全球消息，或者开启主升浪模式$新集能源 sh601918$$永辉超市 sh601933$$东江环保 sz002672$ 古泽选股的...', '2018-07-14 22:29:09')
('科信技术 :主力超强势来袭?散户注意此点! $延华智能 sz002178$ $民盛金科 sz002647$ $银泰资源 sz000975$ $东江环保 sz002672$ 姚晓浪的秒...', '2018-07-14 13:29:19')
('就刚刚11.35分，A股风口放出紧急消息：中午错过让你睡不好觉！$新集能源 sh601918$$永辉超市 sh601933$$东江环保 sz002672$ 古泽选股的...', '2018-07-12 23:38:15')
('东江环保（002672）：环保第一龙头，逆市拉升，散户的福利！ #楚天高速 sh600035[股票]# #华夏银行 sh600015[股票]# #中国医药 sh600056[股票]# #华润双鹤 sh600062[股票]# 步凯分析的...', '2018-07-12 03:59:29')
('发布了头条文章：《月中再迎布局时：成都路桥 东江环保 思美传媒 索菱股份》$成都路桥 sz002628$ $东江环保 sz002672$ $思美传媒 sz002712$ $索菱股份 sz002766$ \ue627 财经头条文章 |月中再迎布...', '2018-07-12 03:17:41')
('科大讯飞：最不可思议的一只，被主力684亿资金抢筹，股民吐槽：居然天天都是新低#东江环保 sz002672[股票]# #万隆光电 sz300710[股票]# 小雅分析的...', '2018-07-12 02:52:32')
('就刚刚10.50分，A股迎来世界级重磅消息，散户的春天来了！$新集能源 sh601918$$永辉超市 sh601933$$东江环保 sz002672$ 郭老师看盘...', '2018-07-11 22:52:17')
('发布了头条文章：《主力走势追踪：凯文教育+东江环保+东诚药业》 $凯文教育 sz002659$ #股票分析# |主力走势追...', '2018-07-11 02:43:00')
('A股“崩盘”是恐惧还是机会，本周将开启全面反攻！散户抓住罕见机会！坐等涨停！#东江环保 sz002672[股票]# #万隆光电 sz300710[股票]# 小雅分析的...', '2018-07-11 01:58:08')
('A股唯一“不骗人”的MACD顺口溜，熟读3句不再被洗出局！ $东江环保 sz002672$ $聚飞光电 sz300303$ $冀中能源 sz000937$ $大化B股 sh900951$ 李域悟看盘...', '2018-07-10 14:14:10')
('发布了头条文章：《东江环保002672 ：底部金叉暗藏暴涨信号，此压力位将一绝成败》 $东江环保 sz002672$ #东江环保 sz002672[股票]#股票分析[超话]#微博股票热议榜#微博股票[超话]#热门股票点评# |东江环保00...', '2018-07-10 07:29:38')
('行情暴跌个股筹码已经出现了异常，不知道是出是留?投资股票可以加wei信：wangshi5202010，指导最佳买卖点和解套方法，总可以为你指点迷津，任子行(sz300311) 宜通世纪(sz300310) 人民网(sh603000) 东江环保(sz002672) 天山生物(sz300313) 龙泉股份(sz002671)', '2018-07-10 05:40:10')
('A股暴跌背后的玄机，一只神秘的大手在幕后操纵，暴跌只为带给股民惊天转机#东江环保 sz002672[股票]# #万隆光电 sz300710[股票]# 小雅分析的...', '2018-07-10 04:58:04')
('大事件“医药+次新”利好板块袭来，底部现金叉,本月或飙涨#汇金通 sh603577[股票]# #激智科技 sz300566[股票]# #东江环保 sz002672[股票]# #万隆光电 sz300710[股票]# 逸帆分析的...', '2018-07-09 23:01:44')
('Joyce老师的部分优秀企业客户：东江环保、罗湖书城、铁马高尔夫，等', '2018-07-09 22:21:49')
('股市永不坑人的黄金铁律：股票七不买三不卖，句句经典，永珍藏 $万邦达 sz300055$ $江苏国泰 sz002091$ $小天鹅A sz000418$ $东江环保 sz002672$ 李域悟看盘...', '2018-07-09 03:02:12')
('发布了头条文章：《东江环保+龙泉股份+奥马电器+康达新材:能否满仓抄底买入？附操作技巧》 $东江环保 sz002672$ $龙泉股份 sz002671$ $奥马电器 sz002668$ $康达新材 sz002669$ \ue627 股票分析 |东江环保+...', '2018-07-08 22:52:49')
('北京文化：从42跌至10元，神秘资金64亿狂拉，股民：满仓杀入，豪车有了！#东江环保 sz002672[股票]# #万隆光电 sz300710[股票]# 小雅分析的...', '2018-07-08 04:52:17')
('上海67岁老教授自暴：“内盘外盘”顺口溜，字字抖金，值得散户收 $东江环保 sz002672$ $国脉科技 sz002093$ $中捷资源 sz002021$ $锦龙股份 sz000712$ 我的小蜗牛...', '2018-07-08 02:05:58')
('北京教授扬言：股市唯一不骗人“月线选股”，从未亏过，建议收藏 $奥马电器 sz002668$ $东江环保 sz002672$ $爱婴室 sh603214$ $宏盛股份 sh603090$ 3305079245...', '2018-07-07 04:07:30')
('鞍重股份 奥马电器 康达新材 国盛金控 龙泉股份 东江环保 股海大咖的...', '2018-07-06 05:00:48')
('#世界杯经济学#我刚刚调仓了微博股票组合网页链接，以成交价13.09卖出$东江环保 sz002672$。', '2018-07-06 02:28:57')
('20岁股市奇才豪言：盘口选股是100％盈利方法，5分钟获28次掌声 $数字政通 sz300075$ $金陵饭店 sh601007$ $东江环保 sz002672$ $骅威文化 sz002502$ 寻找记忆00...', '2018-07-05 11:15:26')
('德联集团 东江环保 东诚生化 石中装备 东易日盛 小伊看盘的...', '2018-07-05 10:05:23')
('#7月4日券商晨会研报汇编#【东吴证券】环保工程及服务：从现金流角度寻找内生成长能力的公司！建议关注：国祯环保、伟明环保、中金环境、东江环保、蓝焰控股、龙马环卫、龙净环保、聚光科技。网页链接', '2018-07-03 20:51:12')
('庄家最害怕你知晓的MACD+KDJ选股，堪称经典，一旦知晓股市变印钞 $ST昌鱼 sh600275$ $东江环保 sz002672$ $西水股份 sh600291$ $森远股份 sz300210$ QueenieL的...', '2018-07-03 20:34:55')
('北京一女博士自白“内盘外盘”口诀，庄家听后跪求删帖，永久珍藏 $日发精机 sz002520$ $*ST宜化 sz000422$ $东江环保 sz002672$ $高新兴 sz300098$ 我的小蜗牛...', '2018-07-03 13:06:25')
('发布了头条文章：《002672 东江环保：重磅黑马股来袭，后期走势成妖》\ue627 短线牛股 \ue627 股票推荐 #股市投资思维# $东江环保 sz002672$ |002672 东...', '2018-07-03 06:03:13')
('一位股海高手20年悟出成交量炒股战法，学会出手就是强势股！精辟 $东江环保 sz002672$ $海航控股 sh600221$ $国光股份 sz002749$ $*ST宁通B sz200468$ 李域悟看盘...', '2018-07-03 03:58:41')
('环保风暴席卷东江环保！子公司总经理被捕，股价跳水至历史低位(同步自@新浪看点)网页链接', '2018-07-03 03:32:35')
('重点不能漏！不想被套？看见这根线马上走，能跑多远跑多远！ $东江环保 sz002672$ $德生科技 sz002908$ 杨超分析的...', '2018-07-03 02:18:43')
('发布了头条文章：《七月A股开启新征程，东江环保+腾龙股份+城地股份》 \ue627 股票交流 #上证指数 sh000001[股票]# #七月A股开启新征程，东江环保+腾龙股份+城地股份$东江环保 sz002672$ $腾龙股份 sh603158$ $城地股份 sh603887$ |七月A股开...', '2018-07-02 05:12:48')
('82岁老股民留给孙子：1个指标CCI+2根均线，股市就提款机 $东江环保 sz002672$ $先导智能 sz300450$ $悦达投资 sh600805$ $报喜鸟 sz002154$ 我的小蜗牛...', '2018-07-02 02:48:14')
('实时播报：【环保高压持续 多公司领关注函】上周（6月25日至29日），沪深交易所发出各类问询函件36封（已披露部分，下同），包括深交所30封，上交所6封。上市公司环保问题是关注的重点，众兴菌业、沙钢股份、蓝丰生化、辉丰股份及东江环保等因此收到问询函。', '2018-07-01 20:06:12')
('20岁股市奇才豪言：盘口选股是100％盈利方法，5分钟获28次掌声 $市北B股 sh900902$ $东江环保 sz002672$ $盈峰环境 sz000967$ $*ST蓝科 sh601798$ 我的小蜗牛...', '2018-07-01 11:32:49')
('东江环保公益活动我们在行动。', '2018-07-01 09:18:14')
('2018年7月1日东江环保公益活动。我们在行动。垃圾不落地，东江更美丽。为公益事业出份力。我们行动起来了。 |东莞·桥头...', '2018-07-01 09:17:06')
('我发表了头条文章:《环保督察“回头看”生效 东江环保加速整改》 |环保督察“...', '2018-06-30 19:01:17')
('股市里400%MACD赚钱口诀：“正区死叉”，看跌；负区死叉”，看涨$奥瑞德 sh600666$ $宏川智慧 sz002930$ $*ST天业 sh600807$ $东江环保 sz002672$ 胡亦彰的秒...', '2018-06-30 18:10:44')
('82岁老股民留给孙子：1个指标CCI+2根均线，股市就提款机 $东江环保 sz002672$ $*ST新亿 sh600145$ $百花村 sh600721$ $大连友谊 sz000679$ 我的小蜗牛...', '2018-06-30 09:32:35')
('【令人大跌眼镜 触目惊心】• 东江环保昨日再度跌停，江西东江总经理涉罪被逮捕。•• 第一批中央环境保护督察“回头看”已通报32起环境违法问题，所进驻的10个省区无一幸免。••• 说是再生资源循环经济示范区，实则不过一个“垃圾”产业园……。 宁夏自治区白芨滩国家级自然保护区所进行的 ...展开全文c', '2018-06-28 11:29:46')
('都错了，这才是“成交量”准确的使用方法,如果学会,炒股犹如提款$奥瑞德 sh600666$ $宏川智慧 sz002930$ $*ST天业 sh600807$ $东江环保 sz002672$ 胡亦彰的秒...', '2018-06-28 11:09:17')
('南宁一女博士豪言“CCI”顺口溜，庄家听后跪求删帖，建议珍藏$奥瑞德 sh600666$ $宏川智慧 sz002930$ $*ST天业 sh600807$ $东江环保 sz002672$ 胡亦彰的秒...', '2018-06-28 10:26:26')
('发布了头条文章：《7月首席妖王震撼登场！洽洽食品+东江环保+华英农业+紫鑫药业》 $洽洽食品 sz002557$ $东江环保 sz002672$ $华英农业 sz002321$ $紫鑫药业 sz002118$ #个股推荐与走势分析# #短线牛股# #上证指数 sh000001[股票]# |7月首席妖...', '2018-06-28 05:22:42')
('实时播报：【东江环保：未出现因环保问题被监管部门要求停产整改情形】东江环保最新披露的投资者关系活动记录表称，预计江西省环保厅将就媒体报道情况进行第二次复核，具体完成时间尚不确定。经核查，公司及其他子公司目前经营正常，未出现因环保问题被监管部门要求停产整改的情形。目前事件结果仍需进 ...展开全文c', '2018-06-28 03:35:58')
('#校园# 【松坪第二小学：小学六年，服务孩子幸福人生六十年】身处深圳硅谷，周边上市企业、高科技企业云集的松坪第二小学，开门开放办学，充分挖掘社区教育资源，校企合作开发创新实践课程， 建立了健康元太太口服液、东江环保、华润怡宝、光韵达等学生创新实践教育基地，为学生打开一个开 ...展开全文c', '2018-06-28 03:20:42')
('【央视点名东江环保排放数据造假 公司否认篡改】央视《朝闻天下》栏目6月25日曝光了东江环保股份有限公司的江西丰城项目。报道称，该项目排放数据涉嫌人为操纵并造假。东江环保认为该项目公司没有篡改监测设备数据。公司将配合监管部门取证，还原事实真相。 |央视点名东...', '2018-06-28 01:16:27')
('【央视点名东江环保排放数据造假 公司否认篡改】真相尚未水落石出。券商研报认为，此次事件会促使监管机构提高对危废处理企业的监管力度，提升企业运营成本|央视点名东...（来自财新客户端）', '2018-06-27 22:53:22')
('发布了头条文章：《东江环保002672:最新主力动向曝光，近期走势明显》$东江环保 sz002672$ \ue627 财经头条文章 \ue627 股票分析 \ue627 短线牛股 |东江环保00...', '2018-06-27 22:16:58')
('#资金风向#【市场再次大跌资金买入中国软件】周三，市场再次大幅下跌，上证盘中跌破2800点整数关口，深成指更是创出短期新低，权重跌幅明显。主力合计净流出221亿元。龙虎榜上，营业部资金净买入前三的是中国软件、中信建投、东江环保，金额分别达0.54亿元、0.44亿元、0.38亿元。', '2018-06-27 20:54:21')
('周三龙虎榜上，营业部资金净买入前三的是中国软件、中信建投、东江环保，金额分别达0.54亿元、0.44亿元、0.38亿元。中国软件主要从事软件及信息产品开发、软件信息服务及软件出口的高新技术企业，是A股唯一一家有LINUX操作系统与办公软件的企业。', '2018-06-27 19:12:56')
('MACD背离准确判断买卖点，一买就上涨,赚钱原来这么简单!$奥瑞德 sh600666$ $宏川智慧 sz002930$ $*ST天业 sh600807$ $东江环保 sz002672$ 胡亦彰的秒...', '2018-06-27 18:14:10')
('#东江环保 sz002672[股票]# 周三下跌10.01%。公司是国内唯一的深港两地上市环保企业，致力于工业和市政废物的资源化利用与无害化处理，配套发展水治理、环境工程、环境检测等业务，构建完整产业链。公司拥有危废处置能力逾160万吨，在全国危废行业领先优势明显。公司实控人为广东省国资委。公司2018年 ...展开全文c', '2018-06-27 09:19:55')
('A股顶尖操盘手倾心分享的主升浪技巧 预见大胆买进$新集能源 sh601918$$永辉超市 sh601933$$东江环保 sz002672$ 江雅凡分析...', '2018-06-27 08:45:11')
('$东江环保 sz002672$ ，利空下跌。', '2018-06-27 08:27:42')
('《明明浓烟“滚滚”，数据却显示空气达标“猫鼠同盟”如何造假？》2016年11月，中央第四环境保护督察组曾指出江西东江环保企业存在危险废物经营许可证许可范围超出实际处置能力的问题。网页链接', '2018-06-27 04:19:52')
('网页链接 东江环保[股评]（00895）H股于本周一（25日）急泻17.9%后，昨日一度反弹5.1%，现价续走低5.15%，报9....|东江环保挫...', '2018-06-27 04:15:00')
('东江环保 呵', '2018-06-27 03:59:27')
('发布了头条文章：《7月首席妖王震撼登场！国旅联合+罗平锌电+东江环保+康尼机电》 $国旅联合 sh600358$ $罗平锌电 sz002114$ $东江环保 sz002672$ $康尼机电 sh603111$ \ue627 财经头条文章 \ue627 股票分析 #财经事# |7月首席妖...', '2018-06-27 03:25:09')
('#投资达人说# #今日看盘# 【午间公告：东江环保子公司总经理等三人遭逮捕；春兴精工实控人拟增持】财联社6月27日讯，多家公司发布午间公告，中工国际与厄瓜多尔公共工程管理委员会签署了厄瓜多尔乔内医院项目商务合同。合同金额为5466.95万美元，合同工期20个月。宝通科技预计上半年盈利13881.10万元-1 ...展开全文c', '2018-06-27 02:02:39')
('【午间公告】：东江环保全资子公司江西东江总经理及两名安环工作人员，昨日因涉嫌破坏计算机信息系统罪被江西省丰城市公安局执行逮捕，目前江西东江试生产正常。春兴精工实控人孙洁晓计划12个月内，以不超8000万元增持公司股份。新美星非公开发行股票申请遭否。宝通科技半年度净利润预增30%至60%。中工 ...展开全文c', '2018-06-27 01:18:06')
('多家公司发布午间公告，$中工国际 sz002051$ 与厄瓜多尔公共工程管理委员会签署了厄瓜多尔乔内医院项目商务合同。合同金额为5466.95万美元，合同工期20个月。$宝通科技 sz300031$ 预计上半年盈利13881.10万元-17084.43万元，同比上升30%-60%。$东江环保 sz002672$ 全资子公司江西东江总经理及两名安环 ...展开全文c', '2018-06-27 01:12:26')
('东江环保被央视曝光不环保 A H股联手暴跌(同步自@新浪看点)网页链接', '2018-06-27 00:55:13')
('A股32年一直盈利的方法——“尾盘买入”,背熟5句，可抵万卷股票$超频三 sz300647$ $万华化学 sh600309$ $方大炭素 sh600516$ $东江环保 sz002672$ 鬼手老周看...', '2018-06-26 22:54:33')
('发布了头条文章：《中国股市：“利好”变“利空”！A股将出现惊天巨变！》 $弘海高新资源 hk00065$超频三 sz300647$宁德时代 sz300750$方大炭素 sh600516$宏川智慧 sz002930$东江环保 sz002672$ |中国股市：...', '2018-06-26 22:44:46')
('『股票代码：002672 股票简称：东江环保 公告编号：2012－4』网页链接', '2018-06-26 19:26:24')
('上海炒股冠军分享：终于把庄家吸筹说透彻了，学会轻松跟庄获利！$奥瑞德 sh600666$ $宏川智慧 sz002930$ $*ST天业 sh600807$ $东江环保 sz002672$ 胡亦彰的秒...', '2018-06-26 11:24:19')
('发布了头条文章：《7月涨停潮震撼来袭！露天煤业+中国太保+东江环保+白云机场》 $露天煤业 sz002128$ $中国太保 sh601601$ $东江环保 sz002672$ $白云机场 sh600004$ \ue627 股票分析 #个股推荐与走势分析# #短线牛股# |7月涨停潮...', '2018-06-26 08:39:22')
('利好消息：奥瑞德 *ST天业 东江环保 刘庆谈财的...', '2018-06-26 07:22:47')
('发布了头条文章：《东江环保002672王者归来，股东8900万股增持，一飞冲天》 #东江环保 sz002672[股票]# #大盘~股市~股票~证券~中线~短线# #微博股票热议榜# |东江环保00...', '2018-06-26 07:05:35')
('发布了头条文章：《002672东江环保：主力频频震仓，谁在诱骗散户“下车”？》 $东江环保 sz002672$ $上证指数 sh000001$ #投资达人说# #股票分析# #财经头条文章# |002672东江...', '2018-06-26 06:17:29')
('发布了头条文章：《超级涨停潮震撼登场！节能风电+恒源煤电+中恒集团+东江环保》 $节能风电 sh601016$ $恒源煤电 sh600971$ $中恒集团 sh600252$ $东江环保 sz002672$ \ue627 财经头条文章 \ue627 股票分析 #财经事# |超级涨停潮...', '2018-06-26 05:40:00')
('上海一女博士看破股市“内盘外盘”口诀，只分享一次，凌晨就删 $超频三 sz300647$ $万华化学 sh600309$ $方大炭素 sh600516$ $东江环保 sz002672$ 鬼手老周看...', '2018-06-26 05:02:03')
('发布了头条文章：《重磅消息：金科股份+东江环保+金地集团，本周操作策略解读》 $金科股份 sz000656$ +$东江环保 sz002672$ +$金地集团 sh600383$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |重磅消息：...', '2018-06-26 04:30:54')
('老股民闭关悟出炒股秘籍：这种形态或是牛股的起爆点！ $京东方Ａ sz000725$ $弘信电子 sz300657$ $华谊兄弟 sz300027$ $东江环保 sz002672$ 论A股堂的...', '2018-06-26 02:10:39')
('#港股焦点# 【东江环保：未因环保问题被监管部门要求停产整治】东江环保表示，经核查，公司及其他子公司目前经营正常，未出现因环保问题被监管部门要求停产整治的情形。公司对上述事项高度重视，并要求生产基地内部开展自查自纠活动，并以此为例向全国各分子公司进行环保合规经营的宣讲及培训。 ...展开全文c', '2018-06-26 01:22:25')
('一文看透股票买卖的“术语”，读懂你的短线操作功力至少增加十倍$洋河股份 sz002304$ $长电科技 sh600584$ $东江环保 sz002672$ $常山药业 sz300255$ 郑傅琦看盘...', '2018-06-26 01:07:27')
('香港市场上恒生指数早盘维持窄幅震荡，电讯成为市场唯一红盘板块，华虹半导体大涨6.64%领涨个股，京城机电股份、维珍妮、东江环保、中兴通讯等紧随其后，注意A股与港股在板块及个股上的联动性', '2018-06-25 23:22:10')
('发布了头条文章：《换手率高表示什么，你们是真的知道吗？》 #002672东江环保# |换手率高表...', '2018-06-25 22:56:31')
('涨停选股的经典形态——出水芙蓉，至今还无人知晓的选牛股精髓$京东方Ａ sz000725$ $康缘药业 sh600557$ $东江环保 sz002672$ $常山药业 sz300255$ 郑傅琦看盘...', '2018-06-25 22:11:49')
('8、东江环保遭央视点名批评，股价暴跌，深交所下发关注函。9、神州优车停牌核查三类股东，或为创新试点境内企业IPO首单冲刺。10、湖南投资控股股东拟6个月内增持1000万元-5000万元。11、通源石油公告称，受益行业复苏，上半年净利预增14至15倍。 ...展开全文c', '2018-06-25 21:05:25')
('1.$东江环保 sz002672$ 遭央视点名批评，股价暴跌，深交所下发关注函；', '2018-06-25 21:01:51')
('【刚被央视点名又被深交所关注 暴跌的东江环保却被4家券商推荐买入】6月25日上午，央视对“中央环保督察回头看”进行报道时，点名批评废物处置企业东江环保，称东江环保在整改过程中存在问题，操作员界面可以直接打开参数设置，对监测废气的各种参数如量程、斜率等参数进行修改。|刚被央视点...', '2018-06-25 20:59:17')
('我是个念旧的人，一直持有东江环保股票，昨天一个新闻直接砸停，虽然东江环保昨晚出来澄清了，但总感觉是杯水车薪，有些事情是无法解释清楚的，郁闷……', '2018-06-25 20:37:50')
('个股消息：1.东江环保遭央视点名批评，股价暴跌，深交所下发关注函；2.通源石油公告称，受益行业复苏，上半年净利预增14至15倍；3.水井坊公告称，帝亚吉欧拟通过要约收购将其持有股份比例提高到不超过60%；4.抚顺特钢2017年亏损超13亿，27日起实施退市风险警示。', '2018-06-25 20:34:52')
('发布了头条文章：《利好消息：奥瑞德 *ST天业 东江环保》 |利好消息...', '2018-06-25 20:16:37')
('东江环保遭央视点名批评，股价暴跌，深交所下发关注函。罗平锌电涉事铅锌生产线停产整改，被罚款53万元。山东威达控股股东增持至30%。抚顺特钢2017年亏损超13亿，27日起实施退市风险警示。', '2018-06-25 19:51:16')
('一旦股票出现“三线金叉”洗盘信号,打死也不要卖,股价将一路疯涨$奥瑞德 sh600666$ $宏川智慧 sz002930$ $*ST天业 sh600807$ $东江环保 sz002672$ 胡亦彰的秒...', '2018-06-25 18:30:18')
('江西丰城：东江环保背后的猫鼠同盟2016年11月中央第四环境保护督察组向江西省交办的第五十八项问题中，指出江西省危险废物经营单位环境违法现象普遍。 今日头条 网页链接', '2018-06-25 16:51:29')
('$东江环保 sz002672$ 短评：早间被央视点名，指参与排污企业监测数据联合造假，致A股跌停、港股大跌。此事排污企业责任为主，治污企业属于被动参与。由于东江业务稳定，此事件对业绩没有影响。国家全面打响蓝天、碧水、净土保卫战，治污力度空前加大，公司将显著受益。继续看好其巨大发展空间！', '2018-06-25 12:03:07')
('子公司环保数据作假被央视点名 东江环保:会详细解释_手机新浪网 |子公司环保...', '2018-06-25 10:58:09')
('【刚被央视点名，又被深交所关注，暴跌的东江环保却被4家券商推荐买入】东江环保的“不环保”被推到风口浪尖上！今日上午，“危废处置龙头”江西东江环保，先是因环保数据造假被央视点名，后又接到深交所的关注函，可谓是屋漏偏逢连夜雨。 然而更尴尬的是…… 网页链接', '2018-06-25 10:56:38')
('东江环保被央视曝光监测数据做假，子公司被停产，相关负责人被抓起来，事态很严重。但更严重的事情是，5月24日就已经发生了这样的事，小散由于信息不对称，已经被足足蒙蔽了一个月之久。', '2018-06-25 10:36:04')
('$东江环保 sz002672$ 东江环保，庄股。比较冷门，要不是出了龙虎榜也不会看到这种股。为什么是庄股？今年环保股和PPP都跌出翔了，$蒙草生态 sz300355$ 这样的大牛股腰斩的比比皆是，为什么跌成这样的逻辑已经说了很多次，但是东江环保竟然没跌？没有庄资金护盘，能扛得住吗？其实6.20日已经有暴露庄的 ...展开全文c', '2018-06-25 09:26:18')
('发布了头条文章：《002672 东江环保： 主力狂飙主节奏,后期买卖点已布局!》 \ue627 微博股票 \ue627 股票短中长线 $东江环保 sz002672$ |002672 东...', '2018-06-25 09:25:42')
('A股马上要陨落了！中国股市突发一个爆炸性利空内幕，下周A股必将惨烈下跌#汇金通#汇金通 sh603577[股票]##激智科技 sz300566[股票]##东江环保 sz002672[股票]##万隆光电 sz300710[股票]# 小雅分析的...', '2018-06-25 09:24:26')
('实时播报：东江环保：因存在不正常运行污染防治设施，江西省丰城市环保局对江西东江作出罚款五十万的行政处罚；公司自查后认为江西东江不存在烟气未经处理排放及篡改监测设备数据的行为。', '2018-06-25 08:33:41')
